id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2022-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
z,Z,Zentrallage,1989-01-01,
r,R,Rundlage,1989-01-01,
g,G,Grenzlage,1989-01-01,
k,K,Kulminationslage,1989-01-01,
s,S,Sattelpunktlage,1989-01-01,
t,T,Tiefenlage,1989-01-01,
o,O,Oberhang,1989-01-01,
m,M,Mittelhang,1989-01-01,
u,U,Unterhang,1989-01-01,
a,A,Hangschulter,1989-01-01,
f,F,Hangfuß,1989-01-01,
fla,FLA,flach/eben,2022-01-01,
