bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50001,1,1,1,-9,7,51,1
50001,4,4,1,-9,23,1,5
50001,2,1,1,-9,8,108,2
50001,7,4,1,-9,27,1,4
50001,3,4,1,-9,31,2,4
50001,5,4,1,-9,33,3,4
50001,6,4,1,-9,38,2,3
50002,1,1,1,-9,10,15,4
50002,2,4,1,-9,37,2,4
50002,3,4,1,-9,28,2,4
50002,4,4,1,-9,17,1,3
50002,8,4,1,-9,30,1,4
50002,9,1,1,-9,17,23,4
50002,5,4,1,-9,35,2,4
50002,6,4,1,-9,23,1,5
50002,7,4,1,-9,25,2,4
50003,16,4,1,-9,27,2,5
50003,17,1,1,-9,19,6,5
50003,18,1,1,-9,15,20,5
50003,19,1,1,-9,13,20,4
50003,20,1,1,-9,13,14,5
50003,21,1,1,-9,20,15,5
50003,22,4,1,-9,40,3,5
50003,23,1,1,-9,13,20,5
50003,24,1,1,-9,15,48,4
50003,25,1,1,-9,13,20,5
50003,26,4,1,-9,43,5,5
50003,27,1,1,-9,36,8,5
50003,28,4,1,-9,32,3,5
50003,29,1,1,-9,11,17,4
50003,30,1,1,-9,41,8,5
50003,31,4,1,-9,42,4,4
50003,32,4,1,-9,43,3,4
50003,33,1,1,-9,9,13,5
50003,34,1,1,-9,12,10,5
50003,35,1,1,-9,12,6,5
50003,36,1,1,-9,16,50,5
50003,37,1,1,-9,13,35,5
50003,38,4,1,-9,56,6,5
50003,39,1,1,-9,33,11,4
50003,40,1,1,-9,33,3,5
50003,41,1,1,-9,43,28,5
50003,42,4,1,-9,39,3,5
50003,43,1,1,-9,32,15,5
50003,44,1,1,-9,22,8,5
50003,45,4,1,-9,50,5,4
50003,46,4,1,-9,33,3,4
50003,47,4,1,-9,59,5,4
50003,48,4,1,-9,50,4,5
50003,49,4,1,-9,37,2,4
50003,50,4,1,-9,40,3,5
50003,1,4,1,-9,45,3,4
50003,2,4,1,-9,35,2,5
50003,3,4,1,-9,25,1,5
50003,4,4,1,-9,33,1,5
50003,5,1,1,-9,22,15,5
50003,6,4,1,-9,31,6,5
50003,7,4,1,-9,16,1,5
50003,8,4,1,-9,44,5,4
50003,9,4,1,-9,55,5,4
50003,10,1,1,-9,11,48,5
50003,11,4,1,-9,43,4,5
50003,12,1,1,-9,10,53,5
50003,13,4,1,-9,36,2,5
50003,14,4,1,-9,23,10,5
50003,15,4,1,-9,56,5,5
50004,21,4,1,-9,24,1,4
50004,1,4,1,-9,26,1,5
50004,2,4,1,-9,16,1,4
50004,3,1,1,-9,16,6,5
50004,4,1,1,-9,32,3,3
50004,5,1,1,-9,13,16,2
50004,6,1,1,-9,19,20,2
50004,7,1,1,-9,14,15,2
50004,8,1,1,-9,51,7,3
50004,9,4,1,-9,48,1,2
50004,10,1,1,-9,13,5,3
50004,11,4,1,-9,15,1,4
50004,12,4,1,-9,55,1,3
