bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
50001,4,w,1000,2,-9
50001,1,n,1000,2,-9
50001,2,o,1000,2,-9
50001,3,s,1000,2,-9
50002,3,s,1000,2,-9
50002,1,n,1000,2,-9
50002,4,w,1000,2,-9
50002,2,o,1000,2,-9
50003,2,o,1000,1,230
50003,3,s,1000,1,425
50003,1,n,1000,1,500
50003,4,w,1000,1,237
50004,4,w,1000,1,500
50004,3,s,1000,1,500
50004,2,o,1000,1,500
50004,1,n,1000,1,202
50005,2,o,1000,1,455
50005,1,n,1000,1,349
50005,4,w,1000,1,288
50005,3,s,1000,1,457
50006,4,w,1000,1,444
50006,1,n,1000,2,-9
50006,2,o,1000,1,344
50006,3,s,1000,2,-9
50007,3,s,1000,1,325
50007,4,w,1000,1,320
50007,1,n,1000,1,472
50007,2,o,1000,1,300
50008,1,n,1000,2,-9
50008,3,s,1000,1,170
50008,2,o,1000,1,400
50008,4,w,1000,2,-9
50009,1,n,1000,1,82
50009,4,w,1000,1,120
50009,3,s,1000,1,480
50009,2,o,1000,1,460
50010,4,w,1000,1,500
50010,3,s,1000,1,477
50010,2,o,1000,1,215
50010,1,n,1000,1,370
50011,3,s,1000,2,-9
50011,1,n,1000,1,297
50011,4,w,1000,2,-9
50011,2,o,1000,1,238
50012,3,s,1000,1,495
50012,1,n,1000,1,473
50012,2,o,1000,1,420
50012,4,w,1000,1,472
50013,3,s,1000,2,-9
50013,4,w,1000,1,188
50013,2,o,1000,1,443
50013,1,n,1000,1,441
50014,3,s,1000,2,-9
50014,4,w,1000,1,335
50014,2,o,1000,2,-9
50014,1,n,1000,1,320
50015,3,s,1000,1,310
50015,1,n,1000,1,375
50015,2,o,1000,1,145
50015,4,w,1000,1,300
50016,3,s,1000,1,285
50016,2,o,1000,1,485
50016,4,w,1000,1,120
50016,1,n,1000,1,136
50017,2,o,1000,1,480
50017,3,s,1000,1,480
50017,1,n,1000,1,315
50017,4,w,1000,1,190
50018,4,w,1000,1,165
50018,2,o,1000,1,214
50018,3,s,1000,1,405
50018,1,n,1000,1,443
50019,4,w,1000,2,-9
50019,3,s,1000,2,-9
50019,2,o,1000,1,390
50019,1,n,1000,2,-9
50020,4,w,1000,1,260
50020,1,n,1000,1,500
50020,2,o,1000,1,275
50020,3,s,1000,1,270
50021,4,w,1000,1,275
50021,2,o,1000,1,228
50021,3,s,1000,1,210
50021,1,n,1000,1,240
50022,2,o,1000,1,363
50022,1,n,1000,1,500
50022,3,s,1000,1,350
50022,4,w,1000,1,330
50023,1,n,1000,1,359
50023,4,w,1000,1,491
50023,2,o,1000,1,42
50023,3,s,1000,1,396
50024,4,w,1000,2,-9
50024,3,s,1000,1,140
50024,2,o,1000,1,328
50024,1,n,1000,1,397
50025,4,w,1000,1,426
50025,3,s,1000,1,454
50025,1,n,1000,1,474
50025,2,o,1000,1,480
50026,3,s,1000,1,188
50026,2,o,1000,1,240
50026,1,n,1000,1,80
50026,4,w,1000,1,163
50027,1,n,1000,1,438
50027,2,o,1000,1,496
50027,4,w,1000,1,405
50027,3,s,1000,1,445
50028,3,s,1000,2,-9
50028,4,w,1000,2,-9
50028,2,o,1000,2,-9
50028,1,n,1000,2,-9
50029,4,w,1000,2,-9
50029,1,n,1000,1,499
50029,3,s,1000,1,391
50029,2,o,1000,2,-9
50030,1,n,1000,1,500
50030,4,w,1000,1,173
50030,2,o,1000,1,370
50030,3,s,1000,2,-9
50031,3,s,1000,2,-9
50031,2,o,1000,2,-9
50031,4,w,1000,1,500
50031,1,n,1000,1,480
50032,3,s,1000,1,500
50032,1,n,1000,2,-9
50032,2,o,1000,2,-9
50032,4,w,1000,2,-9
50033,2,o,1000,1,158
50033,1,n,1000,1,220
50033,3,s,1000,1,90
50033,4,w,1000,1,71
50034,4,w,1000,2,-9
50034,1,n,1000,1,371
50034,3,s,1000,2,-9
50034,2,o,1000,2,-9
50035,2,o,1000,1,185
50035,1,n,1000,1,270
50035,4,w,1000,1,210
50035,3,s,1000,1,410
50036,4,w,1000,1,493
50036,1,n,1000,1,480
50036,3,s,1000,2,-9
50036,2,o,1000,1,379
50037,4,w,1000,2,-9
50037,2,o,1000,1,480
50037,3,s,1000,1,500
50037,1,n,1000,1,497
50038,2,o,1000,1,450
50038,3,s,1000,1,291
50038,4,w,1000,1,462
50038,1,n,1000,1,466
50039,2,o,1000,1,50
50039,4,w,1000,1,150
50039,3,s,1000,1,135
50039,1,n,1000,1,440
50040,3,s,1000,1,160
50040,2,o,1000,1,330
50040,4,w,1000,1,470
50040,1,n,1000,1,500
50041,1,n,1000,2,-9
50041,3,s,1000,2,-9
50041,4,w,1000,2,-9
50041,2,o,1000,2,-9
50042,4,w,1000,1,395
50042,3,s,1000,1,500
50042,2,o,1000,1,499
50042,1,n,1000,1,160
50043,1,n,1000,2,-9
50043,2,o,1000,2,-9
50043,4,w,1000,2,-9
50043,3,s,1000,2,-9
