bund_nr,ld_standort_methode,ld_standort,ld_wh_stufe,ld_n_stufe,vornachnutz,egart,vorbesttyp,histnutz,anzkalk,kulissekalk
50001,sto03,Flattergras-Buchenwald auf staufrischem sandüberdecktem Feinlehm,staufrisch,2,50,2,91,0,1,-9
50002,sto03,Buchen-Eichenwald auf staufrischem Terrassensand,staufrisch,1,50,2,99,0,0,-9
50003,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,3,99,9,0,-9
50004,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,2,92,0,0,-9
50005,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Terrassensand,mäßig frisch,2,50,4,91,0,99,-9
50006,sto03,Buchen-Eichenwald auf grundfeuchtem Niederungssand,grundfeucht,2,50,4,91,6,0,-9
50007,sto03,Eichen-Hainbuchenwald auf feuchtem Niederungssand,feucht,2,50,4,99,0,0,-9
50008,sto03,Hainsimsne-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,2,92,0,1,-9
50009,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,92,0,99,-9
50010,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,2,91,6,0,-9
50011,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,5,0,-9
50012,sto03,Eichen-Hainbuchenwald auf wechselfeuchtem Feinlehm,wecheslfeucht,2,50,4,91,5,0,-9
50013,sto03,Eichen-Hainbuchenwald auf mäßig wechselfeuchtem Feinlehm,wechselfeucht,2,50,4,91,5,0,-9
50014,sto03,Flattergras-Buchen Wald auf staufrischem sandüberdecktem Feinlehm,staufrisch,2,50,2,92,0,0,-9
50015,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,6,1,-9
50016,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,0,1,-9
50017,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,5,0,-9
50018,sto03,Hainsimsen-Buchen Wald auf grundfrischem Buchenntsandsteinlehm,grundfrisch,2,50,3,99,0,2,-9
50019,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,2,92,0,0,-9
50020,sto03,Platterbsen-Buchen Wald auf mäßig trockenem Kalkverwitterungslehm,mäßig trocken,5,50,3,99,0,0,-9
50021,sto03,Platterbsen-Buchen Wald auf mäßig frischem Kalkverwitterungslehm,mäßig frisch,5,50,3,92,0,0,-9
50022,sto03,Peifengras-Echen-Buchenwald auf mäßig wechselfeuchtem Buchenntsandsteinlehm,mäßig wechselfeucht,2,50,4,91,5,0,-9
50023,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,3,91,0,99,-9
50024,sto03,Buchen-Eichenwald auf grundfeuchtem Niederungssand,grundfeucht,1,50,4,91,0,0,-9
50025,sto03,Buchen-Eichenwald auf mäßig wechselfeuchtem sandüberdecktem Ton,mößig wechselfeucht,3,50,3,99,7,1,-9
50026,sto03,Buchen-Eichenwald auf staufrischem Braunerdesand,staufreisch,1,50,3,91,7,1,-9
50027,sto03,Buchen-Eichenwald auf m wechselfeuchtem Niederungssand,mäßig wechselfeucht,2,50,2,91,6,1,-9
50028,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,0,-9
50029,sto03,keine Angabe,keine Angabe,2,50,3,99,0,0,-9
50030,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,6,0,-9
50031,sto03,Eichen-Hainbuchenwald auf wechselfeuchtem Niederungslehm,wechselfeucht,3,50,4,91,6,0,-9
50032,sto03,Eichen-Hainbuchenwald auf wechselfeuchtem Decklehm,wechselfeucht,2,50,2,91,5,1,-9
50033,sto03,Waldmeister-Buchen Wald auf frischem Niederungslehm,frisch,5,50,3,91,7,0,-9
50034,sto03,Hainsimsen-Buchen Wald auf frischem Feinlehm,frisch,2,50,4,99,0,0,-9
50035,sto03,Birken-Eichenwald auf mäßig trockenem Podsolsand,mäßig feucht,1,50,3,99,9,99,-9
50036,sto03,Eichen-Hainbuchenwald auf feuchtem Decksand,feucht,2,50,1,99,0,0,-9
50037,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,99,0,0,-9
50038,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,3,99,0,0,-9
50039,sto03,keine Angabe,keine Angabe,1,50,3,99,0,0,-9
50040,sto03,Eichen-Hainbuchenwald auf m wechselfeuchtemMoränenlehm,mäßig wechselfeucht,5,50,4,99,0,0,-9
50041,sto03,Hainsimsen-Buchen Wald auf mäßig trockenem Schiedergebirgslehm,mäßig trocken,2,50,3,91,5,0,-9
50042,sto03,Bacherlen-Eschenwald,keine Angabe,4,50,4,99,0,0,-9
50043,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,6,0,-9
50044,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,0,-9
50045,sto03,Flattergras-Buchen Wald auf frischem Feinlehm,frisch,3,50,4,99,0,0,-9
50046,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,2,99,7,99,-9
50047,sto03,Hainsimsen-Buchen Wald auf mäßig wechseltrockenem Schiefergebirgslehm,mäßig wechselfeucht,2,50,4,92,0,0,-9
50048,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mößig frisch,2,50,4,91,0,0,-9
50049,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,5,0,-9
50050,sto03,Buchen-Wald auf sehr frischem Feinlehm,sehr frisch,2,50,4,91,5,99,-9
50051,sto03,"Eichen-Hainbuchenwald auf wechselfeuchtem Fliesslehm, Schattenhanghang",wechselfeucht,3,50,4,91,0,99,-9
50052,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,6,0,-9
50053,sto03,Hainsimsen-Buchen Wald Auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,99,9,1,-9
50054,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,0,0,-9
50055,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig freisch,2,50,4,91,0,0,-9
50056,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,0,0,-9
