bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
120001,Hoelzer;Hoevelmann;Bielefeldt,2006-11-08,vbn,-2,-9,-9,muo,mom
120002,Hoelzer;Hoevelmann;Bielefeldt,2006-11-08,vbn,vgbn,-9,-9,mor,moa
120003,Hoelzer;Hoevelmann;Bielefeldt,2006-10-31,vbn,-2,-9,-9,muo,-2
120004,Hoelzer;Hoevelmann;Bielefeldt,2006-10-31,vb,-2,-9,-9,muo,-2
120005,Hoelzer;Hoevelmann;Bielefeldt,2006-10-24,vn,vgn,-9,-9,roa,mor
120006,Hoelzer;Hoevelmann;Bielefeldt,2006-10-25,vbn,-2,-9,-9,muo,mom
120007,Hoelzer;Hoevelmann;Bielefeldt,2006-10-12,vn,vgn,-9,-9,moa,gmo
120008,Hoelzer;Hoevelmann;Eglin,2006-08-28,vn,vbn,-9,-9,mor,roa
120009,Hoelzer;Hoevelmann;Bielefeldt,2006-10-11,vbn,-2,-9,-9,mor,moa
120010,Hoelzer;Hoevelmann;Bielefeldt,2006-10-11,vn,vgn,-9,-9,moa,mot
120011,Hoelzer;Hoevelmann;Bielefeldt,2006-11-28,vn,vgn,-9,-9,moa,gmo
120012,Hoelzer;Hoevelmann;Bielefeldt,2006-10-10,vgn,vn,-9,-9,roa,gmo
120013,Hoelzer;Hoevelmann;Eglin,2006-08-22,vbn,vn,-9,-9,gmo,roa
120014,Hoelzer;Hoevelmann,2006-05-10,vw,vn,-9,-9,gmo,-2
120015,Hoelzer;Hoevelmann;Bielefeldt,2006-10-23,vbg,vgn,-9,-9,mom,-2
120016,Hoelzer;Hoevelmann;Bielefeldt,2006-10-27,vgn,vbn,-9,-9,ror,roa
120017,Hoelzer;Hoevelmann;Bielefeldt,2006-11-01,vgn,vgbn,-9,-9,gmo,muo
120018,Hoelzer;Hoevelmann;Bielefeldt,2006-11-01,vb,-2,-9,-9,mom,mot
120019,Hoelzer;Hoevelmann;Bielefeldt,2006-11-28,vn,vgn,-9,-9,moa,gmo
120020,Hoelzer;Hoevelmann;Bielefeldt,2006-11-06,vbn,vgbn,-9,-9,moa,gmo
120021,Hoelzer;Hoevelmann;Bielefeldt,2006-11-03,vgbn,vgn,-9,-9,gmo,mot
120022,Hoelzer;Hoevelmann;Bielefeldt,2006-11-29,vgn,vn,-9,-9,gmo,moa
120023,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120024,Hoelzer;Hoevelmann;Bielefeldt,2006-11-14,vgbn,vbn,-9,-9,gmo,ror
120025,Hoelzer;Hoevelmann;Bielefeldt,2006-10-30,vgn,vgbn,-9,-9,gmo,-2
120026,Hoelzer;Hoevelmann;Bielefeldt,2006-11-18,vbn,-2,-9,-9,mra,mom
120027,Hoelzer;Hoevelmann;Bielefeldt,2006-11-18,vgbn,vgn,-9,-9,gmo,-2
120028,Hoelzer;Hoevelmann;Bielefeldt,2006-11-17,vn,vgn,-9,-9,moa,roa
120029,Hoelzer;Hoevelmann;Bielefeldt,2006-11-16,vgbn,vgn,-9,-9,gmo,mra
120030,Hoelzer;Hoevelmann;Bielefeldt,2006-11-10,vgbn,-2,-9,-9,mrr,gmo
120031,Hoelzer;Hoevelmann;Bielefeldt,2006-11-21,vgbn,vgn,-9,-9,gmo,mot
120032,Hoelzer;Hoevelmann;Bielefeldt,2006-11-19,vgn,vgbn,-9,-9,gmo,ror
120033,Hoelzer;Hoevelmann;Bielefeldt,2006-11-23,vn,vgn,-9,-9,moa,-2
120034,Hoelzer;Hoevelmann;Bielefeldt,2006-11-15,vn,vbn,-9,-9,moa,mot
120035,Hoelzer;Hoevelmann;Bielefeldt,2006-11-15,vn,vgn,-9,-9,roa,mor
120036,Hoelzer;Hoevelmann;Bielefeldt,2006-11-07,vn,-2,-9,-9,mra,moa
120037,Hoelzer;Hoevelmann;Bielefeldt,2006-11-21,vn,-2,-9,-9,moa,-2
120038,Hoelzer;Hoevelmann;Bielefeldt,2006-11-22,vgn,vgbn,-9,-9,ror,gmo
120039,Hoelzer;Hoevelmann;Bielefeldt,2006-11-23,vgn,vgbn,-9,-9,moa,gmo
120040,Hoelzer;Hoevelmann;Bielefeldt,2006-10-04,vn,vbn,-9,-9,moa,moa
120041,Hoelzer;Hoevelmann;Eglin,2006-08-29,vn,-2,-9,-9,gmo,moa
120042,Hoelzer;Hoevelmann;Bielefeldt,2006-10-02,vbn,vn,-9,-9,roa,gmo
120043,Hoelzer;Hoevelmann;Bielefeldt,2006-09-18,vgn,-2,-9,-9,gmo,roa
120044,Hoelzer;Hoevelmann;Bielefeldt,2006-08-27,vn,-2,-9,-9,roa,ror
