bund_nr,horikombi,flaeche,anzahl,probennr
50001,l+of,225,8,271_31
50001,oh,225,16,271_32
50002,l+of,225,8,263_31
50002,oh,225,8,263_32
50003,l+of,900,8,670_31
50003,oh,900,8,670_32
50004,l+of,225,8,658_31
50004,oh,225,8,658_32
50005,l+of+oh,900,8,256_31
50006,l+of,225,8,251_31
50006,oh,225,8,251_32
50007,l+of+oh,225,8,268_31
50008,l+of,900,8,769_31
50008,oh,900,8,769_32
50009,l+of,225,8,668_31
50009,oh,225,8,668_32
50010,l+of,900,8,673_31
50011,l+of,900,10,675_31
50011,oh,900,10,675_32
50012,l+of,225,16,258_31
50012,oh,225,16,258_32
50013,l+of,225,8,254_31
50013,oh,225,8,254_32
50014,l+of,225,8,266_31
50014,oh,225,8,266_32
50015,l+of,900,8,655_31
50016,l+of,900,8,652_31
50016,oh,900,8,652_32
50017,l+of,1800,8,678_31
50018,l+of,225,8,765_31
50018,oh,225,8,765_32
50019,l+of,225,8,763_31
50019,l+of+oh,-9,-9,-9
50019,oh,225,8,763_32
50020,l+of,900,8,764_31
50021,l+of,900,8,762_31
50022,l+of,-9,-9,-9
50022,l+of+oh,900,8,756_31
50023,l+of,900,8,754_31
50023,oh,-9,-9,-9
50024,l+of,225,8,297_31
50024,oh,225,8,297_32
50025,l+of+oh,225,8,162_31
50026,l+of,900,8,179_31
50027,l+of,71,8,170_31
50027,oh,71,8,170_32
50028,l+of,900,8,770_31
50028,oh,900,8,770_32
50029,l+of+oh,225,8,293_31
50030,l+of,225,8,300_31
50030,oh,225,8,300_32
50031,l+of,71,8,159_31
50031,oh,142,16,159_32
50032,l+of,-9,-9,-9
50032,l+of+oh,450,8,771_31
50033,l,900,8,274_31
50034,l+of,225,8,563_31
50034,oh,225,8,563_32
50035,l+of,-9,-9,-9
50035,l+of+oh,225,8,183_31
50036,l+of,225,8,567_31
50036,oh,71,8,567_32
50037,l+of,296,8,565_31
50037,oh,225,8,565_32
50038,l+of,225,16,289_31
50038,oh,225,16,289_32
50039,l,900,8,290_31
50040,l+of,-9,-9,-9
50040,l+of+oh,225,8,207_31
50041,l+of+oh,225,8,566_31
50042,l+of+oh,450,8,302_31
50043,l+of,225,16,286_31
50043,oh,900,8,286_32
50044,l+of+oh,450,8,562_31
50045,l+of,71,8,213_31
50045,oh,71,8,213_32
50046,l+of,450,8,577_31
50046,oh,900,8,577_32
50047,l+of,225,8,309_31
50047,oh,225,8,309_32
50048,l+of,225,8,312_31
50048,oh,225,8,312_32
50049,l+of,225,8,554_31
50049,l+of+oh,-9,-9,-9
50049,oh,225,8,554_32
50050,l+of,225,16,276_31
50050,oh,900,8,276_32
50051,l+of,225,8,218_31
50051,oh,225,8,218_32
50052,l+of+oh,225,8,579_31
50053,l+of,900,8,364_31
50053,oh,900,8,364_32
50054,l+of,225,8,587_31
50054,oh,225,8,587_32
50055,l+of,225,8,585_31
50055,oh,225,8,585_32
50056,l+of,296,8,580_31
50056,oh,296,8,580_32
50057,l+of,225,8,228_31
50057,oh,225,8,228_32
50058,l,900,8,211_31
50059,l+of,450,8,320_31
50059,oh,450,8,320_32
50060,l+of,900,8,373_31
50060,oh,900,8,373_32
50061,l+of,225,8,595_31
50061,oh,225,8,595_32
50062,l+of+oh,225,8,583_31
50063,l+of,900,8,221_31
50063,oh,900,8,221_32
50064,l+of,71,10,171_31
50064,oh,71,10,171_32
50065,l+of,900,8,379_31
50066,l+of,900,8,356_31
50066,oh,900,8,356_32
50067,l+of,900,8,351_31
50068,l+of+oh,900,8,371_31
50069,l+of,900,8,175_31
50070,l+of,225,8,180_31
50071,l+of+oh,900,8,391_31
50072,l+of,900,8,389_31
50072,oh,900,8,389_32
50073,l+of+oh,900,8,376_31
50074,l+of,225,8,322_31
50074,oh,225,8,322_32
50075,l+of,225,8,323_31
50075,oh,225,8,323_32
50076,l+of,225,8,404_31
50076,oh,225,8,404_32
50077,l,900,8,195_31
50078,l+of+oh,225,8,194_31
50079,l+of,225,8,392_31
50079,oh,225,8,392_32
50080,l+of,225,9,386_31
50080,oh,225,9,386_32
50081,l+of,225,8,380_31
50081,oh,225,8,380_32
50082,l+of,900,8,361_31
50082,oh,900,8,361_32
50083,l+of,225,8,363_31
50083,oh,225,8,363_32
50084,l+of,225,8,328_31
50084,oh,225,8,328_32
50085,l+of,225,8,411_31
50085,oh,225,8,411_32
50086,l+of,900,8,229_31
50086,l+of+oh,-9,-9,-9
50086,oh,900,8,229_32
50087,l+of,900,8,193_31
50088,l+of,900,8,394_31
50088,oh,900,8,394_32
50089,l+of,900,8,40_31
50089,oh,900,8,40_32
50090,l+of,225,8,369_31
