bund_nr,horizont,lfd_nr,param,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8
50001,s,,streuart,vn,vn,vn,vn,vn,vn,vn,vn
50001,s,,hackschn_maechtigkeit,,,,,,,,
50001,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50001,ol,,maechtigkeit,3,2,1,1,1.5,1,2.5,2
50001,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
50001,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50001,of,1,maechtigkeit,2.5,4,3.5,2,2,3.5,3,2.5
50001,of,1,durchwurz,2,3,2,2,2,2,1,1
50001,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50001,oh,1,maechtigkeit,0.5,1,1,0.5,1.5,1,0.5,0.3
50001,oh,1,durchwurz,3,3,3,2,3,2,2,2
50001,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50001,a,,maechtigkeit,4,5,6,6,5,6,5,6
50001,a,,gefuege,sub,sub,sub,sub,sub,sub,sub,sub
50001,h,,humusform_ka5,moa,moa,moa,moa,moa,moa,moa,moa
50001,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
50002,s,,streuart,vgn,vgn,vgn,vgn,vgn,vgn,vgn,vgn
50002,s,,hackschn_maechtigkeit,,,,,,,,
50002,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50002,ol,,maechtigkeit,2,2.5,2,2,1,1,2,1
50002,ol,,lagerung,lo,lo,ve,ve,ve,ve,ve,ve
50002,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50002,of,1,maechtigkeit,4.5,6.5,4,5,2.5,5,5.5,5.5
50002,of,1,durchwurz,4,4,4,4,4,4,4,4
50002,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50002,oh,1,maechtigkeit,3.5,1,2,3,2.5,4,3.5,3.5
50002,oh,1,durchwurz,4,4,4,4,4,4,4,4
50002,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50002,a,,maechtigkeit,11,13,12,12,10,13,12,10
50002,a,,gefuege,sub,sub,kru,sub,sub,sub,sub,sub
50002,h,,humusform_ka5,mor,gmo,mor,mor,mor,mor,mor,mor
50002,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
50003,s,,streuart,vgn,vbn,vbg,vbn,vgbn,vgbn,vgbn,vbg
50003,s,,hackschn_maechtigkeit,,,,,,,,
50003,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50003,ol,,maechtigkeit,2.5,1,3,1,1,1,1,3
50003,ol,,lagerung,-9,lo,lo,lo,lo,lo,lo,lo
50003,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50003,of,1,maechtigkeit,2,2,1.5,1,2,5,3,1.5
50003,of,1,durchwurz,3,2,3,2,2,3,3,2
50003,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50003,oh,1,maechtigkeit,0,3,3,2,2,0,3,3
50003,oh,1,durchwurz,1,3,3,3,3,1,3,2
50003,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50003,a,,maechtigkeit,10,10,5,10,10,10,5,10
50003,a,,gefuege,sub,sub,sub,sub,sub,sub,sub,sub
50003,h,,humusform_ka5,mom,moa,gmo,moa,gmo,muo,gmo,gmo
50003,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
50004,s,,streuart,vn,vn,vn,vn,vn,vn,vn,vn
50004,s,,hackschn_maechtigkeit,,,,,,,,
50004,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50004,ol,,maechtigkeit,0.5,1,1,1,2,1,1,1
50004,ol,,lagerung,lo,lo,lo,lo,ve,lo,lo,lo
50004,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50004,of,1,maechtigkeit,1.5,5,7,7,4,3,5,4
50004,of,1,durchwurz,1,2,2,2,2,2,2,2
50004,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50004,oh,1,maechtigkeit,6,1.5,6,3.5,1.5,3.5,3,5
50004,oh,1,durchwurz,3,2,2,2,2,2,2,2
50004,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50004,a,,maechtigkeit,5,5,10,5,5,10,5,15
50004,a,,gefuege,sub,sub,sub,sub,sub,sub,sub,sub
50004,h,,humusform_ka5,mrr,mra,mrr,mrr,mra,mrr,mrr,mrr
50004,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
50005,s,,streuart,vbn,vb,vb,vb,vb,vbn,vbn,vb
50005,s,,hackschn_maechtigkeit,,,,,,,,
50005,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50005,ol,,maechtigkeit,2.5,2,2.5,2.5,2,2.5,2.5,1
50005,ol,,lagerung,ve,ve,ve,ve,lo,ve,ve,lo
50005,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50005,of,1,maechtigkeit,1.5,1.5,1,1.5,2,2,1,2.5
50005,of,1,durchwurz,4,3,4,4,4,4,4,4
50005,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50005,oh,1,maechtigkeit,0.2,0.1,0.2,0.1,0.2,0.2,0.5,0
50005,oh,1,durchwurz,4,3,4,4,4,4,4,1
50005,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50005,a,,maechtigkeit,25,25,30,28,29,28,28,29
50005,a,,gefuege,ein,ein,ein,ein,ein,ein,ein,ein
50005,h,,humusform_ka5,mom,mom,mom,mom,mom,mom,mom,muo
50005,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
50006,s,,streuart,vb,vb,vb,vb,vb,vb,vb,vb
50006,s,,hackschn_maechtigkeit,,,,,,,,
50006,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
50006,ol,,maechtigkeit,3,1,1,2,1.5,0.5,1,1
50006,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
50006,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
