bund_nr,labor,labornr,horikombi,anzteile
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/022_32,Oh,
50001,200,000013186/021_31,L+Of,
50001,200,000013186/021_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50002,200,000012196/035_31,L+Of,
50002,200,000012196/036_32,Oh,
50002,200,000012196/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/035_31,L+Of,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
50003,200,000012833/036_32,Oh,
