bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
120001,0,5,ftg,,1
120001,5,10,ftg,,2
120001,10,20,phg,,3
120001,20,40,phg,,4
120001,40,70,phg,,5
120001,70,90,phg,,6
120001,90,120,phg,,7
120002,0,5,ftg,,1
120002,5,10,ftg,,2
120002,10,20,phg,,3
120002,20,35,phg,,4
120002,35,55,phg,,5
120002,55,90,phg,,6
120002,90,115,phg,,7
120002,115,125,phg,,8
120003,0,5,ftg,,1
120003,5,10,ftg,,2
120003,10,19,phg,,3
120003,19,45,phg,,4
120003,45,87,phg,,5
120003,87,117,phg,,6
120003,117,130,phg,,7
120003,130,170,phg,,8
120004,0,5,ftg,,1
120004,5,10,ftg,,2
120004,10,45,phg,,3
120004,45,80,phg,,4
120004,80,105,phg,,5
120005,0,5,ftg,,1
120005,5,10,ftg,,2
120005,10,30,phg,,3
120005,30,45,phg,,4
120005,45,75,phg,,5
120005,75,110,phg,,6
120005,110,130,phg,,7
120005,130,170,phg,,8
120005,10,20,ftg,EU,9
120005,20,40,ftg,EU,10
120005,40,80,ftg,EU,11
120006,0,5,ftg,,1
120006,5,10,ftg,,2
120006,10,25,phg,,3
120006,25,45,phg,,4
120006,45,70,phg,,5
120006,70,110,phg,,6
120006,110,135,phg,,7
120006,135,165,phg,,8
120006,165,210,phg,,9
120006,210,230,phg,,10
120006,10,20,ftg,EU,11
120006,20,40,ftg,EU,12
120006,40,80,ftg,EU,13
120007,0,5,ftg,,1
120007,5,10,ftg,,2
120007,10,16,phg,,3
120007,16,36,phg,,4
120007,36,58,phg,,5
120007,58,82,phg,,6
120007,82,105,phg,,7
120007,105,140,phg,,8
120007,140,160,phg,,9
120007,10,20,ftg,EU,10
120007,20,40,ftg,EU,11
120007,40,80,ftg,EU,12
120008,0,5,ftg,,1
120008,5,10,ftg,,2
120008,10,27,phg,,3
120008,27,38,phg,,4
120008,38,70,phg,,5
120008,70,130,phg,,6
120008,130,170,phg,,7
120008,170,195,phg,,8
120008,10,20,ftg,EU,9
120008,20,40,ftg,EU,10
120008,40,80,ftg,EU,11
120009,0,5,ftg,,1
120009,5,10,ftg,,2
120009,10,35,phg,,3
120009,35,70,phg,,4
120009,70,95,phg,,5
120009,95,140,phg,,6
120009,140,160,phg,,7
120009,10,20,ftg,EU,8
120009,20,40,ftg,EU,9
120009,40,80,ftg,EU,10
120010,0,5,ftg,,1
120010,5,10,ftg,,2
120010,10,20,phg,,3
120010,20,34,phg,,4
120010,34,65,phg,,5
