bund_nr,lfd_nr,otprobe,utprobe,grobb_anteil,grobb_fraktion,grobb_methode,grobb_anz,grobb_vol,probennr_grobb,trd_methode,trd_geschaetzt,trd_anz,trd_vol,probennr_trd,grobb_pr_art,trd_pr_art
120001,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,7,90,120,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,6,70,90,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,5,40,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,4,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120001,3,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,3,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,8,115,125,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,7,90,115,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,6,55,90,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,5,35,55,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120002,4,20,35,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,3,10,19,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,5,45,87,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,6,87,117,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,7,117,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120003,4,19,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120004,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120004,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120004,5,80,105,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120004,4,45,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120004,3,10,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,7,110,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,6,75,110,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,5,45,75,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,4,30,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,3,10,30,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120005,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,3,10,25,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,4,25,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,5,45,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,6,70,110,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,7,110,135,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120006,8,135,165,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
