bund_nr,team,datum,anmerkung
50001,Ronny Epple und Paloma Ziegelmeier ,2006-11-24,
50002,Ronny Epple und Paloma Ziegelmeier ,2006-11-23,
50003,Christoph Ziegler,2009-01-30,
50004,Gerhard Strasser und Christoph Schaab,2008-11-03,
50005,Ronny Epple und Ludwig Schwarz,2008-07-14,
50006,Ronny Epple und Michael Hansch,2007-07-12,
50007,Ronny Epple und Michael Hansch,2007-07-12,
50008,Gerhard Strasser und Christoph Schaab,2008-11-04,
50009,Gerhard Strasser und Christoph Schaab,2008-11-04,
50010,Gerhard Strasser und Christoph Schaab,2008-11-03,
50011,Ronny Epple und Michael Hansch,2007-07-09,
50012,Ronny Epple und Michael Hansch,2007-07-11,
50013,Ronny Epple und Michael Hansch,2007-07-11,
50014,Ronny Epple und Michael Hansch,2007-07-12,
50015,Gerhard Strasser und Christoph Schaab,2008-11-03,
50016,Ronny Epple und Ludwig Schwarz,2008-07-08,
50017,Moritz Theuerkauf und Eberhard Lang,2007-07-09,
50018,Christoph Ziegler,2009-01-30,
50019,Gerhard Strasser und Christoph Schaab,2008-11-04,
50020,Ronny Epple und Paloma Ziegelmeier ,2006-11-21,
50021,Ronny Epple und Paloma Ziegelmeier ,2006-11-21,
50022,Ronny Epple und Paloma Ziegelmeier ,2006-11-21,
50023,Ronny Epple und Ludwig Schwarz,2008-07-08,
50024,Ronny Epple und Ludwig Schwarz,2008-07-13,
50025,Ronny Epple und Michael Hansch,2007-07-14,
50026,Ronny Epple und Michael Hansch,2007-07-13,
50027,Ronny Epple und Paloma Ziegelmeier ,2006-11-25,
50028,Moritz Theuerkauf und Eberhard Lang,2007-07-09,
50029,Ronny Epple und Paloma Ziegelmeier ,2006-11-22,
50030,Ronny Epple und Ludwig Schwarz,2008-07-13,
50031,Moritz Theuerkauf und Christoph Hoffmann,2007-07-17,
50032,Gerhard Strasser und Christoph Schaab,2008-11-05,
50033,Ronny Epple und Ludwig Schwarz,2008-07-10,
50034,Ronny Epple und Ludwig Schwarz,2008-07-10,
50035,Ronny Epple und Paloma Ziegelmeier ,2006-11-25,
50036,Ronny Epple und Paloma Ziegelmeier ,2006-11-22,
50037,Ronny Epple und Michael Hansch,2007-07-10,
50038,Ronny Epple und Ludwig Schwarz,2008-07-13,
50039,Ronny Epple und Michael Hansch,2007-07-14,
50040,Moritz Theuerkauf und Christoph Hoffmann,2007-07-17,
50041,Gerhard Strasser und Christoph Schaab,2008-11-05,
50042,Gerhard Strasser und Christoph Schaab,2008-11-05,
50043,Ronny Epple und Ludwig Schwarz,2008-07-13,
50044,Moritz Theuerkauf und Eberhard Lang,2007-07-11,
50045,Ronny Epple und Ludwig Schwarz,2008-07-17,
50046,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-08,
50047,Gerhard Strasser und Christoph Schaab,2008-11-06,
50048,Gerhard Strasser und Christoph Schaab,2008-11-06,
50049,Gerhard Strasser und Christoph Schaab,2008-11-06,
50050,Christoph Ziegler,2009-01-21,
50051,Ronny Epple und Ludwig Schwarz,2008-07-16,
50052,Moritz Theuerkauf und Eberhard Lang,2007-07-11,
50053,-2,1970-01-01,Windwurffläche
50054,Ronny Epple und Ludwig Schwarz,2008-07-11,
50055,Moritz Theuerkauf und Eberhard Lang,2007-07-13,
50056,Ronny Epple und Ludwig Schwarz,2008-07-11,
50057,Moritz Theuerkauf und Eberhard Lang,2007-07-13,
50058,Ronny Epple und Ludwig Schwarz,2008-07-17,
50059,Moritz Theuerkauf und Eberhard Lang,2007-07-12,
50060,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-08,
50061,Gerhard Strasser und Christoph Schaab,2008-11-07,
50062,Moritz Theuerkauf und Eberhard Lang,2007-07-13,
50063,Ronny Epple und Michael Hansch,2007-07-15,
50064,Ronny Epple und Ludwig Schwarz,2008-07-18,
50065,Ziegler,2007-07-20,
50066,-2,1970-01-01,Windwurffläche
50067,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-08,
50068,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-09,
50069,Moritz Theuerkauf und Christoph Hoffmann,2007-07-16,
50070,Ronny Epple und Dennis Steinberg,2008-11-17,
50071,-2,1970-01-01,Windwurffläche
50072,Ronny Epple und Dennis Steinberg,2008-11-18,
50073,Gerhard Strasser und Christoph Schaab,2008-11-08,
50074,Gerhard Strasser und Christoph Schaab,2008-11-07,
50075,-2,1970-01-01,Windwurffläche
50076,Gerhard Strasser und Christoph Schaab,2008-11-07,
50077,Moritz Theuerkauf und Christoph Hoffmann,2007-07-15,
50078,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-17,
50079,Ronny Epple und Dennis Steinberg,2008-11-18,
50080,Gerhard Strasser und Christoph Schaab,2008-11-10,
50081,Gerhard Strasser und Christoph Schaab,2008-11-09,
50082,Gerhard Strasser und Christoph Schaab,2008-11-08,
50083,Gerhard Strasser und Christoph Schaab,2008-11-08,
50084,-2,1970-01-01,Windwurffläche
50085,Ronny Epple und Dennis Steinberg,2008-11-12,
50086,Ronny Epple und Michael Hansch,2007-07-15,
50087,Moritz Theuerkauf und Christoph Hoffmann,2007-07-16,
50088,Gerhard Strasser und Christoph Schaab,2008-11-10,
50089,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-09,
50090,Gerhard Strasser und Christoph Schaab,2008-11-08,
50091,Gerhard Strasser und Christoph Schaab,2008-11-08,
50092,Ronny Epple und Dennis Steinberg,2008-11-12,
50093,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-12,
50094,Ronny Epple und Dennis Steinberg,2008-11-13,
50095,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-09,
50096,Gerhard Strasser und Christoph Schaab,2008-11-10,
50097,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-10,
50098,Christoph Ziegler,2009-01-21,
50099,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-12,
50100,Ronny Epple und Dennis Steinberg,2008-11-12,
50101,Ronny Epple und Dennis Steinberg,2008-11-13,
50102,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-16,
50103,Ronny Epple und Dennis Steinberg,2008-11-10,
50104,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-10,
50105,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-11,
50106,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-11,
50107,Ronny Epple und Dennis Steinberg,2008-11-12,
50108,Ronny Epple und Michael Hansch,2007-07-17,
50109,Ronny Epple und Dennis Steinberg,2008-11-17,
50110,Ronny Epple und Dennis Steinberg,2008-11-11,
50111,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-12,
50112,Ronny Epple und Dennis Steinberg,2008-11-14,
50113,Ronny Epple und Michael Hansch,2007-07-16,
50114,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-11,
50115,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-12,
50116,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-13,
50117,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-13,
50118,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-16,
50119,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-12,
50120,Ronny Epple und Dennis Steinberg,2008-11-14,
50121,Ronny Epple und Michael Hansch,2007-07-17,
50122,Ronny Epple und Dennis Steinberg,2008-11-15,
50123,Ronny Epple und Paloma Ziegelmeier ,2006-12-10,
50124,Ronny Epple und Paloma Ziegelmeier ,2006-12-10,
50125,Ronny Epple und Paloma Ziegelmeier ,2006-11-28,
50126,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-15,
50127,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-15,
50128,Ronny Epple und Dennis Steinberg,2008-11-17,
50129,Ronny Epple und Dennis Steinberg,2008-11-15,
50130,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-14,
50131,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-14,
50132,Ronny Epple und Michael Hansch,2007-07-17,
50133,Ronny Epple und Michael Hansch,2007-07-16,
50134,Ronny Epple und Dennis Steinberg,2008-11-14,
50135,Ronny Epple und Dennis Steinberg,2008-11-15,
50136,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-14,
50137,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-15,
50138,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-14,
50139,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-14,
50140,Moritz Theuerkauf und Sebastian Hoffmann,2008-07-15,
50141,Ronny Epple und Ludwig Schwarz,2008-07-10,
50142,Ronny Epple und Ludwig Schwarz,2008-07-10,
50143,Ronny Epple und Michael Hansch,2007-07-14,
50144,Ronny Epple und Dennis Steinberg,2008-11-13,
50145,Ronny Epple und Dennis Steinberg,2008-11-14,
50146,Ronny Epple und Paloma Ziegelmeier ,2006-11-22,
