bund_nr,team,datum,status,re_form,re_lage,neigung,exposition,anmerkung
120001,Hoelzer;Hoevelmann;Bielefeldt,2006-11-08,19,ts,z,0,fla,
120002,Hoelzer;Hoevelmann;Bielefeldt,2006-11-08,19,ks,r,1,w,
120003,Hoelzer;Hoevelmann;Bielefeldt,2006-10-31,19,ts,z,1,fla,
120004,Hoelzer;Hoevelmann;Bielefeldt,2006-10-31,19,ts,z,0,fla,
120005,Hoelzer;Hoevelmann;Bielefeldt,2006-10-24,0,ks,z,0,fla,
120006,Hoelzer;Hoevelmann;Bielefeldt,2006-10-25,0,ts,r,0,fla,
120007,Hoelzer;Hoevelmann;Bielefeldt,2006-10-12,0,ts,z,0,fla,
120008,Hoelzer;Hoevelmann;Eglin,2006-08-28,0,ks,r,1,sw,
120009,Hoelzer;Hoevelmann;Bielefeldt,2006-10-11,0,hh,r,5,o,
120010,Hoelzer;Hoevelmann;Bielefeldt,2006-10-11,0,ks,z,1,so,
120011,Hoelzer;Hoevelmann;Bielefeldt,2006-11-28,0,ts,z,0,fla,
120012,Hoelzer;Hoevelmann;Bielefeldt,2006-10-10,0,ts,z,0,fla,
120013,Hoelzer;Hoevelmann;Eglin,2006-08-22,0,ts,z,0,fla,
120014,Hoelzer;Hoevelmann,2006-05-10,0,ts,z,2,sw,
120015,Hoelzer;Hoevelmann;Bielefeldt,2006-10-23,0,ts,z,0,fla,
120016,Hoelzer;Hoevelmann;Bielefeldt,2006-10-27,0,kv,r,2,sw,
120017,Hoelzer;Hoevelmann;Bielefeldt,2006-11-01,0,ks,r,8,n,
120018,Hoelzer;Hoevelmann;Bielefeldt,2006-11-01,0,ks,r,13,sw,
120019,Hoelzer;Hoevelmann;Bielefeldt,2006-11-28,0,ks,r,2,s,
120020,Hoelzer;Hoevelmann;Bielefeldt,2006-11-06,0,ts,z,6,w,
120021,Hoelzer;Hoevelmann;Bielefeldt,2006-11-03,0,ks,r,8,s,
120022,Hoelzer;Hoevelmann;Bielefeldt,2006-11-29,0,hh,r,13,s,
120023,-2,1970-01-01,23,-2,-9,-2,-2,
120024,Hoelzer;Hoevelmann;Bielefeldt,2006-11-14,0,ts,r,1,sw,
120025,Hoelzer;Hoevelmann;Bielefeldt,2006-10-30,0,ks,z,0,fla,
120026,Hoelzer;Hoevelmann;Bielefeldt,2006-11-18,19,ks,r,2,n,
120027,Hoelzer;Hoevelmann;Bielefeldt,2006-11-18,0,ts,z,1,n,
120028,Hoelzer;Hoevelmann;Bielefeldt,2006-11-17,0,ks,z,0,fla,
120029,Hoelzer;Hoevelmann;Bielefeldt,2006-11-16,0,hh,z,1,w,
120030,Hoelzer;Hoevelmann;Bielefeldt,2006-11-10,0,ks,r,1,nw,
120031,Hoelzer;Hoevelmann;Bielefeldt,2006-11-21,0,hh,z,3,nw,
120032,Hoelzer;Hoevelmann;Bielefeldt,2006-11-19,0,ks,z,1,w,
120033,Hoelzer;Hoevelmann;Bielefeldt,2006-11-23,0,ts,z,0,fla,
120034,Hoelzer;Hoevelmann;Bielefeldt,2006-11-15,0,hh,r,5,so,
120035,Hoelzer;Hoevelmann;Bielefeldt,2006-11-15,0,hr,z,5,s,
120036,Hoelzer;Hoevelmann;Bielefeldt,2006-11-07,0,ts,z,0,fla,
120037,Hoelzer;Hoevelmann;Bielefeldt,2006-11-21,0,kh,r,2,nw,
120038,Hoelzer;Hoevelmann;Bielefeldt,2006-11-22,0,ks,r,4,n,
120039,Hoelzer;Hoevelmann;Bielefeldt,2006-11-23,0,ks,r,2,sw,
120040,Hoelzer;Hoevelmann;Bielefeldt,2006-10-04,0,ks,z,2,o,
120041,Hoelzer;Hoevelmann;Eglin,2006-08-29,0,ts,z,0,fla,
120042,Hoelzer;Hoevelmann;Bielefeldt,2006-10-02,0,ts,r,0,fla,
120043,Hoelzer;Hoevelmann;Bielefeldt,2006-09-18,0,ts,z,0,fla,
120044,Hoelzer;Hoevelmann;Bielefeldt,2006-09-27,0,ts,r,1,o,
120045,Hoelzer;Hoevelmann;Bielefeldt,2006-09-27,0,ts,z,0,fla,
120046,Hoelzer;Hoevelmann;Bielefeldt,2006-09-11,0,ts,z,0,fla,
120047,Hoelzer;Hoevelmann;Bielefeldt,2006-09-20,0,ks,r,3,n,
120048,Hoelzer;Hoevelmann;Bielefeldt,2006-06-20,0,hh,m,2,w,
120049,Hoelzer;Hoevelmann;Bielefeldt,2006-06-19,0,hh,m,12,so,
120050,Hoelzer;Hoevelmann;Bielefeldt,2006-06-21,0,hz,-9,2,sw,
120051,Hoelzer;Hoevelmann;Bielefeldt,2006-06-22,0,ks,z,1,fla,
120052,Hoelzer;Hoevelmann;Bielefeldt,2006-06-20,0,ks,z,5,nw,
120053,Hoelzer;Hoevelmann;Bielefeldt,2006-06-21,0,ts,z,1,fla,
120054,Hoelzer;Hoevelmann;Bielefeldt,2006-06-15,0,hf,m,2,sw,
120055,Hoelzer;Hoevelmann;Bielefeldt,2006-06-15,0,ks,z,2,o,
120056,Hoelzer;Hoevelmann;Bielefeldt,2006-06-22,0,ks,z,0,fla,
120057,Hoelzer;Hoevelmann;Bielefeldt,2006-07-18,0,ts,r,1,n,
120058,Hoelzer;Hoevelmann;Bielefeldt,2006-07-18,0,ks,r,1,no,
120059,Hoelzer;Hoevelmann;Bielefeldt,2006-10-10,0,th,r,1,n,
120060,Hoelzer;Hoevelmann;Bielefeldt,2006-06-07,0,ts,-9,0,fla,
120061,Hoelzer;Hoevelmann;Bielefeldt,2006-06-21,0,ts,z,1,fla,
120062,Hoelzer;Hoevelmann;Bielefeldt,2006-07-17,0,ks,z,1,fla,
120063,Hoelzer;Hoevelmann;Bielefeldt,2006-10-09,0,ts,z,0,fla,
120064,-2,1970-01-01,23,-2,-9,-2,-2,
120065,Hoelzer;Hoevelmann;Eglin,2006-06-06,0,ts,u,3,sw,
120066,Hoelzer;Hoevelmann;Bielefeldt,2006-06-07,0,ts,-9,0,fla,
120067,Hoelzer;Hoevelmann;Bielefeldt,2006-06-12,0,hh,m,6,nw,
120068,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,0,ks,g,1,fla,
120069,Hoelzer;Hoevelmann;Bielefeldt,2006-06-14,0,hf,o,2,nw,
120070,Hoelzer;Hoevelmann;Bielefeldt,2006-10-09,0,ts,z,1,fla,
120071,Hoelzer;Damman,2006-05-29,0,ks,z,1,nw,
120072,Hoelzer;Damman,2006-05-29,0,ks,o,1,w,
120073,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,0,ks,z,0,fla,
120074,Hoelzer;Damman,2006-05-16,0,ks,k,1,n,
120075,Hoelzer;Hoevelmann;Bielefeldt,2006-06-08,0,ts,z,0,fla,
120076,Hoelzer;Hoevelmann;Bielefeldt,2006-06-12,0,ts,z,0,fla,
120077,Hoelzer;Damman,2006-06-01,0,kv,z,11,n,
120078,Hoelzer;Damman,2006-05-30,0,hr,m,4,w,
120079,Hoelzer;Damman,2006-05-17,0,hh,z,2,n,
120080,Hoelzer;Hoevelmann;Eglin,2006-08-24,0,ts,z,0,fla,
120081,Hoelzer;Hoevelmann;Bielefeldt,2006-06-08,0,ts,z,1,fla,
120082,-2,1970-01-01,23,-2,-9,-2,-2,
120083,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,0,ts,z,0,fla,
120084,Hoelzer;Hoevelmann;Bielefeldt,2006-06-27,0,ks,z,2,o,
120085,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,0,ts,z,0,fla,
120086,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,0,hf,s,4,so,
120087,Hoelzer;Hoevelmann;Bielefeldt,2006-06-26,0,ks,z,19,nw,
120088,Hoelzer;Hoevelmann;Bielefeldt,2006-06-27,0,ts,z,0,fla,
120089,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,0,ts,m,1,w,
120090,Hoelzer;Hoevelmann;Bielefeldt,2006-07-05,0,ts,z,0,fla,
120091,Hoelzer;Hoevelmann;Bielefeldt,2006-07-03,0,ts,z,0,fla,
120092,Hoelzer;Hoevelmann;Bielefeldt,2006-07-10,0,ts,z,0,fla,
120093,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,0,hh,o,6,sw,
120094,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,0,tss,r,3,nw,
120095,Hoelzer;Hoevelmann;Bielefeldt,2006-10-30,0,ks,z,0,fla,
120096,Hoelzer;Hoevelmann;Bielefeldt,2006-11-17,0,kh,r,5,nw,
120097,Hoelzer;Hoevelmann;Bielefeldt,2006-07-11,0,ts,z,0,fla,
120098,Hoelzer;Hoevelmann;Bielefeldt,2006-07-10,0,ts,z,1,fla,
120099,Hoelzer;Hoevelmann;Bielefeldt,2006-06-29,0,hh,m,32,nw,
120100,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,0,ks,z,1,o,
120101,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,0,ts,z,0,fla,
120102,Hoelzer;Hoevelmann;Bielefeldt,2006-07-25,0,ts,z,0,fla,
120103,Hoelzer;Hoevelmann;Bielefeldt,2006-07-11,0,ts,z,1,w,
120104,Hoelzer;Hoevelmann;Bielefeldt,2006-07-19,0,hh,m,2,sw,
120105,Hoelzer;Hoevelmann;Bielefeldt,2006-07-13,0,ts,z,0,fla,
120106,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,0,ts,r,1,s,
120107,Hoelzer;Hoevelmann;Bielefeldt,2006-07-17,0,ks,r,3,w,
120108,Hoelzer;Hoevelmann;Bielefeldt,2006-06-29,0,kvr,r,10,w,
120109,Hoelzer;Hoevelmann;Bielefeldt,2006-07-05,0,th,z,2,w,
120110,Hoelzer;Hoevelmann;Bielefeldt,2006-07-06,0,th,z,2,w,
120111,Hoelzer;Hoevelmann;Bielefeldt,2006-07-06,0,tsf,z,0,fla,
120112,Hoelzer;Hoevelmann;Bielefeldt,2006-09-04,0,ts,z,0,fla,
120113,Hoelzer;Hoevelmann;Bielefeldt,2006-07-19,0,ks,r,1,w,
120114,Hoelzer;Hoevelmann;Bielefeldt,2006-07-13,0,hh,m,0,fla,
120115,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,0,ks,r,2,n,
120116,Hoelzer;Hoevelmann;Bielefeldt,2006-07-24,0,ks,z,4,sw,
120117,Hoelzer;Hoevelmann;Bielefeldt,2006-07-26,0,ts,z,0,fla,
120118,Hoelzer;Hoevelmann;Eglin,2006-08-31,0,ks,r,1,nw,
120119,Hoelzer;Hoevelmann;Eglin,2006-08-31,0,ts,z,0,fla,
120120,Hoelzer;Hoevelmann;Bielefeldt,2006-10-04,0,hh,z,4,o,
120121,-2,1970-01-01,23,-2,-9,-2,-2,
120122,Hoelzer;Hoevelmann;Eglin,2006-08-29,0,ts,z,0,fla,
120123,Hoelzer;Hoevelmann;Eglin,2006-08-29,0,ts,z,0,fla,
120124,Hoelzer;Hoevelmann;Bielefeldt,2006-07-24,0,ts,z,1,sw,
120125,Hoelzer;Hoevelmann;Bielefeldt,2006-07-26,0,ts,z,0,fla,
120126,-2,1970-01-01,23,-2,-9,-2,-2,
120127,Hoelzer;Hoevelmann;Bielefeldt,2006-09-04,0,ts,z,0,fla,
120128,Hoelzer;Hoevelmann;Bielefeldt,2006-07-20,0,ks,z,1,n,
120129,Hoelzer;Hoevelmann;Bielefeldt,2006-07-20,0,ts,z,0,fla,
120130,Hoelzer;Hoevelmann;Bielefeldt,2006-10-05,0,ts,r,3,so,
120131,Hoelzer;Hoevelmann;Eglin,2006-08-28,0,ts,z,1,so,
120132,Hoelzer;Hoevelmann;Eglin,2006-08-28,0,ts,z,0,fla,
120133,Hoelzer;Hoevelmann;Bielefeldt,2006-09-06,0,ts,r,1,w,
120134,Hoelzer;Hoevelmann;Bielefeldt,2006-09-06,0,ts,r,1,w,
120135,Hoelzer;Hoevelmann;Bielefeldt,2006-09-07,0,ts,z,0,fla,
120136,Hoelzer;Hoevelmann;Bielefeldt,2006-09-05,0,ts,z,1,n,
120137,Hoelzer;Hoevelmann;Bielefeldt,2006-10-03,0,ts,z,0,fla,
120138,Hoelzer;Hoevelmann;Bielefeldt,2006-10-03,0,ts,z,0,fla,
120139,Hoelzer;Hoevelmann;Bielefeldt,2006-09-18,0,ts,r,1,nw,
120140,Hoelzer;Hoevelmann;Bielefeldt,2006-09-19,0,ts,z,0,fla,
120141,Hoelzer;Hoevelmann;Bielefeldt,2006-09-25,0,ts,z,0,fla,
120142,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,0,ks,r,1,no,
120143,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,0,ts,r,1,sw,
120144,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,0,ks,r,1,n,
120145,Hoelzer;Hoevelmann;Bielefeldt,2006-09-28,0,hh,m,4,s,
120146,Hoelzer;Hoevelmann;Bielefeldt,2006-10-02,0,ksr,r,1,nw,
