bund_nr,nachbar,distanz,exposition
120001,13,100,s
120002,13,40,sw
120003,17,350,sw
120004,3,40,nw
120006,1,200,w
120007,3,300,w
120009,2,50,o
120014,13,50,w
120017,15,25,s
120019,15,60,o
120022,15,40,so
120024,1,25,no
120026,3,40,w
120026,13,15,w
120027,15,70,s
120029,3,100,w
120029,15,120,o
120030,15,60,s
120031,13,600,no
120031,15,300,n
120034,17,50,o
120038,13,100,no
120038,15,50,n
120040,3,100,n
120040,13,6,o
120041,12,300,n
120041,15,60,s
120042,15,30,no
120043,13,270,w
120043,15,100,n
120044,15,140,o
120045,3,35,sw
120046,17,50,n
120046,13,115,s
120047,13,10,s
120047,15,30,n
120048,15,40,nw
120049,13,250,o
120051,2,50,so
120056,16,50,o
120057,2,-9,-9
120058,15,15,sw
120059,15,100,o
120062,15,80,n
120073,15,80,w
120074,3,-9,-9
120074,17,50,nw
120075,13,15,nw
120080,15,50,s
120080,2,5,n
120081,17,150,n
120081,15,70,n
120083,15,40,o
120089,15,30,o
120090,13,200,o
120092,15,40,sw
120094,17,300,nw
120094,2,50,nw
120094,13,300,sw
120097,17,35,sw
120098,15,60,s
120101,1,30,so
120103,13,20,o
120104,13,20,w
120106,15,20,w
120107,3,50,n
120108,3,10,n
120108,0,-2,-2
120109,15,50,nw
120110,15,180,sw
120113,14,80,s
120113,12,80,w
120115,15,30,n
120117,3,100,sw
120118,15,65,nw
120119,15,10,w
120120,15,50,w
120120,13,80,o
120122,13,20,so
120125,3,-9,-9
120130,13,70,s
120131,15,100,so
120132,15,35,o
120132,3,60,sw
120133,15,500,nw
120134,2,70,o
120136,15,50,w
120137,15,230,n
120139,13,50,nw
120140,13,360,sw
120142,15,60,w
120144,13,50,sw
120145,3,-9,-9
120149,15,65,n
120150,17,45,n
120150,2,55,s
120153,13,10,n
120155,13,75,o
120155,3,150,s
120159,15,40,nw
120160,13,150,no
120161,15,75,s
120163,2,200,sw
120163,15,100,no
120164,15,30,so
120167,15,40,o
120168,1,120,sw
120168,16,120,w
120183,15,60,o
120187,3,200,so
120188,13,150,no
