bund_nr,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120001,29,,,,0,-9,-2
120002,13,29,,,1,-9,2
120002,,,,,0,-9,-2
120002,,,,,0,-9,-2
120002,13,29,,,1,-9,8
120002,13,29,,,1,-9,4
120002,29,,,,1,-9,3
120002,,,,,0,-9,-2
120002,,,,,0,-9,-2
120003,13,,,,1,-9,1
120003,,,,,0,-9,-2
120003,,,,,0,-9,-2
120003,13,,,,1,-9,1
120003,13,,,,1,-9,2
120003,,,,,0,-9,-2
120003,,,,,0,-9,-2
120003,,,,,0,-9,-2
120004,39,29,,,0,-9,-2
120004,39,29,,,0,-9,-2
120004,39,,,,0,-9,-2
120004,39,,,,0,-9,-2
120004,39,29,,,0,-9,-2
120004,39,29,,,0,-9,-2
120004,39,29,,,0,-9,-2
120004,39,29,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120005,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120006,,,,,0,-9,-2
120007,11,,,,1,-9,1
120007,,,,,0,-9,-2
120007,,,,,0,-9,-2
120007,,,,,0,-9,-2
120007,,,,,0,-9,-2
120007,,,,,0,-9,-2
120007,,,,,0,-9,-2
120007,13,,,,1,-9,3
120008,11,,,,1,-9,3
120008,29,,,,0,-9,-2
120008,29,,,,0,-9,-2
120008,11,29,,,0,-9,-2
120008,11,,,,0,-9,-2
120008,11,,,,1,-9,3
120008,,,,,0,-9,-2
120008,,,,,0,-9,-2
120009,29,,,,0,-9,-2
120009,29,,,,0,-9,-2
120009,11,,,,1,-9,1
120009,13,,,,1,-9,1
120009,29,,,,0,-9,-2
120009,,,,,0,-9,-2
120009,29,,,,0,-9,-2
120009,11,29,,,1,-9,2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120010,,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,29,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,,,,,0,-9,-2
120011,29,,,,0,-9,-2
120012,29,,,,0,-9,-2
120012,,,,,0,-9,-2
120012,29,,,,0,-9,-2
120012,,,,,0,-9,-2
120012,-1,,,,1,-9,1
120012,29,,,,0,-9,-2
120012,,,,,0,-9,-2
120012,,,,,0,-9,-2
120013,49,,,,1,-9,0
120013,,,,,0,-9,-2
120013,,,,,0,-9,-2
120013,,,,,0,-9,-2
120013,,,,,0,-9,-2
120013,49,,,,1,-9,1
120013,,,,,0,-9,-2
120013,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120014,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120015,,,,,0,-9,-2
120016,,,,,0,-9,-2
120016,,,,,0,-9,-2
120016,-1,,,,1,-9,3
120016,-1,,,,1,-9,2
120016,,,,,0,-9,-2
120016,,,,,0,-9,-2
120016,,,,,0,-9,-2
120016,,,,,0,-9,-2
120017,,,,,0,-9,-2
120017,29,11,,,0,-9,-2
120017,,,,,0,-9,-2
120017,,,,,0,-9,-2
120017,,,,,0,-9,-2
120017,29,11,,,0,-9,-2
120017,,,,,0,-9,-2
120017,29,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120018,,,,,0,-9,-2
120019,29,,,,0,-9,-2
120019,29,,,,0,-9,-2
120019,,,,,0,-9,-2
120019,,,,,0,-9,-2
120019,29,,,,0,-9,-2
120019,29,,,,0,-9,-2
120019,,,,,0,-9,-2
120019,,,,,0,-9,-2
120020,11,,,,1,-9,1
120020,29,,,,0,-9,-2
120020,,,,,0,-9,-2
120020,11,,,,1,-9,4
120020,11,,,,1,-9,3
120020,29,,,,0,-9,-2
120020,,,,,0,-9,-2
120020,29,,,,0,-9,-2
120021,11,,,,0,-9,-2
120021,11,,,,0,-9,-2
120021,11,,,,0,-9,-2
120021,11,,,,0,-9,-2
120021,29,,,,1,-9,2
120021,,,,,0,-9,-2
120021,11,,,,0,-9,-2
120021,11,,,,0,-9,-2
120022,,,,,0,-9,-2
120022,,,,,0,-9,-2
120022,,,,,0,-9,-2
120022,,,,,0,-9,-2
120022,11,,,,1,-9,3
120022,11,,,,1,-9,4
120022,11,,,,1,-9,3
120022,,,,,0,-9,-2
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120023,-2,,,,0,-9,-9
120024,,,,,0,-9,-2
120024,49,,,,0,-9,-2
120024,13,,,,1,-9,2
120024,39,,,,0,-9,-2
120024,,,,,0,-9,-2
120024,29,,,,0,-9,-2
120024,29,,,,0,-9,-2
120024,,,,,0,-9,-2
120025,29,11,,,0,-9,-2
120025,,,,,0,-9,-2
120025,,,,,0,-9,-2
120025,11,,,,1,-9,3
120025,,,,,0,-9,-2
120025,29,,,,0,-9,-2
120025,,,,,0,-9,-2
120025,29,11,,,0,-9,-2
120026,,,,,0,-9,-2
120026,49,,,,0,-9,-2
120026,-1,,,,1,-9,1
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120027,11,,,,0,-9,-2
120027,11,13,,,1,-9,1
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,0
120027,13,,,,1,-9,1
120027,,,,,0,-9,-2
