bund_nr,datum,ort,team,x_laenge,y_laenge,distanz,azimut
120001,2006-11-08,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,222
120002,2006-11-08,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,16,300
120003,2006-10-31,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,72
120004,2006-10-31,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120005,2006-10-24,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,13,364
120006,2006-10-25,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,333
120007,2006-10-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,261
120008,2006-08-28,z,Hoelzer;Hoevelmann;Eglin,11,-2,11,100
120009,2006-10-11,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,48
120009,2008-07-08,z,Kompa,11,-9,12,48
120010,2006-10-11,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,378
120011,2006-11-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,11
120012,2006-10-10,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,378
120012,2008-07-07,z,Kompa,11,-9,14,378
120013,2006-08-22,z,Hoelzer;Hoevelmann;Eglin,11,-2,15,179
120014,2006-05-10,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,157
120014,2008-07-10,z,Kompa,11,-9,14,157
120015,2006-10-23,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,378
120016,2006-10-27,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,311
120017,2006-11-01,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,322
120018,2006-11-01,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,11
120019,2006-11-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,179
120020,2006-11-06,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,222
120021,2006-11-03,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,378
120021,2008-07-10,z,Kompa,11,-9,11,378
120022,2006-11-29,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,0
120022,2008-07-29,z,Kompa,11,-9,11,0
120024,2006-11-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,0
120025,2006-10-30,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,67
120026,2006-11-18,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,206
120027,2006-11-18,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,0
120027,2008-07-11,z,Kompa,11,-9,11,0
120028,2006-11-17,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,14
120029,2006-11-16,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,0
120030,2006-11-10,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,360
120031,2006-11-21,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,150
120031,2008-07-12,z,Kompa,11,-9,11,150
120032,2006-11-19,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,13,61
120033,2006-11-23,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,13,313
120034,2006-11-15,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,367
120035,2006-11-15,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,346
120036,2006-11-07,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,360
