bund_nr,ort,lfd_nr,schicht,deckung_bze2,deckung,art,frequenz_epi,anz_flechten
120001,z,1,bs,6.0,-9.0,036.001.001,,
120001,z,2,bs,13.0,-9.0,026.007.007,,
120001,z,3,bs,17.0,-9.0,036.004.011,,
120001,z,4,bs,23.0,-9.0,095.001.001,,
120001,z,5,bs,29.0,-9.0,095.001.005,,
120001,z,6,bs,2.0,-9.0,105.001.005,,
120001,z,7,ks,5.0,-9.0,095.001.001,,
120001,z,8,ks,1.0,-9.0,036.001.001,,
120001,z,9,ks,0.2,-9.0,080.035.018,,
120001,z,10,ss,2.0,-9.0,080.034.999,,
120001,z,11,ss,2.0,-9.0,095.001.001,,
120001,z,12,ss,25.0,-9.0,095.001.005,,
120001,z,13,ss,1.0,-9.0,105.001.005,,
120002,z,1,bs,1.0,-9.0,034.001.001,,
120002,z,2,bs,80.0,-9.0,026.007.007,,
120002,z,3,bs,18.0,-9.0,036.004.014,,
120002,z,4,ks,3.0,-9.0,036.001.001,,
120002,z,5,ks,5.0,-9.0,015.001.001,,
120002,z,6,ks,3.0,-9.0,080.009.076,,
120002,z,7,ks,66.0,-9.0,193.074.005,,
120002,z,8,ks,0.3,-9.0,199.012.124,,
120002,z,9,ms,0.2,-9.0,385.005.001,,
120002,z,10,ms,2.0,-9.0,357.005.003,,
120002,z,11,ms,1.0,-9.0,334.011.016,,
120002,z,12,ms,0.4,-9.0,338.001.003,,
120002,z,13,ss,8.0,-9.0,080.028.002,,
120003,z,1,bs,80.0,-9.0,036.001.001,,
120003,z,2,bs,5.0,-9.0,026.007.007,,
120003,z,3,bs,20.0,-9.0,034.001.001,,
120003,z,4,bs,2.0,-9.0,036.004.014,,
120003,z,5,ks,0.3,-9.0,080.035.017,,
120003,z,6,ks,1.0,-9.0,193.074.005,,
120003,z,7,ms,1.0,-9.0,357.005.003,,
120004,z,1,bs,60.0,-9.0,036.004.014,,
120004,z,2,bs,8.0,-9.0,081.030.001,,
120004,z,3,bs,70.0,-9.0,095.001.001,,
120004,z,4,ks,0.5,-9.0,139.006.001,,
120004,z,5,ks,1.0,-9.0,066.005.001,,
120004,z,6,ks,2.0,-9.0,080.009.007,,
120004,z,7,ks,0.5,-9.0,080.009.076,,
120004,z,8,ks,23.0,-9.0,128.001.001,,
120004,z,9,ks,0.1,-9.0,100.001.001,,
120004,z,10,ks,0.3,-9.0,183.043.001,,
120004,z,11,ss,5.0,-9.0,164.001.002,,
120004,z,12,ss,4.0,-9.0,080.035.018,,
120004,z,13,ss,5.0,-9.0,080.035.017,,
120004,z,14,ss,6.0,-9.0,035.003.001,,
120004,z,15,ss,9.0,-9.0,077.001.005,,
120004,z,16,ss,1.0,-9.0,080.034.999,,
120004,z,17,ss,11.0,-9.0,127.001.001,,
120005,z,1,bs,70.0,-9.0,026.005.002,,
120005,z,2,bs,5.0,-9.0,026.007.007,,
120005,z,3,ks,60.0,-9.0,193.074.005,,
120005,z,4,ms,60.0,-9.0,315.011.003,,
120005,z,5,ms,3.0,-9.0,357.008.001,,
120006,z,1,bs,10.0,-9.0,034.001.001,,
120006,z,2,bs,60.0,-9.0,026.007.007,,
120006,z,3,bs,70.0,-9.0,036.001.001,,
120006,z,4,bs,5.0,-9.0,105.001.005,,
120006,z,5,ks,1.0,-9.0,082.001.006,,
120006,z,6,ss,22.0,-9.0,036.001.001,,
120007,z,1,bs,95.0,-9.0,026.007.007,,
120007,z,2,ks,1.0,-9.0,036.004.011,,
120007,z,3,ks,60.0,-9.0,193.074.005,,
120007,z,4,ms,0.5,-9.0,357.005.003,,
120007,z,5,ms,1.0,-9.0,334.011.016,,
120007,z,6,ms,0.3,-9.0,357.008.001,,
120008,z,1,bs,70.0,-9.0,026.007.007,,
120008,z,2,ks,0.5,-9.0,193.091.001,,
120008,z,3,ks,73.0,-9.0,132.018.006,,
120008,z,4,ks,20.0,-9.0,193.074.005,,
120008,z,5,ks,11.0,-9.0,132.003.001,,
120008,z,6,ks,7.0,-9.0,132.018.004,,
120008,z,7,ks,0.5,-9.0,199.012.124,,
120008,z,8,ms,1.0,-9.0,334.011.016,,
120008,z,9,ms,78.0,-9.0,357.008.001,,
120009,z,1,b1,40.0,-9.0,026.007.007,,
120009,z,2,b2,30.0,-9.0,080.035.018,,
120009,z,3,bs,80.0,-9.0,026.007.007,,
120009,z,4,bs,70.0,-9.0,080.035.018,,
120009,z,5,ks,0.5,-9.0,103.004.001,,
120009,z,6,ks,0.5,-9.0,026.007.007,,
120009,z,7,ks,0.1,-9.0,034.001.001,,
120009,z,8,ks,0.5,-9.0,036.004.014,,
120009,z,9,ks,5.0,-9.0,080.035.018,,
120009,z,10,ks,0.5,-9.0,098.001.003,,
120009,z,11,ks,0.5,-9.0,132.018.006,,
120009,z,12,ks,0.5,-9.0,169.158.009,,
120009,z,13,ks,0.5,-9.0,169.172.001,,
