bund_nr,jahr,mittel,menge,n_ha,p_ha,k_ha,mg_ha,ca_ha,technik,einarbeitung,abdeckung
140033,1995-01-01,122,3500,,,,,,1,0,1
140034,1997-01-01,122,3500,,,,,,1,0,1
140035,1995-01-01,122,4500,,,,,,1,0,1
140035,1998-01-01,122,4500,,,,,,1,0,1
140036,1997-01-01,122,3500,,,,,,1,0,1
140036,2003-01-01,122,3500,,,,,,1,0,1
140048,1994-01-01,122,4500,,,,,,1,0,1
140048,1999-01-01,122,4500,,,,,,1,0,1
140050,1996-01-01,122,3500,,,,,,1,0,1
140050,2001-01-01,122,3500,,,,,,1,0,1
140175,1997-01-01,122,3500,,,,,,1,0,1
140175,2005-01-01,122,3500,,,,,,1,0,1
