bund_nr,uthori,grus,kies,stein,bodenart,humifizierung,grobanteil,genese,gestein_1,gestein_2,gestein_3
140001,6,5,0,5,su4,-1,-1,965,971,711,224
140001,10,5,0,5,su4,-1,-1,965,971,711,224
140001,65,5,0,5,su4,-1,-1,965,971,711,224
140001,90,15,0,25,su4,-1,-1,711,-1,-1,-1
140002,10,10,0,10,sl3,-1,-1,965,974,321,-1
140002,30,10,0,10,sl3,-1,-1,965,974,321,-1
140002,55,15,0,15,sl3,-1,-1,965,974,321,-1
140002,65,60,0,20,sl4,-1,-1,965,321,974,-1
140003,3,2,0,0,uls,-1,-1,965,944,111,-1
140003,35,2,0,0,uls,-1,-1,965,944,111,-1
140003,70,2,0,0,uls,-1,-1,965,944,111,-1
140003,80,60,0,0,sl3,-1,-1,971,111,-1,-1
140004,5,15,0,25,ls3,-1,-1,965,973,212,-1
140004,20,20,0,25,ls3,-1,-1,965,973,212,-1
140004,25,0,0,100,ss,-1,-9,212,-1,-1,-1
140005,2,0,10,0,ls3,-1,-9,965,931,974,-1
140005,25,0,10,0,ls3,-1,-9,965,931,974,-1
140005,85,0,5,0,lt2,-1,-9,965,974,931,-1
140006,7,0,0,0,fs,-1,0,928,-1,-1,-1
140006,38,0,0,0,fs,-1,0,928,-1,-1,-1
140006,60,0,0,0,fs,-1,0,928,-1,-1,-1
140006,110,0,0,0,fs,-1,0,928,-1,-1,-1
140006,160,0,0,0,fs,-1,0,928,-1,-1,-1
140006,180,0,0,0,fs,-1,0,928,-1,-1,-1
140006,181,0,0,0,-9,-1,0,928,-1,-1,-1
140007,3,0,4,2,sl2,-1,-9,931,-1,-1,-1
140007,18,0,4,2,sl2,-1,-9,931,-1,-1,-1
140007,50,0,4,2,sl4,-1,-9,931,-1,-1,-1
140007,90,0,4,2,ls3,-1,-9,969,-1,-1,-1
140008,16,0,5,0,su2,-1,-9,969,-1,-1,-1
140008,65,0,17,0,ms,-1,-9,969,-1,-1,-1
140008,90,0,59,0,msgs,-1,-9,928,-1,-1,-1
140008,190,0,46,0,msgs,-1,-9,928,-1,-1,-1
140009,3,0,1,0,su2,-1,-1,969,-1,-1,-1
140009,20,0,1,0,su2,-1,-1,969,-1,-1,-1
140009,55,0,1,0,su2,-1,-1,969,-1,-1,-1
140009,110,0,1,0,fs,-1,-1,928,-1,-1,-1
140009,130,0,25,0,fs,-1,-9,928,-1,-1,-1
140009,180,0,0,0,su3,-1,0,928,-1,-1,-1
140010,10,0,2,0,msfs,-1,-1,928,-1,-1,-1
140010,45,0,2,0,msfs,-1,-9,928,-1,-1,-1
140010,76,0,2,0,fsms,-1,-9,928,-1,-1,-1
140010,140,0,5,0,fsms,-1,-9,928,-1,-1,-1
140011,5,0,0,0,fs,-1,0,941,-1,-1,-1
140011,40,0,0,0,fs,-1,0,941,-1,-1,-1
140011,47,0,0,0,fs,-1,0,941,-1,-1,-1
140011,110,0,2,0,fsms,-1,-9,928,-1,-1,-1
140012,10,0,1,0,msfs,-1,-1,925,-1,-1,-1
140012,45,0,1,0,msfs,-1,-1,925,-1,-1,-1
140012,130,0,1,0,msfs,-1,-1,925,-1,-1,-1
140013,3,0,2,0,fs,-1,-9,925,-1,-1,-1
140013,40,0,2,0,fs,-1,-9,925,-1,-1,-1
140013,54,0,2,0,fsms,-1,-9,925,-1,-1,-1
140013,90,0,20,0,fsms,-1,-9,925,-1,-1,-1
140013,140,0,4,0,fsms,-1,-9,925,-1,-1,-1
140014,4,0,1,0,fsms,-1,-1,928,-1,-1,-1
140014,46,0,1,0,fsms,-1,-1,928,-1,-1,-1
140014,65,0,1,0,fsms,-1,-1,928,-1,-1,-1
140014,140,0,1,0,fsms,-1,-1,928,-1,-1,-1
140015,6,0,10,0,fsms,-1,-9,969,-1,-1,-1
140015,10,0,10,0,fsms,-1,-9,969,-1,-1,-1
140015,40,0,15,5,fsms,-1,-9,969,-1,-1,-1
140015,70,0,30,5,fs,-1,-9,969,-1,-1,-1
140015,140,0,2,0,msfs,-1,-1,928,-1,-1,-1
140016,7,5,0,5,fs,-1,-1,965,971,711,-1
140016,20,15,0,25,fs,-1,-1,965,971,711,-1
140016,60,15,0,20,fs,-1,-1,965,971,711,-1
140016,90,25,0,40,fs,-1,-1,965,711,971,-1
140017,5,15,0,15,sl2,-1,-1,974,111,-1,-1
140017,10,15,0,15,sl2,-1,-1,974,111,-1,-1
140017,70,15,0,20,sl2,-1,-1,974,111,-1,-1
140017,90,40,0,35,sl2,-1,-1,111,974,-1,-1
140018,5,15,0,10,sl2,-1,-1,968,974,111,-1
140018,45,20,0,15,sl2,-1,-1,968,974,111,-1
140018,90,35,0,50,sl2,-1,-1,966,111,974,-1
140019,6,0,5,2,su2,-1,-9,969,-1,-1,-1
140019,20,0,5,2,su2,-1,-9,969,-1,-1,-1
140019,55,0,5,2,su2,-1,-9,969,-1,-1,-1
140019,85,0,2,0,su2,-1,-1,928,-1,-1,-1
140019,140,0,2,12,-2,-1,-9,928,-1,-1,-1
140020,5,0,5,2,msfs,-1,-9,969,-1,-1,-1
