bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung,aufnahmestatus,probeflächengröße
130010,1,1,1,1,11,20,3,1,500
130010,2,1,2,1,12,20,4,1,500
130010,3,1,2,1,12,20,3,1,500
130010,4,1,2,1,13,30,3,1,500
130013,1,3,2,1,28,248,2,1,500
130013,2,3,2,1,33,283,2,1,500
130013,3,3,2,1,43,55,2,1,500
130013,4,1,2,1,10,48,2,1,500
130013,5,1,2,1,12,13,2,1,500
130013,6,1,2,1,17,6,2,1,500
130013,7,1,2,1,8,6,2,1,500
130013,8,1,2,1,18,21,2,1,500
130013,9,1,2,1,11,21,2,1,500
130013,10,1,2,1,11,15,2,1,500
130013,11,1,2,1,31,88,2,1,500
130013,12,1,1,1,42,20,2,1,500
130013,13,1,2,1,12,16,2,1,500
130013,14,1,2,1,12,21,2,1,500
130013,15,1,2,1,15,31,2,1,500
130013,16,1,2,1,9,15,2,1,500
130013,17,1,2,1,11,25,2,1,500
130013,18,4,1,1,42,1,4,1,500
130013,19,3,2,1,9,70,2,1,500
130013,20,1,2,1,17,15,2,1,500
130013,21,1,2,1,10,61,2,1,500
130013,22,4,1,1,39,1,4,1,500
130014,1,4,2,1,11,1,4,1,500
130014,2,4,1,1,36,1,4,1,500
130014,3,4,3,1,16,1,2,1,500
130014,4,4,3,1,13,2,2,1,500
130014,5,1,1,1,11,37,3,1,500
130014,6,1,1,1,10,3,4,1,500
130014,7,1,1,1,10,64,2,1,500
130014,8,1,1,1,11,29,3,1,500
130014,9,4,1,1,12,2,3,1,500
130014,10,1,1,1,13,29,4,1,500
130014,11,4,2,1,15,2,4,1,500
130014,12,1,2,1,13,9,4,1,500
130014,13,1,1,1,22,147,3,1,500
130014,14,1,1,1,10,23,3,1,500
130014,15,1,2,1,12,24,4,1,500
130014,16,1,1,1,11,126,2,1,500
130014,17,1,1,1,10,71,3,1,500
130014,18,4,2,1,27,1,5,1,500
130014,19,3,2,1,16,106,2,1,500
130014,20,4,1,1,35,2,4,1,500
130014,21,4,3,1,14,1,2,1,500
130014,22,3,1,1,18,185,2,1,500
130014,23,4,1,1,14,2,3,1,500
130014,24,4,2,1,14,3,4,1,500
130014,25,4,2,1,10,3,4,1,500
130014,26,4,1,1,32,2,4,1,500
130014,27,1,1,1,18,20,3,1,500
130014,28,1,1,1,21,26,3,1,500
130017,1,4,3,1,28,1,3,1,500
130017,2,4,3,1,23,1,3,1,500
130017,3,1,3,1,11,15,3,1,500
130017,4,4,3,1,21,2,2,1,500
130017,5,4,3,1,36,1,2,1,500
130017,6,4,3,1,39,1,2,1,500
130017,7,4,3,1,27,2,2,1,500
130017,8,4,3,1,29,1,3,1,500
130017,9,1,1,1,12,30,2,1,500
130017,10,1,1,1,10,20,1,1,500
