Zielmerkmale;Einheit;weniger als 0,05 m³;von 0,05 bis weniger als 0,1 m³;von 0,1 bis weniger als 0,2 m³;von 0,2 bis weniger als 0,5 m³;ab 0,5 m³;alle Stückmasse-Klassen Totholz;Bemerkung
Anteil der Fläche mit Totholz an der Gesamtfläche Wald+Nichtwald [%];[%];22,11602009;7,692742495;4,497249379;2,390220922;1,14498131;24,07139415;"alle Zielmerkmale nach Stückmasseklasse Filter:Jahr=2017 ; ; Basis:Deutschland, Holzboden, begehbar, Totholz ab 10 cm am dicken Ende, Stöcke ab 10 cm Höhe o. 10 cm Schnittfläche, bestandesübergreifend, Totholzvolumen: Kegelform ohne Spitze, Raster: 64km²: SH, NI, HE, RP, BW, BY, SL, BE, BB, MV, SN, TH / 16km²: NW / 4 km²: ST (Inventurnetz für CI 2017 (Zustandsrechnungen, terrestrisch)); reeller Flächenbezug (gemäß Trakteckenanteil) (77Z1JI_L200of_2017_ab10cm/2019-2-14 12:31:1.057)"
Totholz-Kohlendioxid [t/ha];[t/ha];2,3575084;1,541633055;1,606884417;2,028891296;3,856828117;11,39174528;
Totholz-Kohlendioxid [t];[t];25507172,67;16679771,13;17385761,3;21951684,51;41729132,65;123253522,2;
Totholz-Kohlenstoff [t/ha];[t/ha];0,64338965;0,420728407;0,438536212;0,553706473;1,052570291;3,108931028;
Totholz-Kohlenstoff [t];[t];6961184,483;4552090,725;4744763,103;5990853,144;11388333,62;33637225,03;
Totholzmasse [t/ha];[t/ha];1,2867793;0,841456814;0,877072423;1,107412946;2,105140582;6,217862056;
Totholzmasse [t];[t];13922368,97;9104181,449;9489526,206;11981706,29;22776667,23;67274450,06;
Totholzvorrat [m³/ha];[m³/ha];5,142003048;3,222617046;3,27749685;3,853832507;6,681297387;22,17724684;
Totholzvorrat [m³];[1000 m³];55634,14307;34867,25623;35461,03085;41696,7215;72288,61035;239947,762;
Waldfläche mit Totholz [ha];[ha];7900014,879;2747907,622;1606452,557;853805,5572;408996,2549;8598489,747;
Zugehörige Fläche des Auswertungsgebietes [ha];[ha];10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;
Anteil der Fläche mit Totholz an der Gesamtfläche Wald+Nichtwald [%];SE95 ±;0,008019105;0,00410105;0,002980033;0,002114727;0,001435939;0,008436445;
Totholz-Kohlendioxid [t/ha];SE95 ±;0,089680898;0,085447457;0,113085828;0,20577622;0,709279504;0,843422544;
Totholz-Kohlendioxid [t];SE95 ±;1283311,542;1073115,149;1342342,598;2335884,407;7789964,037;9956547,074;
Totholz-Kohlenstoff [t/ha];SE95 ±;0,024474891;0,023319539;0,030862351;0,056158566;0,193570084;0,230179174;
Totholz-Kohlenstoff [t];SE95 ±;350229,6592;292864,7805;366339,8749;637488,229;2125965,833;2717249,853;
Totholzmasse [t/ha];SE95 ±;0,048949782;0,046639078;0,061724702;0,112317131;0,387140168;0,460358348;
Totholzmasse [t];SE95 ±;700459,3184;585729,561;732679,7499;1274976,458;4251931,667;5434499,705;
Totholzvorrat [m³/ha];SE95 ±;0,174828819;0,164595811;0,211915564;0,377091074;1,145488282;1,455625554;
Totholzvorrat [m³];SE95 ±;2644510,885;2119706,884;2563155,338;4302969,735;12618505,89;17611506,28;
Waldfläche mit Totholz [ha];SE95 ±;286448,6724;146492,6973;106449,0991;75539,69728;51292,85986;301356,3833;
Zugehörige Fläche des Auswertungsgebietes [ha];SE95 ±;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;
