Zielmerkmale;Einheit;Eiche;Buche;andere Lb hoher Lebensdauer;andere Lb niedriger Lebensdauer;alle Laubbäume;Fichte;Tanne;Douglasie;Kiefer;Lärche;alle Nadelbäume;alle Baumarten
absorbiertes Kohlendioxid [kg/ha];[kg/ha];468507,3451;502593,7604;369908,7085;193687,1223;398788,0336;432838,84;469221,2769;367263,6686;347183,5413;367381,0107;392384,3126;395246,4153
absorbiertes Kohlendioxid [kg];[1000 kg];523115296,7;865043759,9;292670317,2;220659323,9;1901488698;1169023349;92578733,99;95251335,3;847926370,1;110374631,5;2315154420;4216643118
Anteil an der Holzbodenfläche [%];[%];10,31981572;15,90786555;7,312654405;10,5296143;44,06994992;24,96248906;1,823578517;2,397088295;22,57303422;2,776792891;54,53298295;98,60293275
Biomasse [kg/ha];[kg/ha];255722,186;274327,3426;201904,7613;105718,9279;217667,767;236253,4876;256111,8665;200461,0375;189500,8369;200525,0836;214172,4673;215734,6695
Biomasse [kg];[1000 kg];285528473,8;472160966,9;159746254,1;120440981,7;1037876676;638080083,6;50531622,34;51990390,37;462817898;60245036,01;1263665030;2301541707
flächengewogenes Alter [a];[a];103,261437;98,22733223;58,96850073;47,06678335;80,66806389;65,67490774;85,02264485;43,05095668;80,26307662;64,95836774;71,32946848;75,50329404
Grundfläche [m²/ha];[m²/ha];26,71104987;26,85049474;23,6704797;21,13195403;24,92384352;37,04660566;36,04637598;31,52096241;31,82006975;29,0849534;34,20142692;30,05487043
Grundfläche [m²];[m²];29824417,74;46213969,92;18727990,56;24074717,17;118841095,4;100056517,6;7112055,692;8175090,585;77714157,02;8738178,951;201795999,9;320637095,4
Kohlenstoffmasse [kg/ha];[kg/ha];127861,093;137163,6713;100952,3806;52859,46394;108833,8835;118126,7438;128055,9332;100230,5187;94750,41846;100262,5418;107086,2337;107867,3347
Kohlenstoffmasse [kg];[1000 kg];142764236,9;236080483,5;79873127,04;60220490,83;518938338;319040041,8;25265811,17;25995195,18;231408949;30122518,01;631832515,2;1150770854
oberirdische Biomasse [kg/ha];[kg/ha];205775,6108;253656,336;185138,7595;83622,45596;190448,713;205737,0866;220197,5533;173031,8527;157181,0336;166191,129;182670,3875;186146,8604
oberirdische Biomasse [kg];[1000 kg];229760260,6;436582878,4;146481059,3;95267431,17;908091629,4;555660527,2;43445623,02;44876519,06;383883241,8;49929865,98;1077795777;1985887405
oberirdische Kohlenstoffmasse [kg/ha];[kg/ha];102887,8054;126828,168;92569,37977;41811,22798;95224,3565;102868,5433;110098,7766;86515,92636;78590,51682;83095,5645;91335,19373;93073,43021
oberirdische Kohlenstoffmasse [kg];[1000 kg];114880130,3;218291439,2;73240529,67;47633715,59;454045814,7;277830263,6;21722811,51;22438259,53;191941620,9;24964932,99;538897888,3;992943702,4
Stammzahl;[-];771922988,8;2665178649;2022567305;2491853731;7951522675;4695985920;307595880,6;211437934,1;2417440555;180386529,7;7812846820;15764369528
Stammzahl [1/ha];[1/ha];691,3420281;1548,479073;2556,341438;2187,263017;1667,626053;1738,720703;1559,003085;815,2481129;989,8212889;600,4150109;1324,161577;1477,670832
unterirdische Biomasse [kg/ha];[kg/ha];49946,57536;20671,00687;16766,00213;22096,47253;27219,05441;30516,40169;35914,31336;27429,1846;32319,8033;34333,95559;31502,08014;29587,80924
unterirdische Biomasse [kg];[1000 kg];55768213,37;35578088,92;13265195,03;25173551,19;129785048,6;82419558,5;7085999,349;7113871,267;78934656,29;10315170,32;185869255,6;315654304,2
unterirdische Kohlenstoffmasse [kg/ha];[kg/ha];24973,28768;10335,50343;8383,001066;11048,23626;13609,5272;15258,20084;17957,15668;13714,5923;16159,90165;17166,97779;15751,04007;14793,90462
unterirdische Kohlenstoffmasse [kg];[1000 kg];27884106,68;17789044,46;6632597,516;12586775,6;64892524,29;41209779,25;3542999,675;3556935,633;39467328,14;5157585,159;92934627,78;157827152,1
Vorrat [m³/ha];[m³/ha];326,0011966;357,4441428;249,8962697;203,2560952;295,3953659;439,6480015;492,8169684;365,0343856;333,418694;354,3931889;389,8331879;347,624808
Vorrat [m³];[1000 m³];363999,0162;615218,1933;197716,947;231560,839;1408494,995;1187413,724;97234,23312;94673,16165;814308,4834;106472,617;2300102,219;3708597,213
Vorrat (FAO-Definition) [m³/ha];[m³/ha];318,0339531;351,2382439;247,2632989;201,7806387;290,5001236;425,5047256;477,6027876;353,5604731;324,6110117;341,9387265;378,0660123;338,9289991
Vorrat (FAO-Definition) [m³];[1000 m³];355103,1322;604536,8547;195633,7508;229879,9155;1385153,653;1149215,166;94232,43064;91697,35548;792797,4808;102730,843;2230673,275;3615826,928
Waldfläche (gemäß Standflächenanteil) [ha];[ha];1116557,301;1721158,972;791196,0721;1139256,556;4768168,895;2700828,208;197302,9326;259354,092;2442300,021;300436,4088;5900221,66;10668390,54
Zugehörige Holzbodenfläche des Auswertungsgebietes [ha];[ha];10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89
