ba_bwi;region;tangenz;anmerkung;Icode;begin;ende
AH;1;40;Tangenz identisch mit BAH, SAH;901;;
AH;2;45,6;;901;;
AH;3;44,5;;901;;
BAH;1;40;Tangenz identisch mit AH, SAH;902;;
BAH;2;45,6;;902;;
BAH;3;44,5;;902;;
BI;1;41,1;;903;;
BI;2;42;;903;;
BI;3;45,5;;903;;
BLB;1;37;nicht verwendet für BZE, Tangenz identisch mit LB, SLB, (Buntlaubbaum);904;;
BLB;2;42,2;;904;;
BLB;3;40;;904;;
BPA;1;38,8;Tangenz identisch mit PA;905;;
BPA;2;40;;905;;
BPA;3;43,7;;905;;
BU;1;43,8;;906;;
BU;2;44,3;;906;;
BU;3;48,3;;906;;
DGL;1;52,5;;907;;
DGL;2;45,9;;907;;
DGL;3;52,4;;907;;
EI;1;35,6;Tangenz identisch mit REI;908;;
EI;2;42,9;;908;;
EI;3;43,9;;908;;
EIB;1;38,8;Tangenz identisch mit SNB;94;;
EIB;2;63,5;;94;;
EIB;3;46,7;;94;;
EL;1;26,5;;909;;
EL;2;26,5;;909;;
EL;3;30,4;;909;;
ELA;1;60,8;Tangenz identisch mit JLA, LAE;910;;
ELA;2;55,6;;910;;
ELA;3;67;;910;;
ERL;1;45;;911;;
ERL;2;44,8;;911;;
ERL;3;46,3;;911;;
ES;1;40,1;;912;;
ES;2;37,9;;912;;
ES;3;46,7;;912;;
FAH;1;24,3;;913;;
FAH;2;24,3;;913;;
FAH;3;32,5;;913;;
FI;1;54;;914;;
FI;2;54;;914;;
FI;3;63,8;;914;;
HBU;1;35,6;;915;;
HBU;2;37,3;;915;;
HBU;3;35,4;;915;;
JLA;1;60,8;Tangenz identisch mit ELA, LAE;916;;
JLA;2;55,6;;916;;
JLA;3;67;;916;;
KA;1;26;;917;;
KA;2;36,4;;917;;
KA;3;36,2;;917;;
KI;1;52,8;;918;;
KI;2;54;;918;;
KI;3;60;;918;;
KIR;1;45,2;;919;;
KIR;2;29,8;;919;;
KIR;3;38,9;;919;;
KTA;1;48;;920;;
KTA;2;43,3;;920;;
KTA;3;49,3;;920;;
LAE;1;60,8;Tangenz identisch mit JLA, ELA;921;;
LAE;2;55,6;;921;;
LAE;3;67;;921;;
LB;1;37;nicht verwendet für BZE, Tangenz identisch mit SLB;929;;
LB;2;33,2;;929;;
LB;3;33,5;;929;;
LI;1;26,7;;922;;
LI;2;43;;922;;
LI;3;37,9;;922;;
NB;1;38,8;nicht verwendet für BZE, Tangenz identisch mit SNB;930;;
NB;2;63,5;;930;;
NB;3;46,7;;930;;
PA;1;38,8;Tangenz identisch mit BPA;923;;
PA;2;40;;923;;
PA;3;43,7;;923;;
REI;1;35,6;Tangenz identisch mit EI;924;;
REI;2;42,9;;924;;
REI;3;43,9;;924;;
ROB;1;30;;925;;
ROB;2;36,3;;925;;
ROB;3;36,5;;925;;
SAH;1;40;Tangenz identisch mit AH, BAH;926;;
SAH;2;45,6;;926;;
SAH;3;44,5;;926;;
SFI;1;50,3;;927;;
SFI;2;45,2;;927;;
SFI;3;70,7;;927;;
SKI;1;40;;928;;
SKI;2;46,9;;928;;
SKI;3;52,8;;928;;
SLB;1;37;Tangenz identisch mit LB, BLB;929;;
SLB;2;33,2;;929;;
SLB;3;33,5;;929;;
SNB;1;38,8;Tangenz identisch mit NB, EIB;930;;
SNB;2;63,5;;930;;
SNB;3;46,7;;930;;
TA;1;49,5;;931;;
TA;2;61,8;;931;;
TA;3;62;;931;;
THU;1;31,7;;932;;
THU;2;31,7;;932;;
THU;3;48;;932;;
TSU;1;43,2;;933;;
TSU;2;43,2;;933;;
TSU;3;43,2;;933;;
UL;1;26;;934;;
UL;2;21,9;;934;;
UL;3;26,5;;934;;
VB;1;42;;935;;
VB;2;34,2;;935;;
VB;3;36,6;;935;;
WEI;1;30;;936;;
WEI;2;30;;936;;
WEI;3;31,7;;936;;
WEY;1;50,7;;937;;
WEY;2;65,5;;937;;
WEY;3;59,6;;937;;
