id,kurz,lang,gueltig_ab,gueltig_bis
000.000.000,000.000.000,,1989-01-01,2021-01-01
001.001.001,001.001.001,,1989-01-01,
002.001.001,002.001.001,,1989-01-01,
002.002.001,002.002.001,,1989-01-01,
002.002.002,002.002.002,,1989-01-01,
002.002.999,002.002.999,,1989-01-01,
002.003.001,002.003.001,,1989-01-01,
002.003.002,002.003.002,,1989-01-01,
002.003.999,002.003.999,,1989-01-01,
002.004.001,002.004.001,,1989-01-01,
002.004.002,002.004.002,,1989-01-01,
002.004.003,002.004.003,,1989-01-01,
002.004.999,002.004.999,,1989-01-01,
003.001.001,003.001.001,,1989-01-01,
003.001.002,003.001.002,,1989-01-01,
003.001.003,003.001.003,,1989-01-01,
003.001.004,003.001.004,,1989-01-01,
003.001.005,003.001.005,,1989-01-01,
003.001.999,003.001.999,,1989-01-01,
004.001.001,004.001.001,,1989-01-01,
004.001.002,004.001.002,,1989-01-01,
004.001.003,004.001.003,,1989-01-01,
004.001.004,004.001.004,,1989-01-01,
004.001.005,004.001.005,,1989-01-01,
004.001.006,004.001.006,,1989-01-01,
004.001.007,004.001.007,,1989-01-01,
004.001.008,004.001.008,,1989-01-01,
004.001.009,004.001.009,,1989-01-01,
004.001.010,004.001.010,,1989-01-01,
004.001.011,004.001.011,,1989-01-01,
004.001.999,004.001.999,,1989-01-01,
005.001.001,005.001.001,,1989-01-01,
005.001.002,005.001.002,,1989-01-01,
005.001.003,005.001.003,,1989-01-01,
005.001.004,005.001.004,,1989-01-01,
005.001.005,005.001.005,,1989-01-01,
005.001.006,005.001.006,,1989-01-01,
005.001.007,005.001.007,,1989-01-01,
005.001.008,005.001.008,,1989-01-01,
005.001.009,005.001.009,,1989-01-01,
005.001.010,005.001.010,,1989-01-01,
005.001.999,005.001.999,,1989-01-01,
006.001.001,006.001.001,,1989-01-01,
006.001.002,006.001.002,,1989-01-01,
006.001.003,006.001.003,,1989-01-01,
006.001.004,006.001.004,,1989-01-01,
006.001.999,006.001.999,,1989-01-01,
006.002.001,006.002.001,,1989-01-01,
006.002.002,006.002.002,,1989-01-01,
006.002.003,006.002.003,,1989-01-01,
006.002.004,006.002.004,,1989-01-01,
006.002.005,006.002.005,,1989-01-01,
006.002.006,006.002.006,,1989-01-01,
006.002.999,006.002.999,,1989-01-01,
007.001.001,007.001.001,,1989-01-01,
008.001.001,008.001.001,,1989-01-01,
009.001.001,009.001.001,,1989-01-01,
009.001.002,009.001.002,,1989-01-01,
009.001.003,009.001.003,,1989-01-01,
009.001.004,009.001.004,,1989-01-01,
009.001.005,009.001.005,,1989-01-01,
009.001.006,009.001.006,,1989-01-01,
009.001.007,009.001.007,,1989-01-01,
009.001.999,009.001.999,,1989-01-01,
009.002.001,009.002.001,,1989-01-01,
009.003.001,009.003.001,,1989-01-01,
009.003.002,009.003.002,,1989-01-01,
009.003.999,009.003.999,,1989-01-01,
009.004.001,009.004.001,,1989-01-01,
009.005.001,009.005.001,,1989-01-01,
009.006.001,009.006.001,,1989-01-01,
009.006.002,009.006.002,,1989-01-01,
009.006.003,009.006.003,,1989-01-01,
009.006.999,009.006.999,,1989-01-01,
009.007.001,009.007.001,,1989-01-01,
009.007.002,009.007.002,,1989-01-01,
009.007.999,009.007.999,,1989-01-01,
010.001.001,010.001.001,,1989-01-01,
010.001.002,010.001.002,,1989-01-01,
010.001.003,010.001.003,,1989-01-01,
010.001.999,010.001.999,,1989-01-01,
011.001.001,011.001.001,,1989-01-01,
011.001.002,011.001.002,,1989-01-01,
011.001.999,011.001.999,,1989-01-01,
011.002.001,011.002.001,,1989-01-01,
012.001.001,012.001.001,,1989-01-01,
012.001.002,012.001.002,,1989-01-01,
012.001.003,012.001.003,,1989-01-01,
012.001.004,012.001.004,,1989-01-01,
012.001.999,012.001.999,,1989-01-01,
013.001.001,013.001.001,,1989-01-01,
014.001.001,014.001.001,,1989-01-01,
015.001.001,015.001.001,,1989-01-01,
016.001.001,016.001.001,,1989-01-01,
016.001.999,016.001.999,,1989-01-01,
016.002.001,016.002.001,,1989-01-01,
016.003.001,016.003.001,,1989-01-01,
016.004.001,016.004.001,,1989-01-01,
016.005.001,016.005.001,,1989-01-01,
017.001.001,017.001.001,,1989-01-01,
017.001.002,017.001.002,,1989-01-01,
017.001.003,017.001.003,,1989-01-01,
017.001.004,017.001.004,,1989-01-01,
017.001.005,017.001.005,,1989-01-01,
017.001.006,017.001.006,,1989-01-01,
017.001.007,017.001.007,,1989-01-01,
017.001.008,017.001.008,,1989-01-01,
017.001.009,017.001.009,,1989-01-01,
017.001.010,017.001.010,,1989-01-01,
017.001.011,017.001.011,,1989-01-01,
017.001.012,017.001.012,,1989-01-01,
017.001.013,017.001.013,,1989-01-01,
017.001.014,017.001.014,,1989-01-01,
017.001.015,017.001.015,,1989-01-01,
017.001.016,017.001.016,,1989-01-01,
017.001.017,017.001.017,,1989-01-01,
017.001.018,017.001.018,,1989-01-01,
017.001.019,017.001.019,,1989-01-01,
017.001.020,017.001.020,,1989-01-01,
017.001.021,017.001.021,,1989-01-01,
017.001.022,017.001.022,,1989-01-01,
017.001.023,017.001.023,,1989-01-01,
017.001.024,017.001.024,,1989-01-01,
017.001.025,017.001.025,,1989-01-01,
017.001.026,017.001.026,,1989-01-01,
017.001.027,017.001.027,,1989-01-01,
017.001.028,017.001.028,,1989-01-01,
017.001.029,017.001.029,,1989-01-01,
017.001.030,017.001.030,,1989-01-01,
017.001.031,017.001.031,,1989-01-01,
017.001.999,017.001.999,,1989-01-01,
018.001.001,018.001.001,,1989-01-01,
018.001.002,018.001.002,,1989-01-01,
