icode;kurzd;langd;genus;species;zu_bart_flora;laub_nadel;zu_icp_code;zu_bartgr_wze;zu_ba_bwi;anmerkung;bze_al;beginn;ende
-9;fehlt;Merkmal vergessen, nicht rekonstruierbar oder unbekannt;-2;-2;;;0;;;;FALSCH;;
-2;nicht ausgeprägt;Merkmal nicht ausgeprägt/nicht vorhanden;-2;-2;;;;;;;FALSCH;;01. Apr 20
-1;nicht erhoben;Merkmal nicht erhoben;-2;-2;;;0;;;;FALSCH;31. Dez 05;
100;Ah;Ahorn;Acer;spp.;095.001.999.DL;LB;215;30011;AH;;WAHR;31. Dez 86;
101;SAh;Spitz-Ahorn;Acer;platanoides;95.001.001;LB;4;30011;SAH;;WAHR;31. Dez 86;
102;BAh;Berg-Ahorn;Acer;pseudoplatanus;95.001.005;LB;227;30011;BAH;;WAHR;31. Dez 86;
103;Er;Erle;Alnus;spp.;34.002.999;LB;216;30011;ERL;;WAHR;31. Dez 86;
104;SEr;Schwarz-Erle;Alnus;glutinosa;34.002.002;LB;7;30011;ERL;;WAHR;31. Dez 86;
105;WEr;Grau-Erle;Alnus;incana;34.002.004;LB;8;30011;ERL;;WAHR;31. Dez 89;
106;Bi;Birke;Betula;spp.;034.001.999.DL;LB;212;30011;BI;;WAHR;31. Dez 86;
107;SBi;Sand-Birke;Betula;pendula;34.001.001;LB;10;30011;BI;;WAHR;31. Dez 86;
108;MBi;Moor-Birke;Betula;pubescens;34.001.002;LB;11;30011;BI;;WAHR;31. Dez 86;
109;HBu;Hainbuche;Carpinus;betulus;35.001.001;LB;13;30011;HBU;;WAHR;31. Dez 86;
110;EKa;Edel-Kastanie;Castanea;sativa;36.003.001;LB;15;30011;KA;(C. vesca);FALSCH;31. Dez 86;
111;RBu;Rot-Buche;Fagus;sylvatica;36.001.001;LB;20;30016;BU;;WAHR;31. Dez 86;
112;GEs;Gewoehnliche Esche;Fraxinus;excelsior;139.004.003;LB;22;30011;ES;;WAHR;31. Dez 86;
