"stand_type","compartiment","stand_component","inv","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","n_ha","n_SP","plot_ID","stand","dom_SP","SP_code"
"1","ag","DW","BZE3",4.14023568732961,2.0701178436648,0.00458481468450325,NA,685.528535950534,NA,"all","all","all","all"
"1","ag","LT","BZE3",129.962302477188,64.9811512385938,0.199696202463422,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","ag","RG","BZE3",2.02528053390672,1.01264026695336,0.00742051707994711,NA,5991.25868058672,3.4,"all","all","all","all"
"1","ag","all","BZE3",237.783427049832,118.891713524916,0.361299149225017,NA,NA,NA,"all","all","all","all"
"1","bg","LT","BZE3",18.8055899936429,9.40279499682144,0.0767108521017502,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","bg","RG","BZE3",0.811095021950508,0.405547510975254,0.00333975651392783,NA,5991.25868058672,3.4,"all","all","all","all"
"1","bg","all","BZE3",33.1051853359902,16.5525926679951,0.135868456796144,NA,NA,NA,"all","all","all","all"
"1","fwb","DW","BZE3",3.24392516209325,1.62196258104663,0.014088366978971,NA,685.528535950534,NA,"all","all","all","all"
"1","fwb","LT","BZE3",16.4988401837827,8.24942009189137,0.073745877831011,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","fwb","RG","BZE3",2.93673117354067,1.46836558677034,0.0129454793845301,NA,5991.25868058672,3.4,"all","all","all","all"
"1","ndl","LT","BZE3",7.64818441284111,3.82409220642055,0,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","ndl","RG","BZE3",0.647119092653761,0.32355954632688,0,NA,5991.25868058672,3.4,"all","all","all","all"
"1","sb","DW","BZE3",1.09551406497764,0.547757032488819,0.00530228807449176,NA,685.528535950534,NA,"all","all","all","all"
"1","sb","LT","BZE3",7.97217955379283,3.98608977689641,0.0391532202744259,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","stb","DW","BZE3",0.101519645594681,0.0507598227973408,0.000491355084678259,NA,685.528535950534,NA,"all","all","all","all"
"1","stb","LT","BZE3",0.361936635171644,0.180968317585822,0.00177271162245372,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","stw","DW","BZE3",1.23861034231725,0.619305171158627,0.00100575159796161,NA,685.528535950534,NA,"all","all","all","all"
"1","stw","LT","BZE3",4.21408782443681,2.1070439122184,0.00357945197399265,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","sw","DW","BZE3",13.000486991906,6.50024349595299,0.0105563954374277,NA,685.528535950534,NA,"all","all","all","all"
"1","sw","LT","BZE3",91.3024361636757,45.6512180818379,0.0782666151556583,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","total","LT","BZE3",148.292883789636,74.1464418948179,0.27569865214088,25.7783602771747,461.37581658032,2,"all","all","all","all"
"1","total","RG","BZE3",2.60574901824918,1.30287450912459,0.00981142851442351,NA,5991.25868058672,3.4,"all","all","all","all"
"1","total","all","BZE3",256.200127813718,128.100063906859,0.480717367230993,NA,NA,NA,"all","all","all","all"
"2","ag","DW","BZE3",1.60424150786851,0.802120753934254,0.00165184578987575,NA,446.359688131057,NA,"all","all","all","all"
"2","ag","LT","BZE3",102.731803872448,51.3659019362241,0.158488782308671,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","ag","RG","BZE3",0.398203053051922,0.199101526525961,0.00201143364576176,NA,1952.57411011996,5,"all","all","all","all"
"2","ag","all","BZE3",152.793969868974,76.3969849344872,0.229997032560996,NA,NA,NA,"all","all","all","all"
"2","bg","LT","BZE3",18.8955328247122,9.4477664123561,0.0347916397831237,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","bg","RG","BZE3",0.0194901227294265,0.00974506136471324,3.4497717274e-05,NA,1952.57411011996,5,"all","all","all","all"
"2","bg","all","BZE3",26.8308444090721,13.4154222045361,0.0485379091912407,NA,NA,NA,"all","all","all","all"
"2","fwb","DW","BZE3",0.192451007142685,0.0962255035713422,0.000835814724020679,NA,446.359688131057,NA,"all","all","all","all"
"2","fwb","LT","BZE3",12.4090497698169,6.20452488490844,0.0527198625758985,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","fwb","RG","BZE3",0.547646787350249,0.273823393675124,0.00286420634472435,NA,1952.57411011996,5,"all","all","all","all"
"2","ndl","LT","BZE3",3.63250183150055,1.81625091575027,0,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","ndl","RG","BZE3",0.0173141113085543,0.00865705565427716,0,NA,1952.57411011996,5,"all","all","all","all"
"2","sb","DW","BZE3",0.137959410687944,0.0689797053439719,0.000667723547729648,NA,446.359688131057,NA,"all","all","all","all"
"2","sb","LT","BZE3",7.4805506004727,3.74027530023635,0.0338466547231762,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","stb","DW","BZE3",0.0624369502210952,0.0312184751105476,0.000302194839070101,NA,446.359688131057,NA,"all","all","all","all"
"2","stb","LT","BZE3",0.261678816989851,0.130839408494926,0.001173868497666,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","stw","DW","BZE3",0.700742960478698,0.350371480239349,0.000569003283908703,NA,446.359688131057,NA,"all","all","all","all"
"2","stw","LT","BZE3",2.43620596368369,1.21810298184184,0.00204926667275439,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","sw","DW","BZE3",1.23542986614193,0.617714933070962,0.00100316905130724,NA,446.359688131057,NA,"all","all","all","all"
"2","sw","LT","BZE3",75.226771456929,37.6133857284645,0.0639224776907866,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
