"plot_ID","team","date","stand_spec","stand_type","structure","hbi_status","inv_year","inv","CCS_r_m","CCS_LT_inv_status"
140037,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",5.64,1
140037,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",12.62,1
140037,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",17.84,1
140038,"PiKü",2022-10-13,1,1,4,1,2022,"BZE3",5.64,1
140038,"PiKü",2022-10-13,1,1,4,1,2022,"BZE3",12.62,1
140038,"PiKü",2022-10-13,1,1,4,1,2022,"BZE3",17.84,1
140039,"PiKü",2022-10-13,1,1,4,2,2022,"BZE3",5.64,1
140039,"PiKü",2022-10-13,1,1,4,2,2022,"BZE3",12.62,1
140039,"PiKü",2022-10-13,1,1,4,2,2022,"BZE3",17.84,1
140040,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",5.64,1
140040,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",12.62,1
140040,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",17.84,1
140041,"PiKü",2022-10-19,1,1,4,1,2022,"BZE3",5.64,1
140041,"PiKü",2022-10-19,1,1,4,1,2022,"BZE3",12.62,1
140041,"PiKü",2022-10-19,1,1,4,1,2022,"BZE3",17.84,1
140042,"PiKü",2022-10-14,1,1,4,2,2022,"BZE3",5.64,1
140042,"PiKü",2022-10-14,1,1,4,2,2022,"BZE3",12.62,1
140042,"PiKü",2022-10-14,1,1,4,2,2022,"BZE3",17.84,1
140043,"PiKü",2022-10-14,1,6,4,1,2022,"BZE3",5.64,1
140043,"PiKü",2022-10-14,1,6,4,1,2022,"BZE3",12.62,1
140043,"PiKü",2022-10-14,1,6,4,1,2022,"BZE3",17.84,1
140044,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",5.64,1
140044,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",12.62,1
140044,"PiKü",2022-10-13,1,1,1,1,2022,"BZE3",17.84,1
140045,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",5.64,1
140045,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",12.62,1
140045,"PiKü",2022-09-13,1,1,5,1,2022,"BZE3",17.84,1
140046,"PiKü",2022-10-14,0,7,3,1,2022,"BZE3",5.64,2
140046,"PiKü",2022-10-14,0,7,3,1,2022,"BZE3",12.62,2
140046,"PiKü",2022-10-14,0,7,3,1,2022,"BZE3",17.84,2
140047,"",2022-09-13,1,1,4,2,2022,"BZE3",5.64,1
140047,"",2022-09-13,1,1,4,2,2022,"BZE3",12.62,1
140047,"",2022-09-13,1,1,4,2,2022,"BZE3",17.84,1
140048,"PiKü",2022-11-03,1,1,5,2,2022,"BZE3",5.64,1
140048,"PiKü",2022-11-03,1,1,5,2,2022,"BZE3",12.62,1
140048,"PiKü",2022-11-03,1,1,5,2,2022,"BZE3",17.84,1
140049,"PiKü",2022-09-11,1,1,1,1,2022,"BZE3",5.64,1
140049,"PiKü",2022-09-11,1,1,1,1,2022,"BZE3",12.62,1
140049,"PiKü",2022-09-11,1,1,1,1,2022,"BZE3",17.84,1
140050,"PiKü",2022-09-12,1,1,1,2,2022,"BZE3",5.64,1
140050,"PiKü",2022-09-12,1,1,1,2,2022,"BZE3",12.62,1
140050,"PiKü",2022-09-12,1,1,1,2,2022,"BZE3",17.84,1
140051,"PiKü",2022-09-12,1,1,4,1,2022,"BZE3",5.64,1
140051,"PiKü",2022-09-12,1,1,4,1,2022,"BZE3",12.62,1
140051,"PiKü",2022-09-12,1,1,4,1,2022,"BZE3",17.84,1
140052,"PiKü",2022-09-12,1,1,1,1,2022,"BZE3",5.64,1
140052,"PiKü",2022-09-12,1,1,1,1,2022,"BZE3",12.62,1
140052,"PiKü",2022-09-12,1,1,1,1,2022,"BZE3",17.84,1
140053,"PiKü",2022-08-04,1,6,6,1,2022,"BZE3",5.64,1
140053,"PiKü",2022-08-04,1,6,6,1,2022,"BZE3",12.62,1
140053,"PiKü",2022-08-04,1,6,6,1,2022,"BZE3",17.84,1
140054,"PiKü",2022-04-12,1,1,1,1,2022,"BZE3",5.64,1
140054,"PiKü",2022-04-12,1,1,1,1,2022,"BZE3",12.62,1
140054,"PiKü",2022-04-12,1,1,1,1,2022,"BZE3",17.84,1
140055,"PiKü",2022-11-16,1,1,2,2,2022,"BZE3",5.64,1
140055,"PiKü",2022-11-16,1,1,2,2,2022,"BZE3",12.62,1
140055,"PiKü",2022-11-16,1,1,2,2,2022,"BZE3",17.84,1
140056,"PiKü",2022-10-15,1,1,1,1,2022,"BZE3",5.64,1
