"";"X.2";"X.1";"plot_ID";"tree_ID";"old_tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha";"old_tree_ID";"tree_inventory_status"
"1";1;1;140037;1;2;FALSE;335;53;64;1;"gfi";2;1;-9;-9;395;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";39,5;17,84;3,35;1,32634925310914;-3,0762473338106;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;1;2
"2";2;2;140037;2;2;FALSE;1332;42;64;1;"gfi";1;1;-9;-9;461;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";46,1;17,84;13,32;-12,2080670182362;-5,32780439564484;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;2;2
"3";3;3;140037;3;2;FALSE;1415;70;64;1;"gfi";2;1;-9;-9;325;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,5877192982456;17,84;14,15;10,9505531440441;8,96146672367114;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;3;2
"4";4;4;140037;4;2;FALSE;1564;88;64;1;"gfi";2;1;-9;-9;403;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";40,3;17,84;15,64;0,553629454754453;15,6301981569918;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;4;2
"5";5;5;140037;5;2;FALSE;1290;81;64;1;"gfi";2;1;-9;-9;321;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,1;17,84;12,9;-8,12555512614045;10,019249168079;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;5;2
"6";6;6;140037;6;2;FALSE;1024;83;64;1;"gfi";3;1;-9;-9;224;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";22,4877192982456;12,62;10,24;9,9160520816659;2,55529080804698;1;1;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386;6;2
"7";7;7;140037;7;2;FALSE;678;72;64;1;"gfi";2;1;-9;-9;377;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";37,7;17,84;6,78;1,72092239952661;-6,55795898849692;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;7;2
"8";8;8;140037;8;2;FALSE;1378;109;64;1;"gfi";2;1;-9;-9;299;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";29,9877192982456;12,62;13,78;11,2547131194484;-7,95109002583388;1;1;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386;8;2
"9";9;9;140037;9;2;FALSE;1634;122;64;1;"gfi";2;1;-9;-9;325;190;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,7631578947368;17,84;16,34;8,14897293466708;-14,1629742677894;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;9;2
"10";10;10;140037;10;2;FALSE;1099;122;64;1;"gfi";2;1;-9;-9;334;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";33,4;17,84;10,99;5,48085756132137;-9,52577033066126;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;10;2
"11";11;11;140037;11;2;FALSE;851;139;64;1;"gfi";3;1;-9;-9;258;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";25,8;12,62;8,51;5,92364191672255;6,10987450300312;1;1;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386;11;2
"12";14;14;140037;14;2;FALSE;879;162;64;1;"gfi";3;1;128;81;167;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";16,7;12,62;8,79;-8,60057858347381;1,81497879587936;1;1;1;"A";"0";500,115280167522;0,0500115280167522;0,0500343869018386;14;2
"13";15;15;140037;15;2;FALSE;1671;145;64;1;"gfi";1;1;-9;-9;404;200;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";40,7070175438596;17,84;16,71;7,81602165777418;14,769356974669;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;15;2
"14";17;17;140037;17;2;FALSE;1021;188;64;1;"gfi";2;1;-9;-9;428;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";42,8;17,84;10,21;-4,85509666061312;8,98176688720562;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;17;2
"15";19;19;140037;19;2;FALSE;1100;228;64;1;"gfi";2;1;-9;-9;369;170;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";37,0754385964912;17,84;11;10,6988536873419;-2,55627263351375;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;19;2
"16";23;23;140037;23;2;FALSE;1209;250;64;1;"gfi";2;1;-9;-9;350;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";35;17,84;12,09;-11,7336837562604;2,91354861089878;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;23;2
