"plot_ID","CCS_r_m","plot_A_ha","inv_year","compartiment","B_CCS_t_ha","C_CCS_t_ha","N_CCS_t_ha","BA_CCS_m2_ha","n_trees_CCS_ha"
"140046","5.64","0.00999328056736299","2022","ag","0","0","0","0","0"
"140046","5.64","0.00999328056736299","2022","bg","0","0","0","0","0"
"140046","5.64","0.00999328056736299","2022","total","0","0","0","0","0"
"140046","12.62","0.0500343869018386","2022","ag","0","0","0","0","0"
"140046","12.62","0.0500343869018386","2022","bg","0","0","0","0","0"
"140046","12.62","0.0500343869018386","2022","total","0","0","0","0","0"
"140046","17.84","0.0999860870850348","2022","ag","0","0","0","0","0"
"140046","17.84","0.0999860870850348","2022","bg","0","0","0","0","0"
"140046","17.84","0.0999860870850348","2022","total","0","0","0","0","0"
"140064","17.84","0.0999860870850348","2022","ag","0","0","0","0","0"
"140064","17.84","0.0999860870850348","2022","bg","0","0","0","0","0"
"140064","17.84","0.0999860870850348","2022","total","0","0","0","0","0"
"140067","17.84","0.0999860870850348","2022","ag","0","0","0","0","0"
"140067","17.84","0.0999860870850348","2022","bg","0","0","0","0","0"
"140067","17.84","0.0999860870850348","2022","total","0","0","0","0","0"
"140187","5.64","0.00999328056736299","2022","ag","0","0","0","0","0"
"140187","5.64","0.00999328056736299","2022","bg","0","0","0","0","0"
"140187","5.64","0.00999328056736299","2022","total","0","0","0","0","0"
"140254","17.84","0.0999860870850348","2022","ag","0","0","0","0","0"
"140254","17.84","0.0999860870850348","2022","bg","0","0","0","0","0"
"140254","17.84","0.0999860870850348","2022","total","0","0","0","0","0"
