"plot_ID","inv_year","e_form","e_ID","e_type","stand","geometry"
140042,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140043,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140048,2022,2,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140054,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140058,2022,2,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140055,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140057,2022,2,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140065,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140060,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140037,2022,1,1,1,"no forest","-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140056,2022,2,1,1,"no forest","-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140254,2022,2,1,1,"warning","-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140316,2022,1,1,1,"no forest","-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140046,2022,1,1,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140046,2022,1,2,NA,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140039,2022,1,1,2,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140053,2022,1,1,1,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140068,2022,1,1,1,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140039,2022,2,2,3,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140053,2022,1,2,3,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
140068,2022,2,2,3,NA,"-51.4469275791195, 5.76328010093844, -49.9899406696337, -51.4469275791195, -30.8741581693953, -59.7225635959988, 33.1814079244161, -30.8741581693953"
