"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
140042,1,2022,17.84,"no intersections",0,"B"
140042,0,2022,17.84,"0",999.404070914056,"A"
140042,1,2022,12.62,"no intersections",0,"B"
140042,0,2022,12.62,"0",500.115280167522,"A"
140042,1,2022,5.64,"no intersections",0,"B"
140042,0,2022,5.64,"0",99.8871500223328,"A"
140043,1,2022,17.84,"no intersections",0,"B"
140043,0,2022,17.84,"0",999.404070914056,"A"
140043,1,2022,12.62,"no intersections",0,"B"
140043,0,2022,12.62,"0",500.115280167522,"A"
140043,1,2022,5.64,"no intersections",0,"B"
140043,0,2022,5.64,"0",99.8871500223328,"A"
140048,1,2022,17.84,"partly intersecting",603.001711904139,"A"
140048,0,2022,17.84,"0",396.402359009917,"B"
140048,1,2022,12.62,"partly intersecting",376.16166424301,"A"
140048,0,2022,12.62,"0",123.953615924513,"B"
140048,1,2022,5.64,"fully covering circle",99.8871500223328,"A"
140048,0,2022,5.64,"0",0,"B"
140054,1,2022,17.84,"no intersections",0,"B"
140054,0,2022,17.84,"0",999.404070914056,"A"
140054,1,2022,12.62,"no intersections",0,"B"
140054,0,2022,12.62,"0",500.115280167522,"A"
140054,1,2022,5.64,"no intersections",0,"B"
140054,0,2022,5.64,"0",99.8871500223328,"A"
140058,1,2022,17.84,"partly intersecting",508.281477280971,"A"
140058,0,2022,17.84,"0",491.122593633086,"B"
140058,1,2022,12.62,"partly intersecting",346.231521825223,"A"
140058,0,2022,12.62,"0",153.883758342299,"B"
140058,1,2022,5.64,"fully covering circle",99.8871500223328,"A"
140058,0,2022,5.64,"0",0,"B"
140055,1,2022,17.84,"partly intersecting",477.698765240249,"B"
140055,0,2022,17.84,"0",521.705305673807,"A"
140055,1,2022,12.62,"partly intersecting",234.495428422025,"B"
140055,0,2022,12.62,"0",265.619851745498,"A"
140055,1,2022,5.64,"partly intersecting",42.9997372353189,"B"
140055,0,2022,5.64,"0",56.8874127870138,"A"
140057,1,2022,17.84,"partly intersecting",970.564376736497,"A"
140057,0,2022,17.84,"0",28.8396941775588,"B"
140057,1,2022,12.62,"fully covering circle",500.115280167522,"A"
140057,0,2022,12.62,"0",0,"B"
140057,1,2022,5.64,"fully covering circle",99.8871500223328,"A"
140057,0,2022,5.64,"0",0,"B"
140065,1,2022,17.84,"partly intersecting",245.607442516441,"B"
140065,0,2022,17.84,"0",753.796628397615,"A"
140065,1,2022,12.62,"partly intersecting",75.9853752029446,"B"
140065,0,2022,12.62,"0",424.129904964578,"A"
140065,1,2022,5.64,"no intersections",0,"B"
140065,0,2022,5.64,"0",99.8871500223328,"A"
140060,1,2022,17.84,"partly intersecting",89.7682317612089,"B"
140060,0,2022,17.84,"0",909.635839152847,"A"
140060,1,2022,12.62,"no intersections",0,"B"
140060,0,2022,12.62,"0",500.115280167522,"A"
140060,1,2022,5.64,"no intersections",0,"B"
140060,0,2022,5.64,"0",99.8871500223328,"A"
140046,1,2022,17.84,"partly intersecting",43.8035958442049,"C"
140046,2,2022,17.84,"partly intersecting",299.264259017165,"B"
140046,0,2022,17.84,"0",656.336216052686,"A"
140046,1,2022,12.62,"no intersections",0,"C"
140046,2,2022,12.62,"partly intersecting",110.861344891647,"B"
140046,0,2022,12.62,"0",389.253935275875,"A"
140046,1,2022,5.64,"no intersections",0,"C"
140046,2,2022,5.64,"no intersections",0,"B"
140046,0,2022,5.64,"0",99.8871500223328,"A"
140037,1,2022,17.84,"no intersections",0,"no forest"
140037,0,2022,17.84,"0",999.404070914056,"A"
140037,1,2022,12.62,"no intersections",0,"no forest"
140037,0,2022,12.62,"0",500.115280167522,"A"
140037,1,2022,5.64,"no intersections",0,"no forest"
140037,0,2022,5.64,"0",99.8871500223328,"A"
140056,1,2022,17.84,"partly intersecting",232.250089966904,"no forest"
140056,0,2022,17.84,"0",767.153980947152,"A"
140056,1,2022,12.62,"partly intersecting",55.0990329282616,"no forest"
140056,0,2022,12.62,"0",445.016247239261,"A"
140056,1,2022,5.64,"no intersections",0,"no forest"
140056,0,2022,5.64,"0",99.8871500223328,"A"
140254,1,2022,17.84,"partly intersecting",177.688766223274,"warning"
140254,0,2022,17.84,"0",821.715304690782,"A"
140254,1,2022,12.62,"partly intersecting",35.5091506282616,"warning"
140254,0,2022,12.62,"0",464.60612953926,"A"
140254,1,2022,5.64,"no intersections",0,"warning"
140254,0,2022,5.64,"0",99.8871500223328,"A"
140316,1,2022,17.84,"no intersections",0,"no forest"
140316,0,2022,17.84,"0",999.404070914056,"A"
140316,1,2022,12.62,"no intersections",0,"no forest"
140316,0,2022,12.62,"0",500.115280167522,"A"
140316,1,2022,5.64,"no intersections",0,"no forest"
140316,0,2022,5.64,"0",99.8871500223328,"A"
140039,1,2022,17.84,"no intersections",0,"no forest"
140039,2,2022,17.84,"partly intersecting",426.368751405638,"B"
140039,0,2022,17.84,"0",573.035319508419,"A"
140039,1,2022,12.62,"no intersections",0,"no forest"
140039,2,2022,12.62,"partly intersecting",281.541177072088,"B"
140039,0,2022,12.62,"0",218.574103095434,"A"
140039,1,2022,5.64,"no intersections",0,"no forest"
140039,2,2022,5.64,"partly intersecting",71.5351489728496,"B"
140039,0,2022,5.64,"0",28.3520010494832,"A"
140053,1,2022,17.84,"no intersections",0,"no forest"
140053,2,2022,17.84,"partly intersecting",132.613895479294,"B"
140053,0,2022,17.84,"0",866.790175434762,"A"
140053,1,2022,12.62,"no intersections",0,"no forest"
140053,2,2022,12.62,"partly intersecting",12.9665130542493,"B"
140053,0,2022,12.62,"0",487.148767113273,"A"
140053,1,2022,5.64,"no intersections",0,"no forest"
140053,2,2022,5.64,"no intersections",0,"B"
140053,0,2022,5.64,"0",99.8871500223328,"A"
140068,1,2022,17.84,"no intersections",0,"no forest"
140068,2,2022,17.84,"partly intersecting",682.977223444476,"A"
140068,0,2022,17.84,"0",316.42684746958,"B"
140068,1,2022,12.62,"no intersections",0,"no forest"
140068,2,2022,12.62,"partly intersecting",384.573866561351,"A"
140068,0,2022,12.62,"0",115.541413606171,"B"
140068,1,2022,5.64,"no intersections",0,"no forest"
140068,2,2022,5.64,"partly intersecting",99.6843519767332,"A"
140068,0,2022,5.64,"0",0.202798045599534,"B"
