"plot_ID","e_ID","e_type","e_form","A_dist","A_azi","B_dist","B_azi","T_dist","T_azi","inv_year","inv","rem_reason"
140014,1,3,1,1982,129,1788,67,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140022,1,1,1,2715,290,2718,340,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140023,1,2,1,2795,7,2982,39,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140024,1,1,1,1751,343,1290,291,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140026,1,1,1,2022,313,2250,387,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140027,1,3,1,2622,297,2466,336,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140027,2,3,1,1848,376,2340,52,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140029,1,3,1,2303,299,1944,363,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140033,1,3,1,2276,221,2302,160,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
140234,1,2,1,2285,155,2128,190,-2,-2,1970,"warning","all LT circles excluded during inventory status sorting"
