"";"plot_ID";"e_ID";"e_type";"e_form";"A_dist";"A_azi";"B_dist";"B_azi";"T_dist";"T_azi";"inv_year";"inv"
"1";140037;1;1;1;2910;48;2970;17;-2;-2;2022;"BZE3"
"2";140039;1;2;1;2420;118;3010;69;-2;-2;2022;"BZE3"
"3";140042;1;3;1;2720;245;2980;299;-2;-2;2022;"BZE3"
"4";140043;1;3;1;2537;146;1881;194;-2;-2;2022;"BZE3"
"5";140046;1;3;1;3800;294;1600;395;-2;-2;2022;"BZE3"
"6";140048;1;3;2;1555;6;2136;240;1123;143;2022;"BZE3"
"7";140053;1;1;1;2998;22;2631;381;-2;-2;2022;"BZE3"
"8";140054;1;3;1;2994;107;2684;143;-2;-2;2022;"BZE3"
"9";140056;1;1;2;2870;204;1241;378;1378;267;2022;"BZE3"
"10";140068;1;1;1;2355;30;2679;383;-2;-2;2022;"BZE3"
"11";140187;1;1;2;2430;171;2730;80;2980;121;2022;"BZE3"
"12";140254;1;1;2;970;186;2522;313;2478;274;2022;"BZE3"
"13";140316;1;1;1;2992;190;2611;144;-2;-2;2022;"BZE3"
"14";140039;2;3;2;1760;120;234;346;1798;2;2022;"BZE3"
"15";140053;2;3;1;1253;258;1317;326;-9;-9;2022;"BZE3"
"16";140058;1;3;2;2710;144;1945;41;1635;305;2022;"BZE3"
"17";140058;2;3;2;2657;248;2154;263;2263;290;2022;"BZE3"
"18";140046;2;3;1;1450;35;1750;188;-9;-9;2022;"BZE3"
"19";140055;1;3;1;855;385;1155;193;-9;-9;2022;"BZE3"
"20";140057;1;4;2;2123;280;2327;145;1885;193;2022;"BZE3"
"21";140068;2;3;2;2066;29;1365;240;1525;390;2022;"BZE3"
"22";140065;1;4;1;1511;140;1682;1;-9;-9;2022;"BZE3"
"23";140060;1;3;1;1751;361;1449;280;-9;-9;2022;"BZE3"
