"";"plot_ID";"LT_RMS_DBH";"LT_FSI_DBH_RMS";"LT_sd_DBH_cm";"LT_FSI_DBH_SD";"LT_sd_H_m";"LT_FSI_H_SD";"LT_n_SP";"LT_FSI_n_SP";"inv";"LT_n_bark_TY";"LT_FSI_bark_TY";"LT_Vm340_plot";"LT_FSI_V40";"LT_n_fruit_TY";"LT_FSI_fruit_TY";"DW_n_dec";"DW_FSI_n_dec";"DW_LY_mean_D_cm";"DW_FSI_LY_mean_D_cm";"DW_ST_mean_D_cm";"DW_FSI_ST_mean_D_cm";"RG_n_SP";"RG_FSI_n_SP";"FSI_sum";"FSI_total"
"1";50001;35,2433993820119;0,45087408712258;5,30108699206974;0,229981893619327;1,50682035864843;0,127657623928631;3;0,5;"HBI";3;0,75;4,72395542983679;0,06164007213192;2;0,4;5;1;24,2;0,504166666666667;23;0,370967741935484;0;0;4,39528808540461;0,399571644127692
"2";50002;31,0509259121206;0,397239146065002;3,93761315022276;0,170829063922798;1,30119184106498;0,11023680278296;1;0,166666666666667;"HBI";2;0,5;1,1131497403852;0,0145248259239699;1;0,2;3;0,6;25,625;0,533854166666667;17;0,274193548387097;0;0;2,96754422041516;0,269776747310469
"3";50003;12,2874989960914;0,157195815103749;2,55884383688213;0,111012656831072;2,42934378312075;0,205813687928372;2;0,333333333333333;"HBI";2;0,5;0;0;2;0,4;2;0,4;30,2;0,629166666666667;0;0;3;0,333333333333333;2,73652215986319;0,248774741805745
"4";50004;41,0730658891119;0,525453883927293;7,99482362806274;0,34684672782865;2,38269790244914;0,201861855011848;1;0,166666666666667;"HBI";2;0,5;41,6421569389871;0,543363627276344;1;0,2;4;0,8;21,1764705882353;0,441176470588235;33,3636363636364;0,538123167155425;2;0,222222222222222;4,26349239845446;0,387590218041315
"5";50005;22,3701725233073;0,286184967740902;6,79295353059819;0,294704900819804;2,25880284780616;0,19136548216856;2;0,333333333333333;"HBI";4;1;1,81885283629955;0,0237331240084806;2;0,4;3;0,6;11,6;0,241666666666667;8,5;0,137096774193548;7;0,777777777777778;3,50808524893129;0,318916840811936
"6";50006;32,098446202464;0,410640230039099;13,2737650141076;0,575867858416439;6,59722084387989;0,558915688010453;6;1;"HBI";1;0,25;20,5645348864471;0,268334329691967;5;1;4;0,8;18,5;0,385416666666667;21,6;0,348387096774194;2;0,222222222222222;5,59756186959882;0,50886926087262
"7";50007;18,0930297508711;0,231466839613926;5,89703001823832;0,255836233654213;3,91103716070821;0,331342557304191;2;0,333333333333333;"HBI";1;0,25;1,53226198300243;0,0199935711841658;2;0,4;4;0,8;20;0,416666666666667;15,75;0,254032258064516;6;0,666666666666667;3,29267145982101;0,299333769074638
"8";50008;22,7829335505842;0,291465481387047;4,52904918007549;0,196487872824389;1,51572087368862;0,128411674400043;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;5;1;18,4210526315789;0,383771929824561;17,25;0,278225806451613;2;0,222222222222222;2,89502943155432;0,263184493777665
"9";50009;42,6968052806541;0,546226625170301;6,1441625092257;0,266557807991168;2,09769690494372;0,177716607736675;1;0,166666666666667;"HBI";1;0,25;76,6377336438987;1;1;0,2;4;0,8;20,3125;0,423177083333333;19,8970588235294;0,320920303605313;7;0,777777777777778;4,15126509450346;0,377387735863951
"10";50010;11,77756341524;0,150672132838722;2,42903418712287;0,105381006358941;1,43556003274468;0,121620458427753;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;3;0,6;23,575;0,491145833333333;39,6;0,638709677419355;7;0,777777777777778;2,72419577504477;0,247654161367706
"11";50011;34,1136075198642;0,436420490607587;8,78017268306868;0,380918242424168;2,36367152974411;0,200249943201947;3;0,5;"HBI";1;0,25;11,597476856738;0,151328546726424;2;0,4;4;0,8;20,4285714285714;0,425595238095238;13,4;0,216129032258065;1;0,111111111111111;3,76064149331343;0,34187649939213
"12";50012;30,7282597983226;0,393111230141593;9,11383764648406;0,395393933963561;4,79397129302021;0,406144621644188;4;0,666666666666667;"HBI";1;0,25;5,60219657689455;0,0730997161649567;3;0,6;5;1;19,4;0,404166666666667;13,625;0,219758064516129;2;0,222222222222222;4,40834089976376;0,400758263614887
"13";50013;31,4761029290856;0,40267849932692;11,7358904631967;0,509148843637666;6,35655302160639;0,538526341549093;3;0,5;"HBI";1;0,25;8,67426141040048;0,113185254808107;4;0,8;4;0,8;18,875;0,393229166666667;12,8;0,206451612903226;1;0,111111111111111;4,51321971889168;0,410292701717425
"14";50014;29,2824485490939;0,374614750273643;10,811943949987;0,469064429058388;7,27091569339263;0,615991027647418;3;0,5;"HBI";1;0,25;3,18314735929014;0,0415349881571499;2;0,4;5;1;18,6;0,3875;13,3333333333333;0,21505376344086;2;0,222222222222222;4,25375895857746;0,386705359870678
"15";50015;39,6887954817973;0,507744705267662;8,28777340685788;0,359556035365662;4,78664870157331;0,405524252653455;2;0,333333333333333;"HBI";1;0,25;27,9368339376773;0,364531055517473;2;0,4;5;1;22,8125;0,475260416666667;31,125;0,502016129032258;5;0,555555555555556;4,59796592783651;0,417996902530592
"16";50016;55,5020495117072;0,710046032613857;4,65254215019958;0,201845481020652;1,28278728298244;0,10867757102664;1;0,166666666666667;"HBI";1;0,25;44,2367675451447;0,57721915095628;1;0,2;3;0,6;15,8333333333333;0,329861111111111;13,5;0,217741935483871;1;0,111111111111111;3,36205794887908;0,30564163171628
"17";50017;29,9548327194628;0,383216661676249;6,43240970182519;0,279063098940676;5,2396159219995;0,443899576390805;2;0,333333333333333;"HBI";1;0,25;0;0;2;0,4;3;0,6;15,6086956521739;0,32518115942029;24,75;0,399193548387097;3;0,333333333333333;3,41388737814845;0,310353398013495
