"plot_ID","LT_FSI_DBH_RMS_diff","LT_FSI_DBH_SD_diff","LT_FSI_H_SD_diff","LT_FSI_n_SP_diff","LT_FSI_bark_TY_diff","LT_FSI_V40_diff","LT_FSI_fruit_TY_diff","DW_FSI_n_dec_diff","DW_FSI_LY_mean_D_cm_diff","DW_FSI_ST_mean_D_cm_diff","RG_FSI_n_SP_diff","FSI_sum_diff","FSI_total_diff","stand_component","stand","C_layer","SP_code"
140037,0.078614700933622,0.107555831893728,-0.04535886774772,0.111111111111111,0.161616161616162,0.00160425441402801,0.25,0,0,0,0.095238095238096,0.76038128745903,0.069125571587184,"all","all","all","all"
140038,0.0337086248048341,-0.056649663370208,-0.02032595077888,0.111111111111111,0.070707070707071,0.0810282163275701,0.25,0,0,0,0.238095238095238,0.70767464689673,0.064334058808795,"all","all","all","all"
140039,0.056580967174933,0.4571569119152,0.689678854560649,0.111111111111111,0.272727272727273,-0.111941736313236,0.5,0,0,0,0.0158730158730149,1.99118639704895,0.181016945186268,"all","all","all","all"
140040,0.011904639841144,0.0567302657420061,0.069322234619256,0.111111111111111,0.181818181818182,0.133028076985063,0.25,0,0,0,0.238095238095238,1.052009748212,0.095637249837454,"all","all","all","all"
140041,0.00241493663049608,0.616615886201847,0.79627222038185,0.333333333333333,0.454545454545455,0.18970689690114,0.75,0,0,0,0.206349206349207,3.34923793434333,0.304476175849393,"all","all","all","all"
140042,0.033971830561245,0.197618927551826,0.156505997148836,0.111111111111111,0.181818181818182,0.336802741999879,0.25,0,0,0,0.063492063492064,1.33132085368314,0.121029168516649,"all","all","all","all"
140043,0.044763917715652,0.201505441881628,0.370546299569931,-0.055555555555556,0.191919191919192,0.169836327815234,0.5,0,0,0,-0.047619047619047,1.37539657572704,0.125036052338821,"all","all","all","all"
140044,0.061048141068616,0.143611464649446,0.089881973555403,0.111111111111111,0.181818181818182,0.151174195694294,0.25,0,0,0,0.063492063492064,1.05213713138911,0.095648830126283,"all","all","all","all"
140045,0.095827311098347,-0.24787549179884,-0.187233530923306,0.111111111111111,0.070707070707071,0.15585732422533,0.25,0,0,0,-0.015873015873015,0.2325207785467,0.0211382525951549,"all","all","all","all"
140046,-0.489873198621991,-0.439879850512846,-0.54916810046531,-0.166666666666667,-0.333333333333333,-0.0396937992087009,-0.25,0,0,0,0.095238095238096,-2.17337685357075,-0.197579713960977,"all","all","all","all"
140047,0.0988817110114399,-0.011649866617073,-0.154822592602946,0.111111111111111,0.161616161616162,0.103659101692244,0.25,0,0,0,-0.079365079365079,0.47943054684586,0.043584595167805,"all","all","all","all"
140048,-0.571101027922848,-0.140524546326647,0.119079820287912,0.444444444444444,0.545454545454545,-0.108320671873378,0.5,0,0,0,0.095238095238096,0.884270659302119,0.080388241754738,"all","all","all","all"
140049,0.241740853408331,0.13467682035293,0.014868615058938,0.111111111111111,0.272727272727273,0.0852750711469669,0.25,0,0,0,-0.111111111111111,0.99928863269444,0.09084442115404,"all","all","all","all"
140050,0.384272721638173,0.278162622593155,0.265131967007922,-0.111111111111111,-0.06060606060606,0,0.25,0,0,0,0.492063492063492,1.49791363158557,0.136173966507779,"all","all","all","all"
