"stand_component","plot_ID","stand","stand_type","C_layer","SP_code","compartiment","age_period","annual_growth_cm","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_SP_diff","mean_DBH_cm_diff","sd_DBH_cm_diff","Dg_cm_diff","mean_BA_m2_diff","mean_H_m_diff","sd_H_m_diff","Hg_m_diff","BA_percent_diff"
"LT","140040","A",NA,"1","gfi",NA,11,0.459090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT","140040","A",1,"all","gfi","ag",11,0.459090909090909,5.6282426127927,2.8141213063963,0.0095316445974129,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","bg",11,0.459090909090909,1.33116702745754,0.66558351372878,0.0055110314936742,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","fwb",11,0.459090909090909,1.16598853522319,0.5829942676116,0.0050638882084743,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","ndl",11,0.459090909090909,0.39169924830775,0.195849624153875,0,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","sb",11,0.459090909090909,0.27398532708579,0.136992663542895,0.00132608898309523,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","stb",11,0.459090909090909,0.0146109657587991,0.0073054828793996,7.0717074272587e-05,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","stw",11,0.459090909090909,0.204731617666683,0.10236580883334,0.000166242073545345,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","sw",11,0.459090909090909,3.5772269187505,1.78861345937522,0.0029047082580254,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","A",1,"all","gfi","total",11,0.459090909090909,6.9594096402501,3.4797048201252,0.015042676091087,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","all",1,"all","gfi","ag",11,0.459090909090909,5.6282426127927,2.8141213063963,0.0095316445974129,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","all",1,"all","gfi","bg",11,0.459090909090909,1.33116702745754,0.66558351372878,0.0055110314936742,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
"LT","140040","all",1,"all","gfi","fwb",11,0.459090909090909,1.16598853522319,0.5829942676116,0.0050638882084743,NA,NA,5.05,-0.15389675281277,5.0455139674851,0.042708774028309,-0.453128904275598,-1.11671465860926,-0.453128904275598,0
