"stand_component","plot_ID","stand","SP_code","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_SP_diff"
"RG","140037","A","all","ag",1.07575623509107,0.537878117545531,0.00494829136027138,3219.11357083256,NA
"RG","140037","A","all","bg",3.63229267111353e-07,1.81614633555676e-07,1.1005846793474e-09,3219.11357083256,NA
"RG","140037","A","all","fwb",1.00261033873263,0.501305169366312,0.0046130101685088,3219.11357083256,NA
"RG","140037","A","all","ndl",5.53012328721587e-07,2.76506164360794e-07,0,3219.11357083256,NA
"RG","140037","A","all","total",1.07575659832033,0.537878299160164,0.00494829246085605,3219.11357083256,NA
"RG","140037","A","gfi","ag",0.00488578671655358,0.0024428933582768,2.12189717099923e-05,NA,NA
"RG","140037","A","gfi","bg",0,0,0,NA,NA
"RG","140037","A","gfi","total",0.00488578671655358,0.0024428933582768,2.12189717099923e-05,NA,NA
"RG","140037","A","rbu","ag",0.291901873915208,0.145950936957604,0.00134303978645402,NA,NA
"RG","140037","A","rbu","bg",1.04986883542541e-07,5.24934417712708e-08,3.18110257133901e-10,NA,NA
"RG","140037","A","rbu","fwb",0.289791997512141,0.144895998756071,0.00133333298055336,NA,NA
"RG","140037","A","rbu","ndl",1.59841307433204e-07,7.99206537166018e-08,0,NA,NA
"RG","140037","A","rbu","total",0.291901978902092,0.145950989451046,0.00134304010456427,NA,NA
"RG","140037","A","vbe","ag",0.7789685744593,0.38948428722965,0.00358403260210736,NA,NA
"RG","140037","A","vbe","bg",2.58242383568811e-07,1.29121191784405e-07,7.82474422213499e-10,NA,NA
"RG","140037","A","vbe","fwb",0.712818341220483,0.356409170610241,0.00327967718795544,NA,NA
"RG","140037","A","vbe","ndl",3.93171021288384e-07,1.96585510644192e-07,0,NA,NA
"RG","140037","A","vbe","total",0.778968832701685,0.389484416350842,0.00358403338458178,NA,NA
"RG","140037","all","all","ag",1.07575623509107,0.537878117545531,0.00494829136027138,3219.11357083256,0
"RG","140037","all","all","bg",3.63229267111353e-07,1.81614633555676e-07,1.1005846793474e-09,3219.11357083256,0
"RG","140037","all","all","fwb",1.00261033873263,0.501305169366312,0.0046130101685088,3219.11357083256,0
"RG","140037","all","all","ndl",5.53012328721587e-07,2.76506164360794e-07,0,3219.11357083256,0
"RG","140037","all","all","total",1.07575659832033,0.537878299160164,0.00494829246085605,3219.11357083256,0
"RG","140037","all","gfi","ag",0.00488578671655358,0.0024428933582768,2.12189717099923e-05,NA,NA
"RG","140037","all","gfi","bg",0,0,0,NA,NA
"RG","140037","all","gfi","total",0.00488578671655358,0.0024428933582768,2.12189717099923e-05,NA,NA
"RG","140037","all","rbu","ag",0.291901873915208,0.145950936957604,0.00134303978645402,NA,NA
"RG","140037","all","rbu","bg",1.04986883542541e-07,5.24934417712708e-08,3.18110257133901e-10,NA,NA
"RG","140037","all","rbu","fwb",0.289791997512141,0.144895998756071,0.00133333298055336,NA,NA
"RG","140037","all","rbu","ndl",1.59841307433204e-07,7.99206537166018e-08,0,NA,NA
"RG","140037","all","rbu","total",0.291901978902092,0.145950989451046,0.00134304010456427,NA,NA
"RG","140037","all","vbe","ag",0.7789685744593,0.38948428722965,0.00358403260210736,NA,NA
"RG","140037","all","vbe","bg",2.58242383568811e-07,1.29121191784405e-07,7.82474422213499e-10,NA,NA
"RG","140037","all","vbe","fwb",0.712818341220483,0.356409170610241,0.00327967718795544,NA,NA
"RG","140037","all","vbe","ndl",3.93171021288384e-07,1.96585510644192e-07,0,NA,NA
"RG","140037","all","vbe","total",0.778968832701685,0.389484416350842,0.00358403338458178,NA,NA
"RG","140038","A","all","ag",2.78081558401693,1.39040779200847,0.00951202633995268,2380.86650799667,NA
"RG","140038","A","all","bg",0.893161343225652,0.446580671612827,0.00369768786392464,2380.86650799667,NA
"RG","140038","A","all","fwb",2.05019117653874,1.02509558826937,0.00896623210546969,2380.86650799667,NA
"RG","140038","A","all","ndl",0.606064404470864,0.303032202235432,0,2380.86650799667,NA
"RG","140038","A","all","total",3.67397692724259,1.83698846362129,0.0151269702388361,2380.86650799667,NA
"RG","140038","A","as","ag",0.00141797349256686,0.000708986746283429,8.58866544447746e-06,NA,NA
"RG","140038","A","as","bg",0,0,0,NA,NA
"RG","140038","A","as","total",0.00141797349256686,0.000708986746283429,8.58866544447746e-06,NA,NA
"RG","140038","A","gfi","ag",2.52881003318206,1.26440501659102,0.00835048484348871,NA,NA
"RG","140038","A","gfi","bg",0.893161255811642,0.446580627905822,0.00369768759906019,NA,NA
