"";"plot_ID";"CCS_DW_inv_status";"dist_cm";"azi";"inv_year";"inv";"plot_A_ha"
"1";140001;1;-9;-9;2012;"HBI";0,0500343869018386
"2";140002;1;-9;-9;2012;"HBI";0,0500343869018386
"3";140003;1;-9;-9;2012;"HBI";0,0500343869018386
"4";140004;1;-9;-9;2011;"HBI";0,0500343869018386
"5";140005;1;-9;-9;2012;"HBI";0,0500343869018386
"6";140006;1;-9;-9;2012;"HBI";0,0500343869018386
"7";140007;1;-9;-9;2012;"HBI";0,0500343869018386
"8";140008;1;-9;-9;2012;"HBI";0,0500343869018386
"9";140009;1;-9;-9;2012;"HBI";0,0500343869018386
"10";140010;2;-9;-9;2012;"HBI";0,0500343869018386
"11";140012;1;-9;-9;2012;"HBI";0,0500343869018386
"12";140013;1;-9;-9;2012;"HBI";0,0500343869018386
"13";140014;1;-9;-9;2012;"HBI";0,0500343869018386
"14";140015;1;-9;-9;2012;"HBI";0,0500343869018386
"15";140016;1;-9;-9;2011;"HBI";0,0500343869018386
"16";140017;1;-9;-9;2012;"HBI";0,0500343869018386
"17";140018;1;-9;-9;2012;"HBI";0,0500343869018386
"18";140019;1;-9;-9;2012;"HBI";0,0500343869018386
"19";140020;1;-9;-9;2012;"HBI";0,0500343869018386
"20";140021;1;-9;-9;2011;"HBI";0,0500343869018386
"21";140022;1;-9;-9;2011;"HBI";0,0500343869018386
"22";140023;1;-9;-9;2011;"HBI";0,0500343869018386
"23";140024;1;-9;-9;2011;"HBI";0,0500343869018386
"24";140025;1;-9;-9;2011;"HBI";0,0500343869018386
"25";140026;1;-9;-9;2011;"HBI";0,0500343869018386
"26";140027;1;-9;-9;2011;"HBI";0,0500343869018386
"27";140028;1;-9;-9;2011;"HBI";0,0500343869018386
"28";140029;1;-9;-9;2011;"HBI";0,0500343869018386
"29";140030;1;-9;-9;2011;"HBI";0,0500343869018386
"30";140031;1;-9;-9;2011;"HBI";0,0500343869018386
"31";140032;1;-9;-9;2011;"HBI";0,0500343869018386
"32";140033;1;-9;-9;2011;"HBI";0,0500343869018386
"33";140034;1;-9;-9;2011;"HBI";0,0500343869018386
"34";140035;1;-9;-9;2011;"HBI";0,0500343869018386
"35";140036;1;-9;-9;2011;"HBI";0,0500343869018386
"36";140037;1;-9;-9;2011;"HBI";0,0500343869018386
"37";140038;1;-9;-9;2011;"HBI";0,0500343869018386
"38";140039;1;-9;-9;2011;"HBI";0,0500343869018386
"39";140040;1;-9;-9;2011;"HBI";0,0500343869018386
"40";140041;1;-9;-9;2011;"HBI";0,0500343869018386
"41";140042;1;-9;-9;2011;"HBI";0,0500343869018386
"42";140043;1;-9;-9;2011;"HBI";0,0500343869018386
"43";140044;1;-9;-9;2011;"HBI";0,0500343869018386
"44";140045;1;-9;-9;2011;"HBI";0,0500343869018386
"45";140046;1;-9;-9;2011;"HBI";0,0500343869018386
"46";140047;1;-9;-9;2011;"HBI";0,0500343869018386
"47";140048;1;-9;-9;2011;"HBI";0,0500343869018386
"48";140049;1;-9;-9;2011;"HBI";0,0500343869018386
"49";140050;1;-9;-9;2011;"HBI";0,0500343869018386
"50";140051;1;-9;-9;2011;"HBI";0,0500343869018386
"51";140052;1;-9;-9;2011;"HBI";0,0500343869018386
"52";140053;1;-9;-9;2012;"HBI";0,0500343869018386
"53";140054;1;-9;-9;2011;"HBI";0,0500343869018386
"54";140055;1;-9;-9;2011;"HBI";0,0500343869018386
"55";140056;1;-9;-9;2011;"HBI";0,0500343869018386
"56";140057;1;-9;-9;2011;"HBI";0,0500343869018386
"57";140058;1;-9;-9;2011;"HBI";0,0500343869018386
"58";140059;1;-9;-9;2012;"HBI";0,0500343869018386
"59";140060;1;-9;-9;2012;"HBI";0,0500343869018386
"60";140061;1;-9;-9;2012;"HBI";0,0500343869018386
"61";140062;1;-9;-9;2012;"HBI";0,0500343869018386
"62";140063;1;-9;-9;2012;"HBI";0,0500343869018386
"63";140064;1;-9;-9;2012;"HBI";0,0500343869018386
"64";140065;2;-9;-9;2012;"HBI";0,0500343869018386
"65";140066;1;-9;-9;2012;"HBI";0,0500343869018386
"66";140067;1;-9;-9;2012;"HBI";0,0500343869018386
"67";140068;1;-9;-9;2012;"HBI";0,0500343869018386
"68";140089;1;-9;-9;2012;"HBI";0,0500343869018386
"69";140102;1;-9;-9;2012;"HBI";0,0500343869018386
"70";140175;1;-9;-9;2011;"HBI";0,0500343869018386
"71";140187;1;-9;-9;2011;"HBI";0,0500343869018386
"72";140234;1;-9;-9;2011;"HBI";0,0500343869018386
"73";140252;1;-9;-9;2012;"HBI";0,0500343869018386
"74";140254;1;-9;-9;2012;"HBI";0,0500343869018386
"75";140315;1;-9;-9;2012;"HBI";0,0500343869018386
"76";140316;1;-9;-9;2012;"HBI";0,0500343869018386
