"plot_ID","tree_ID","dw_type","dw_sp","count","d_cm","l_dm","decay","inv_year","inv","plot_A_ha"
140052,1,4,1,-9,23,1,3,2011,"HBI",0.0500343869018386
140052,2,1,1,-9,10,6,3,2011,"HBI",0.0500343869018386
140052,3,4,1,-9,40,3,3,2011,"HBI",0.0500343869018386
140052,4,4,1,-9,21,3,4,2011,"HBI",0.0500343869018386
140052,5,4,1,-9,27,3,1,2011,"HBI",0.0500343869018386
140052,6,1,1,-9,12,2,1,2011,"HBI",0.0500343869018386
140052,7,4,1,-9,17,3,4,2011,"HBI",0.0500343869018386
140052,8,4,1,-9,23,3,4,2011,"HBI",0.0500343869018386
140052,9,4,1,-9,24,2,4,2011,"HBI",0.0500343869018386
140052,10,4,1,-9,34,6,4,2011,"HBI",0.0500343869018386
140052,11,4,1,-9,44,4,3,2011,"HBI",0.0500343869018386
140052,12,4,1,-9,42,3,4,2011,"HBI",0.0500343869018386
140052,13,4,1,-9,28,3,4,2011,"HBI",0.0500343869018386
140052,14,4,1,-9,15,2,5,2011,"HBI",0.0500343869018386
140052,15,4,1,-9,13,2,4,2011,"HBI",0.0500343869018386
140052,16,4,1,-9,19,2,4,2011,"HBI",0.0500343869018386
140052,17,4,1,-9,25,2,4,2011,"HBI",0.0500343869018386
140052,18,1,1,-9,9,110,4,2011,"HBI",0.0500343869018386
140052,19,4,1,-9,24,2,4,2011,"HBI",0.0500343869018386
140052,20,4,1,-9,10,1,4,2011,"HBI",0.0500343869018386
140052,21,4,1,-9,13,1,4,2011,"HBI",0.0500343869018386
140052,22,4,1,-9,33,2,2,2011,"HBI",0.0500343869018386
140052,23,4,1,-9,17,2,4,2011,"HBI",0.0500343869018386
140052,24,4,1,-9,16,1,4,2011,"HBI",0.0500343869018386
140052,25,4,1,-9,28,1,4,2011,"HBI",0.0500343869018386
140052,26,4,1,-9,39,1,5,2011,"HBI",0.0500343869018386
140052,27,4,1,-9,25,1,4,2011,"HBI",0.0500343869018386
140052,28,4,1,-9,21,1,4,2011,"HBI",0.0500343869018386
140052,29,1,1,-9,8,38,3,2011,"HBI",0.0500343869018386
140051,1,1,1,-9,23,6,5,2011,"HBI",0.0500343869018386
140051,2,1,1,-9,13,13,2,2011,"HBI",0.0500343869018386
140051,3,1,1,-9,21,12,3,2011,"HBI",0.0500343869018386
140051,4,1,1,-9,13,9,3,2011,"HBI",0.0500343869018386
140051,5,1,1,-9,15,15,3,2011,"HBI",0.0500343869018386
140051,6,1,1,-9,29,1,4,2011,"HBI",0.0500343869018386
140051,7,1,1,-9,19,5,5,2011,"HBI",0.0500343869018386
140051,8,4,1,-9,28,3,5,2011,"HBI",0.0500343869018386
140051,9,2,1,-9,36,27,1,2011,"HBI",0.0500343869018386
140051,10,1,1,-9,11,24,3,2011,"HBI",0.0500343869018386
140051,11,1,1,-9,10,17,4,2011,"HBI",0.0500343869018386
140051,12,4,1,-9,3,26,4,2011,"HBI",0.0500343869018386
140051,13,4,1,-9,18,2,4,2011,"HBI",0.0500343869018386
140051,14,4,1,-9,17,3,4,2011,"HBI",0.0500343869018386
140051,15,1,1,-9,7,32,5,2011,"HBI",0.0500343869018386
140051,16,4,1,-9,37,2,4,2011,"HBI",0.0500343869018386
