"plot_ID","LT_RMS_DBH","LT_FSI_DBH_RMS","LT_sd_DBH_cm","LT_FSI_DBH_SD","LT_sd_H_m","LT_FSI_H_SD","LT_n_SP","LT_FSI_n_SP","inv","LT_n_bark_TY","LT_FSI_bark_TY","LT_Vm340_plot","LT_FSI_V40","LT_n_fruit_TY","LT_FSI_fruit_TY","DW_n_dec","DW_FSI_n_dec","DW_LY_mean_D_cm","DW_FSI_LY_mean_D_cm","DW_ST_mean_D_cm","DW_FSI_ST_mean_D_cm","RG_n_SP","RG_FSI_n_SP","FSI_sum","FSI_total"
140001,29.8498912071466,0.515886307481305,11.9835406701916,0.641417361721786,5.64235769077012,0.453639109729611,4,0.6,"HBI",6,0.444444444444444,1.56336515186239,0.0321834970574607,4,0.75,5,1,14.3157894736842,0.364991799612345,14.8,0.302040816326531,5,0.555555555555556,5.10460333637348,0.464054848761226
140002,38.3974784427997,0.752270419631517,17.5475156380213,1,6.19111148532097,0.507807325133728,3,0.4,"HBI",5,0.333333333333333,25.861523248795,0.53238634389895,2,0.25,4,0.8,13,0.331444759206799,35,0.714285714285714,4,0.444444444444444,5.62152789549004,0.511047990499095
140003,31.4921140111271,0.56130209193245,8.97907191018701,0.447787746057437,3.92902869314448,0.284514130325196,3,0.4,"HBI",5,0.333333333333333,7.36248177156629,0.151564341925199,2,0.25,5,1,28.1363636363636,0.717357713108421,0,0,4,0.444444444444444,4.14585935668204,0.376896305152912
140004,36.4186979791974,0.697547109984819,8.4704621355974,0.415009267383302,2.82526286881032,0.175559940810802,3,0.4,"HBI",5,0.333333333333333,24.2215667463586,0.498626134259091,3,0.5,4,0.8,34.2142857142857,0.872318899231081,0,0,3,0.333333333333333,4.69239468500243,0.426581335000221
140005,29.6992669202355,0.511720782480141,8.42782245519362,0.412261259136871,11.177293805857,1,5,0.8,"HBI",7,0.555555555555556,6.18950367425013,0.127417368264906,4,0.75,3,0.6,18.875,0.481232294617564,0,0,2,0.222222222222222,5.23818726005504,0.476198841823185
140006,21.6780091918615,0.289892349008201,6.17931570867817,0.267351282723665,1.98663455690428,0.0927778270570377,1,0,"HBI",3,0.111111111111111,0,0,1,0,5,1,12.8125,0.326664305949009,14.5,0.295918367346939,1,0.111111111111111,2.38371524319596,0.216701385745087
140007,32.7238413134343,0.595365595087187,13.9380530432019,0.767380222323012,8.43550398172486,0.729354287366763,6,1,"HBI",11,1,14.4177648648956,0.296804679669213,5,1,5,1,23.2916666666667,0.593838526912181,11,0.224489795918367,7,0.777777777777778,7.20723310727672,0.655203009752429
140008,22.6659026353363,0.317212610047568,3.99751162076092,0.126740106258087,1.40145720835907,0.0350141942942758,1,0,"HBI",3,0.111111111111111,0,0,1,0,5,1,14.78125,0.376859065155807,11,0.224489795918367,3,0.333333333333333,2.19142688278522,0.199220625707747
140009,25.3175731824715,0.390544741176326,8.79571689044202,0.435971027416203,6.09089528390745,0.497914850878323,3,0.4,"HBI",6,0.444444444444444,3.12402070632682,0.0643112142353582,3,0.5,3,0.6,16.3333333333333,0.41643059490085,12,0.244897959183673,7,0.777777777777778,3.99451483223518,0.36313771202138
140010,13.2158777294012,0.055871522135739,3.27049625013743,0.0798859972489169,1.55659598478119,0.0503281488258211,1,0,"HBI",3,0.111111111111111,0,0,2,0.25,0,0,0,0,0,0,5,0.555555555555556,0.547196779321588,0.049745161756508
140012,33.5385847445396,0.617897380640508,7.33314587883615,0.34171241283882,6.56821080628415,0.545031299618313,2,0.2,"HBI",4,0.222222222222222,5.00549523705428,0.103043323590118,2,0.25,2,0.4,25.3333333333333,0.645892351274788,0,0,4,0.444444444444444,3.32579899018477,0.30234536274407
140013,17.3740980496058,0.170867390726183,5.3443880902624,0.213542530902545,2.51437758191529,0.144872041512931,1,0,"HBI",2,0,0,0,1,0,4,0.8,15.6774193548387,0.399707575619117,0,0,4,0.444444444444444,1.72898953876078,0.15718086716007
140014,15.3151656375448,0.113927473439089,4.49247358404902,0.158639021632331,1.81340011683543,0.0756776255491069,1,0,"HBI",2,0,0,0,1,0,3,0.6,13.72,0.349801699716714,0,0,5,0.555555555555556,1.29804582033724,0.118004165485204
140015,26.0884239513606,0.411862672140998,8.39801187491962,0.410340050543184,4.32795839613661,0.323893010794652,1,0,"HBI",3,0.111111111111111,0,0,2,0.25,1,0.2,20,0.509915014164306,0,0,4,0.444444444444444,2.21712185875425,0.201556532614023
140016,27.942377497046,0.463133884798131,8.67498361677644,0.428190105314777,5.65397814853634,0.45478618053919,4,0.6,"HBI",6,0.444444444444444,6.76216985331259,0.139206296953005,4,0.75,5,1,12.6666666666667,0.322946175637394,17.8,0.363265306122449,2,0.222222222222222,4.96597239380939,0.451452035800854
140017,35.0160992845382,0.65875814673714,11.8715587900957,0.63420044248036,5.28533266716714,0.418396695781447,3,0.4,"HBI",5,0.333333333333333,23.013600305353,0.473758889167115,3,0.5,5,1,15,0.382436260623229,12,0.244897959183673,3,0.333333333333333,5.0457817273063,0.458707429755118
140018,31.0532394764859,0.549164986529912,6.76565205788649,0.305139021926874,3.80039042258674,0.271816075900829,3,0.4,"HBI",6,0.444444444444444,3.65587782735947,0.0752600460353716,3,0.5,4,0.8,21.2,0.540509915014164,14,0.285714285714286,3,0.333333333333333,4.17204877556588,0.37927716141508
