"";"plot_ID";"team";"date";"stand_spec";"stand_type";"structure";"inv_year";"inv";"CCS_r_m";"CCS_LT_inv_status";"CCS_LT_inv_status_old"
"1";50001;"Tilo Schindler; Karin Morgenstern";"2011-08-26";1;2;1;2012;"HBI";17,84;1;1
"2";50001;"Tilo Schindler; Karin Morgenstern";"2011-08-26";1;2;1;2012;"HBI";12,62;1;1
"3";50002;"Tilo Schindler; Karin Morgenstern";"2011-08-27";1;2;1;2012;"HBI";17,84;1;1
"4";50002;"Tilo Schindler; Karin Morgenstern";"2011-08-27";1;2;1;2012;"HBI";12,62;1;1
"5";50003;"Tilo Schindler; Karin Morgenstern";"2012-03-17";1;3;1;2012;"HBI";5,64;1;1
"6";50003;"Tilo Schindler; Karin Morgenstern";"2012-03-17";1;3;1;2012;"HBI";12,62;1;1
"7";50004;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;1;1;2012;"HBI";12,62;1;1
"8";50004;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;1;1;2012;"HBI";17,84;1;1
"9";50005;"Tilo Schindler; Karin Morgenstern";"2011-08-27";1;8;1;2012;"HBI";12,62;1;1
"10";50005;"Tilo Schindler; Karin Morgenstern";"2011-08-27";1;8;1;2012;"HBI";17,84;1;1
"11";50006;"Tilo Schindler; Karin Morgenstern";"2011-08-26";4;8;1;2012;"HBI";12,62;1;1
"12";50006;"Tilo Schindler; Karin Morgenstern";"2011-08-26";4;8;1;2012;"HBI";5,64;1;1
"13";50006;"Tilo Schindler; Karin Morgenstern";"2011-08-26";4;8;1;2012;"HBI";17,84;1;1
"14";50007;"Tilo Schindler; Karin Morgenstern";"2011-08-26";1;8;2;2012;"HBI";5,64;1;1
"15";50007;"Tilo Schindler; Karin Morgenstern";"2011-08-26";1;8;2;2012;"HBI";12,62;1;1
"16";50007;"Tilo Schindler; Karin Morgenstern";"2011-08-26";1;8;2;2012;"HBI";17,84;1;1
"17";50008;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;2;1;2012;"HBI";12,62;1;1
"18";50008;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;2;1;2012;"HBI";17,84;1;1
"19";50009;"Tilo Schindler; Karin Morgenstern";"2012-03-17";1;1;1;2012;"HBI";17,84;1;1
"20";50010;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;7;1;2012;"HBI";5,64;1;1
"21";50010;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;7;1;2012;"HBI";12,62;1;1
"22";50011;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;5;1;2012;"HBI";17,84;1;1
"23";50011;"Tilo Schindler; Karin Morgenstern";"2012-03-15";1;5;1;2012;"HBI";12,62;1;1
"24";50012;"KT";"2011-11-08";1;5;2;2012;"HBI";12,62;1;1
"25";50012;"KT";"2011-11-08";1;5;2;2012;"HBI";17,84;1;1
"26";50013;"KT";"2011-11-08";1;5;1;2012;"HBI";5,64;1;1
"27";50013;"KT";"2011-11-08";1;5;1;2012;"HBI";17,84;1;1
"28";50013;"KT";"2011-11-08";1;5;1;2012;"HBI";12,62;1;1
"29";50014;"Tilo Schindler; Karin Morgenstern";"2011-08-25";1;5;2;2012;"HBI";5,64;1;1
"30";50014;"Tilo Schindler; Karin Morgenstern";"2011-08-25";1;5;2;2012;"HBI";12,62;1;1
"31";50014;"Tilo Schindler; Karin Morgenstern";"2011-08-25";1;5;2;2012;"HBI";17,84;1;1
"32";50015;"Tilo Schindler; Karin Morgenstern";"2012-03-17";1;1;1;2012;"HBI";17,84;1;1
"33";50015;"Tilo Schindler; Karin Morgenstern";"2012-03-17";1;1;1;2012;"HBI";12,62;1;1
"34";50016;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;4;2;2012;"HBI";17,84;1;1
"35";50017;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;5;1;2012;"HBI";12,62;1;1
"36";50017;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;5;1;2012;"HBI";17,84;1;1
"37";50018;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;3;1;2012;"HBI";12,62;1;1
"38";50018;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;3;1;2012;"HBI";5,64;1;1
"39";50019;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;1;1;2012;"HBI";17,84;1;1
"40";50019;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;1;1;2012;"HBI";12,62;1;1
"41";50020;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;2;4;2012;"HBI";17,84;1;1
"42";50020;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;2;4;2012;"HBI";12,62;1;1
"43";50021;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;2;4;2012;"HBI";12,62;1;1
"44";50021;"Tilo Schindler; Karin Morgenstern";"2012-03-18";1;2;4;2012;"HBI";17,84;1;1
"45";50022;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;2;1;2012;"HBI";12,62;1;1
"46";50022;"Tilo Schindler; Karin Morgenstern";"2012-03-16";1;2;1;2012;"HBI";17,84;1;1
"47";50023;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;6;2;2012;"HBI";5,64;1;1
"48";50023;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;6;2;2012;"HBI";12,62;1;1
"49";50023;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;6;2;2012;"HBI";17,84;1;1
"50";50024;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;4;1;2012;"HBI";17,84;1;1
"51";50025;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;5;1;2012;"HBI";17,84;1;1
"52";50025;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;5;1;2012;"HBI";12,62;1;1
"53";50026;"Tilo Schindler; Karin Morgenstern";"2011-09-29";1;4;3;2012;"HBI";12,62;1;1
"54";50026;"Tilo Schindler; Karin Morgenstern";"2011-09-29";1;4;3;2012;"HBI";5,64;1;1
"55";50026;"Tilo Schindler; Karin Morgenstern";"2011-09-29";1;4;3;2012;"HBI";17,84;1;1
"56";50027;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;2;1;2012;"HBI";12,62;1;1
"57";50027;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;2;1;2012;"HBI";17,84;1;1
"58";50027;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;2;1;2012;"HBI";5,64;1;1
"59";50028;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;7;2;2012;"HBI";12,62;1;1
"60";50028;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;7;2;2012;"HBI";17,84;1;1
"61";50028;"Tilo Schindler; Karin Morgenstern";"2012-03-19";1;7;2;2012;"HBI";5,64;1;1
"62";50029;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;2;1;2012;"HBI";17,84;1;1
"63";50029;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;2;1;2012;"HBI";12,62;1;1
"64";50030;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;4;1;2012;"HBI";17,84;1;1
"65";50030;"Tilo Schindler; Karin Morgenstern";"2011-09-30";1;4;1;2012;"HBI";12,62;1;1
