"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha"
140024;6;-9;0;1253;242;34;1;"gki";3;1;-9;-9;174;150;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";17,4877192982456;12,62;12,53;-1,21806520120335;-12,4706542396787;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140024;25;-9;0;1129;386;34;1;"gki";4;1;164;129;144;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";14,4;12,62;11,29;4,56127369958747;-10,3275787209516;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140024;34;-9;0;1110;72;34;1;"gki";2;1;-9;-9;209;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,9;12,62;11,1;2,8174393266586;-10,7364815298401;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140024;36;-9;0;1202;84;34;1;"gki";2;1;-9;-9;217;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";21,7;12,62;12,02;8,81294764728097;-8,17388241695981;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140024;46;-9;0;1214;134;34;1;"gki";2;1;-9;-9;204;150;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";20,4877192982456;12,62;12,14;10,7551272718238;-5,63088246786172;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140024;50;-9;0;1141;166;34;1;"gki";2;1;-9;-9;182;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";18,2;12,62;11,41;5,51435674213941;-9,98899242768868;1;1;1;"warning";"partly intersecting";34,9350606771249;0,00349350606771249;0,0500343869018386
140042;1;-9;0;1784;175;85;1;"gfi";2;1;-9;-9;439;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";43,9;17,84;17,84;-14,2922411779762;10,6769584672115;1;3;1;"warning";NA;NA;NA;0,0999860870850348
140056;12;-9;0;747;2;64;1;"gfi";4;1;-9;-9;165;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";16,5;12,62;7,47;6,79245177838784;-3,10861686900715;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;15;-9;0;1065;8;64;1;"gfi";2;1;236;86;373;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";37,3;17,84;10,65;10,536665326539;-1,54957536006173;1;1;2;"warning";"partly intersecting";265,726172457322;0,0265726172457322;0,0999860870850348
140056;25;-9;0;1001;59;64;1;"gfi";2;1;-9;-9;240;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";24;12,62;10,01;6,37374745146277;-7,71851303198821;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
