"";"plot_ID";"CCS_r_m";"plot_A_ha";"inv_year";"compartiment";"B_CCS_t_ha";"C_CCS_t_ha";"N_CCS_t_ha";"BA_CCS_m2_ha";"n_trees_CCS_ha"
"1";"50003";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"2";"50003";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"3";"50003";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"4";"50010";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"5";"50010";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"6";"50010";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"7";"50018";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"8";"50018";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"9";"50018";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"10";"50024";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"11";"50024";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"12";"50024";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"13";"50044";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"14";"50044";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"15";"50044";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"16";"50050";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"17";"50050";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"18";"50050";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"19";"50053";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"20";"50053";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"21";"50053";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"22";"50054";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"23";"50054";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"24";"50054";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"25";"50058";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"26";"50058";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"27";"50058";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"28";"50065";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"29";"50065";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"30";"50065";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"31";"50066";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"32";"50066";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"33";"50066";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"34";"50066";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"35";"50066";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"36";"50066";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"37";"50066";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"38";"50066";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"39";"50066";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"40";"50071";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"41";"50071";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"42";"50071";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"43";"50071";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"44";"50071";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"45";"50071";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"46";"50071";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"47";"50071";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"48";"50071";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"49";"50075";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"50";"50075";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"51";"50075";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"52";"50084";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"53";"50084";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"54";"50084";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"55";"50084";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"56";"50084";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"57";"50084";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"58";"50084";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"59";"50084";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"60";"50084";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"61";"50093";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"62";"50093";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"63";"50093";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"64";"50093";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"65";"50093";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"66";"50093";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"67";"50098";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"68";"50098";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"69";"50098";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"70";"50120";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"71";"50120";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"72";"50120";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"73";"50120";"12.62";"0.0500343869018386";"2012";"ag";"0";"0";"0";"0";"0"
"74";"50120";"12.62";"0.0500343869018386";"2012";"bg";"0";"0";"0";"0";"0"
"75";"50120";"12.62";"0.0500343869018386";"2012";"total";"0";"0";"0";"0";"0"
"76";"50120";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"77";"50120";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"78";"50120";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"79";"50133";"5.64";"0.00999328056736299";"2012";"ag";"0";"0";"0";"0";"0"
"80";"50133";"5.64";"0.00999328056736299";"2012";"bg";"0";"0";"0";"0";"0"
"81";"50133";"5.64";"0.00999328056736299";"2012";"total";"0";"0";"0";"0";"0"
"82";"50141";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"83";"50141";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"84";"50141";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
"85";"50145";"17.84";"0.0999860870850348";"2012";"ag";"0";"0";"0";"0";"0"
"86";"50145";"17.84";"0.0999860870850348";"2012";"bg";"0";"0";"0";"0";"0"
"87";"50145";"17.84";"0.0999860870850348";"2012";"total";"0";"0";"0";"0";"0"
