;stand_component;plot_ID;inv_year;dom_SP;stand_type;n_stands;SP_code;compartiment;B_t_ha;C_t_ha;N_t_ha;BA_m2_ha;BA_percent;mean_DBH_cm;sd_DBH_cm;Dg_cm;mean_BA_m2;mean_H_m;sd_H_m;Hg_m;n_ha;n_SP
1;LT;50001;2012;gki;Ki-Rein;1;ela;ag;6,637038036;3,318519018;0,009689473;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
2;LT;50001;2012;gki;Ki-Rein;1;ela;bg;1,193454898;0,596727449;0,003341674;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
3;LT;50001;2012;gki;Ki-Rein;1;ela;fwb;0,889024743;0,444512372;0,003607662;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
4;LT;50001;2012;gki;Ki-Rein;1;ela;ndl;0,380603425;0,190301713;0;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
5;LT;50001;2012;gki;Ki-Rein;1;ela;sb;0,497840167;0,248920084;0,002160128;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
6;LT;50001;2012;gki;Ki-Rein;1;ela;stb;0,01558358;0,00779179;6,76E-05;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
7;LT;50001;2012;gki;Ki-Rein;1;ela;stw;0,179535228;0,089767614;0,000142551;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
8;LT;50001;2012;gki;Ki-Rein;1;ela;sw;4,674450891;2,337225446;0,003711514;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
9;LT;50001;2012;gki;Ki-Rein;1;ela;total;7,830492933;3,915246467;0,013031147;1,0695548;4,113493791;36,9;0;36,9;0,106940599;24,3;0;24,3;NA;NA
10;LT;50001;2012;gki;Ki-Rein;1;gfi;ag;5,187248231;2,593624116;0,009364549;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
11;LT;50001;2012;gki;Ki-Rein;1;gfi;bg;0,924763311;0,462381655;0,00382852;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
12;LT;50001;2012;gki;Ki-Rein;1;gfi;fwb;1,289178188;0,644589094;0,005598901;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
13;LT;50001;2012;gki;Ki-Rein;1;gfi;ndl;0,667137976;0,333568988;0;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
14;LT;50001;2012;gki;Ki-Rein;1;gfi;sb;0,271041169;0,135520585;0,001311839;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
15;LT;50001;2012;gki;Ki-Rein;1;gfi;stb;0,012506829;0,006253414;6,05E-05;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
16;LT;50001;2012;gki;Ki-Rein;1;gfi;stw;0,161644142;0,080822071;0,000131255;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
17;LT;50001;2012;gki;Ki-Rein;1;gfi;sw;2,785739927;1,392869964;0,002262021;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
18;LT;50001;2012;gki;Ki-Rein;1;gfi;total;6,112011542;3,056005771;0,013193069;1,104619852;4,248353525;37,5;0;37,5;0,110446617;16,3;0;16,3;NA;NA
