"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha"
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","20",3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386
140039,"HBI",2011,"A",2,-9,0,735,10,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,271,27.1,"sampled",149,434,130,43.4,0.14793445646489,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","20",3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",10,-9,0,903,126,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","25",2,1,266,26.6,"sampled",182,280,130,28,0.0615752160103599,12.62,0.0500115280167522,0.0500343869018386
140039,"HBI",2011,"A",11,-9,0,282,151,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,NA,27.7198273910637,"coeff_SP_P",NA,400,130,40,0.125663706143592,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",12,-9,0,941,154,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,NA,28.1056531216836,"coeff_SP_P",NA,417,130,41.7,0.136572101235019,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",13,-9,0,1542,168,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,269,26.9,"sampled",204,310,130,31,0.0754767635024948,17.84,0.0999404070914056,0.0999860870850348
140039,"HBI",2011,"A",14,-9,0,1031,171,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,27.6233594734635,"coeff_SP_P",NA,396,130,39.6,0.123162998391334,17.84,0.0999404070914056,0.0999860870850348
