"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"stw",6.14256581956191,0.00498776344548427,3.07128290978096
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"stb",0.555346701995526,0.00268787803765835,0.277673350997763
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"sw",134.341377179754,0.10908519826996,67.170688589877
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"sb",13.5105912159446,0.0653912614851719,6.7552956079723
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"fwb",24.9570967893426,0.108388671356115,12.4785483946713
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"ndl",16.1294033817628,0,8.0647016908814
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"bg",23.3257668340386,0.0965686746929198,11.6628834170193
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"total",218.9621479224,0.387109447287309,109.4810739612
140039,"HBI",2011,"A",1,-9,0,266,372,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,201,20.1,"sampled",138,229,130,22.9,0.0411870650867256,12.62,0.0500115280167522,0.0500343869018386,"ag",195.636381088361,0.29054077259439,97.8181905441807
140039,"HBI",2011,"A",2,-9,0,735,10,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,271,27.1,"sampled",149,434,130,43.4,0.14793445646489,17.84,0.0999404070914056,0.0999860870850348,"stw",29.9056790922712,0.0242834114229242,14.9528395461356
