"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm";"inv_year";"inv"
"1";140001;1;"n";1000;1;270;2012;"HBI"
"2";140001;2;"o";1000;1;70;2012;"HBI"
"3";140001;3;"s";1000;1;75;2012;"HBI"
"4";140001;4;"w";1000;1;260;2012;"HBI"
"5";140002;1;"n";1000;1;400;2012;"HBI"
"6";140002;2;"o";1000;1;130;2012;"HBI"
"7";140002;3;"s";1000;1;500;2012;"HBI"
"8";140002;4;"w";1000;1;290;2012;"HBI"
"9";140003;1;"n";1000;1;265;2012;"HBI"
"10";140003;2;"o";1000;1;395;2012;"HBI"
"11";140003;3;"s";1000;1;185;2012;"HBI"
"12";140003;4;"w";1000;1;380;2012;"HBI"
"13";140004;1;"n";1000;1;470;2011;"HBI"
"14";140004;2;"o";1000;1;500;2011;"HBI"
"15";140004;3;"s";1000;2;500;2011;"HBI"
"16";140004;4;"w";1000;1;500;2011;"HBI"
"17";140005;1;"n";1000;1;190;2012;"HBI"
"18";140005;2;"o";1000;1;280;2012;"HBI"
"19";140005;3;"s";1000;1;300;2012;"HBI"
"20";140005;4;"w";1000;1;90;2012;"HBI"
"21";140006;1;"n";1000;1;210;2012;"HBI"
"22";140006;2;"o";1000;1;430;2012;"HBI"
"23";140006;3;"s";1000;1;330;2012;"HBI"
"24";140006;4;"w";1000;1;155;2012;"HBI"
"25";140007;1;"n";1000;1;220;2012;"HBI"
"26";140007;2;"o";1000;1;190;2012;"HBI"
"27";140007;3;"s";1000;1;265;2012;"HBI"
"28";140007;4;"w";1000;1;240;2012;"HBI"
"29";140008;1;"n";1000;1;330;2012;"HBI"
"30";140008;2;"o";1000;1;90;2012;"HBI"
"31";140008;3;"s";1000;1;140;2012;"HBI"
"32";140008;4;"w";1000;1;330;2012;"HBI"
"33";140009;1;"n";1000;1;180;2012;"HBI"
"34";140009;2;"o";1000;1;195;2012;"HBI"
"35";140009;3;"s";1000;1;140;2012;"HBI"
"36";140009;4;"w";1000;1;150;2012;"HBI"
"37";140010;1;"n";1000;1;500;2012;"HBI"
"38";140010;2;"o";1000;1;500;2012;"HBI"
"39";140010;3;"s";1000;1;500;2012;"HBI"
"40";140010;4;"w";500;1;500;2012;"HBI"
"41";140012;1;"n";1000;1;220;2012;"HBI"
"42";140012;2;"o";1000;1;95;2012;"HBI"
"43";140012;3;"s";1000;1;160;2012;"HBI"
"44";140012;4;"w";1000;1;175;2012;"HBI"
"45";140013;1;"n";1000;1;500;2012;"HBI"
"46";140013;2;"o";1000;1;500;2012;"HBI"
"47";140013;3;"s";1000;1;500;2012;"HBI"
"48";140013;4;"w";1000;1;500;2012;"HBI"
"49";140014;1;"n";1000;1;500;2012;"HBI"
"50";140014;2;"o";1000;1;450;2012;"HBI"
"51";140014;3;"s";1000;1;500;2012;"HBI"
"52";140014;4;"w";1000;1;500;2012;"HBI"
"53";140015;1;"n";1000;1;105;2012;"HBI"
"54";140015;2;"o";1000;1;195;2012;"HBI"
"55";140015;3;"s";1000;1;230;2012;"HBI"
"56";140015;4;"w";1000;1;105;2012;"HBI"
"57";140016;1;"n";1000;1;445;2011;"HBI"
"58";140016;2;"o";1000;1;500;2011;"HBI"
"59";140016;3;"s";1000;1;490;2011;"HBI"
"60";140016;4;"w";1000;1;420;2011;"HBI"
"61";140017;1;"n";1000;1;500;2012;"HBI"
"62";140017;2;"o";1000;1;500;2012;"HBI"
"63";140017;3;"s";1000;1;245;2012;"HBI"
"64";140017;4;"w";1000;1;500;2012;"HBI"
"65";140018;1;"n";1000;1;390;2012;"HBI"
"66";140018;2;"o";1000;1;400;2012;"HBI"
"67";140018;3;"s";1000;1;190;2012;"HBI"
"68";140018;4;"w";1000;1;145;2012;"HBI"
"69";140019;1;"n";1000;1;345;2012;"HBI"
"70";140019;2;"o";1000;1;105;2012;"HBI"
"71";140019;3;"s";1000;1;150;2012;"HBI"
"72";140019;4;"w";1000;1;220;2012;"HBI"
"73";140020;1;"n";1000;1;350;2012;"HBI"
"74";140020;2;"o";1000;1;360;2012;"HBI"
"75";140020;3;"s";1000;1;490;2012;"HBI"
"76";140020;4;"w";1000;1;500;2012;"HBI"
"77";140021;1;"n";1000;1;50;2011;"HBI"
"78";140021;2;"o";1000;1;160;2011;"HBI"
"79";140021;3;"s";1000;1;107;2011;"HBI"
"80";140021;4;"w";1000;1;163;2011;"HBI"
"81";140022;1;"n";1000;1;175;2011;"HBI"
"82";140022;2;"o";1000;1;175;2011;"HBI"
"83";140022;3;"s";1000;1;295;2011;"HBI"
"84";140022;4;"w";1000;1;270;2011;"HBI"
"85";140023;1;"n";1000;1;200;2011;"HBI"
"86";140023;2;"o";1000;1;500;2011;"HBI"
"87";140023;3;"s";1000;1;500;2011;"HBI"
"88";140023;4;"w";1000;2;500;2011;"HBI"
"89";140024;1;"n";1000;1;200;2011;"HBI"
"90";140024;2;"o";1000;1;180;2011;"HBI"
"91";140024;3;"s";1000;1;185;2011;"HBI"
"92";140024;4;"w";1000;1;240;2011;"HBI"
"93";140025;1;"n";1000;2;500;2011;"HBI"
"94";140025;2;"o";1000;1;500;2011;"HBI"
"95";140025;3;"s";1000;1;500;2011;"HBI"
"96";140025;4;"w";1000;1;500;2011;"HBI"
"97";140026;1;"n";1000;1;47;2011;"HBI"
"98";140026;2;"o";1000;1;500;2011;"HBI"
"99";140026;3;"s";1000;1;480;2011;"HBI"
"100";140026;4;"w";1000;1;480;2011;"HBI"
"101";140027;1;"n";1000;1;470;2011;"HBI"
"102";140027;2;"o";1000;1;495;2011;"HBI"
"103";140027;3;"s";1000;1;235;2011;"HBI"
"104";140027;4;"w";1000;1;380;2011;"HBI"
"105";140028;1;"n";1000;1;255;2011;"HBI"
"106";140028;2;"o";1000;1;120;2011;"HBI"
"107";140028;3;"s";1000;1;165;2011;"HBI"
"108";140028;4;"w";1000;1;215;2011;"HBI"
"109";140029;1;"n";1000;1;205;2011;"HBI"
"110";140029;2;"o";1000;1;400;2011;"HBI"
"111";140029;3;"s";1000;1;290;2011;"HBI"
"112";140029;4;"w";1000;1;500;2011;"HBI"
"113";140030;1;"n";1000;1;495;2011;"HBI"
"114";140030;2;"o";1000;1;465;2011;"HBI"
"115";140030;3;"s";130;1;485;2011;"HBI"
"116";140030;4;"w";1000;1;480;2011;"HBI"
"117";140031;1;"n";1000;1;80;2011;"HBI"
"118";140031;2;"o";1000;1;70;2011;"HBI"
"119";140031;3;"s";1000;1;25;2011;"HBI"
"120";140031;4;"w";1000;1;35;2011;"HBI"
"121";140032;1;"n";1000;1;500;2011;"HBI"
"122";140032;2;"o";1000;1;360;2011;"HBI"
"123";140032;3;"s";1000;1;500;2011;"HBI"
"124";140032;4;"w";1000;1;340;2011;"HBI"
"125";140033;1;"n";1000;1;475;2011;"HBI"
"126";140033;2;"o";1000;1;490;2011;"HBI"
"127";140033;3;"s";1000;1;480;2011;"HBI"
"128";140033;4;"w";1000;1;455;2011;"HBI"
"129";140034;1;"n";1000;1;490;2011;"HBI"
"130";140034;2;"o";1000;1;440;2011;"HBI"
"131";140034;3;"s";1000;1;240;2011;"HBI"
