"";"plot_ID";"CCS_nr";"tree_ID";"SP_code";"H_cm";"D_class_cm";"inv_year";"inv"
"1";140001;1;1;"wta";140;1;2012;"HBI"
"2";140001;1;2;"vbe";70;0;2012;"HBI"
"3";140001;1;3;"tei";180;1;2012;"HBI"
"4";140001;1;4;"wta";320;1;2012;"HBI"
"5";140001;1;5;"wta";430;2;2012;"HBI"
"6";140001;1;6;"wta";260;1;2012;"HBI"
"7";140001;1;7;"vbe";320;1;2012;"HBI"
"8";140001;1;8;"vbe";200;1;2012;"HBI"
"9";140001;1;9;"vbe";400;1;2012;"HBI"
"10";140001;1;10;"bah";330;1;2012;"HBI"
"11";140001;2;1;"vbe";150;1;2012;"HBI"
"12";140001;2;2;"vbe";90;0;2012;"HBI"
"13";140001;2;3;"vbe";170;1;2012;"HBI"
"14";140001;2;4;"vbe";110;0;2012;"HBI"
"15";140001;2;5;"vbe";40;0;2012;"HBI"
"16";140001;2;6;"vbe";100;0;2012;"HBI"
"17";140001;2;7;"vbe";200;1;2012;"HBI"
"18";140001;2;8;"vbe";130;1;2012;"HBI"
"19";140001;2;9;"vbe";120;0;2012;"HBI"
"20";140001;2;10;"vbe";270;1;2012;"HBI"
"21";140001;3;1;"vbe";20;0;2012;"HBI"
"22";140001;3;2;"vbe";70;0;2012;"HBI"
"23";140001;3;3;"vbe";240;1;2012;"HBI"
"24";140001;3;4;"vbe";200;1;2012;"HBI"
"25";140001;3;5;"vbe";80;0;2012;"HBI"
"26";140001;3;6;"vbe";70;0;2012;"HBI"
"27";140001;3;7;"bah";180;1;2012;"HBI"
"28";140001;3;8;"wta";410;1;2012;"HBI"
"29";140001;3;9;"vbe";50;0;2012;"HBI"
"30";140001;3;10;"vbe";100;0;2012;"HBI"
"31";140001;4;1;"rbu";450;1;2012;"HBI"
"32";140001;4;2;"vbe";70;0;2012;"HBI"
"33";140001;4;3;"rbu";170;1;2012;"HBI"
"34";140001;4;4;"rbu";50;0;2012;"HBI"
"35";140001;4;5;"rbu";30;0;2012;"HBI"
"36";140001;4;6;"vbe";80;0;2012;"HBI"
"37";140001;4;7;"rbu";150;1;2012;"HBI"
"38";140001;4;8;"vbe";50;0;2012;"HBI"
"39";140001;4;9;"rbu";320;1;2012;"HBI"
"40";140001;4;10;"rbu";230;1;2012;"HBI"
"41";140002;1;1;"wli";160;1;2012;"HBI"
"42";140002;1;2;"wli";560;1;2012;"HBI"
"43";140002;1;3;"wli";900;2;2012;"HBI"
"44";140002;1;4;"wli";420;1;2012;"HBI"
"45";140002;1;5;"wli";430;1;2012;"HBI"
"46";140002;1;6;"wli";310;1;2012;"HBI"
"47";140002;1;7;"wli";650;1;2012;"HBI"
"48";140002;1;8;"wli";790;1;2012;"HBI"
"49";140002;1;9;"wli";620;2;2012;"HBI"
"50";140002;1;10;"wli";490;1;2012;"HBI"
"51";140002;2;1;"ges";20;0;2012;"HBI"
"52";140002;2;2;"ges";20;0;2012;"HBI"
"53";140002;2;3;"ges";20;0;2012;"HBI"
"54";140002;2;4;"ges";20;0;2012;"HBI"
"55";140002;2;5;"ges";20;0;2012;"HBI"
"56";140002;2;6;"ges";20;0;2012;"HBI"
"57";140002;2;7;"ges";20;0;2012;"HBI"
"58";140002;2;8;"ges";20;0;2012;"HBI"
"59";140002;2;9;"ges";20;0;2012;"HBI"
"60";140002;2;10;"ges";20;0;2012;"HBI"
"61";140002;3;1;"wli";150;1;2012;"HBI"
"62";140002;3;2;"ges";20;0;2012;"HBI"
"63";140002;3;3;"ges";30;0;2012;"HBI"
"64";140002;3;4;"ges";30;0;2012;"HBI"
"65";140002;3;5;"ges";20;0;2012;"HBI"
"66";140002;3;6;"ges";20;0;2012;"HBI"
"67";140002;3;7;"ges";20;0;2012;"HBI"
"68";140002;3;8;"ges";20;0;2012;"HBI"
"69";140002;4;1;"ges";20;0;2012;"HBI"
"70";140002;4;2;"ges";20;0;2012;"HBI"
"71";140002;4;3;"ges";30;0;2012;"HBI"
"72";140002;4;4;"hbu";20;0;2012;"HBI"
"73";140002;4;5;"ges";30;0;2012;"HBI"
"74";140002;4;6;"ges";20;0;2012;"HBI"
"75";140002;4;7;"ges";20;0;2012;"HBI"
"76";140002;4;8;"ges";20;0;2012;"HBI"
"77";140002;4;9;"ges";50;0;2012;"HBI"
"78";140002;4;10;"sah";20;0;2012;"HBI"
"79";140003;1;1;"rbu";20;0;2012;"HBI"
"80";140003;1;2;"rbu";80;0;2012;"HBI"
"81";140003;1;3;"rbu";20;0;2012;"HBI"
"82";140003;1;4;"bah";40;0;2012;"HBI"
"83";140003;1;5;"vbe";20;0;2012;"HBI"
"84";140003;1;6;"vbe";30;0;2012;"HBI"
"85";140003;1;7;"vbe";30;0;2012;"HBI"
"86";140003;1;8;"rbu";20;0;2012;"HBI"
"87";140003;1;9;"rbu";50;0;2012;"HBI"
"88";140003;1;10;"rbu";40;0;2012;"HBI"
"89";140003;2;1;"rbu";20;0;2012;"HBI"
"90";140003;2;2;"rbu";40;0;2012;"HBI"
"91";140003;2;3;"vbe";40;0;2012;"HBI"
"92";140003;2;4;"rbu";20;0;2012;"HBI"
"93";140003;2;5;"vbe";30;0;2012;"HBI"
"94";140003;2;6;"rbu";50;0;2012;"HBI"
"95";140003;2;7;"sei";20;0;2012;"HBI"
"96";140003;2;8;"rbu";30;0;2012;"HBI"
"97";140003;2;9;"rbu";40;0;2012;"HBI"
"98";140003;2;10;"vbe";40;0;2012;"HBI"
"99";140003;3;1;"rbu";90;0;2012;"HBI"
"100";140003;3;2;"rbu";50;0;2012;"HBI"
"101";140003;3;3;"rbu";50;0;2012;"HBI"
"102";140003;3;4;"rbu";30;0;2012;"HBI"
"103";140003;3;5;"rbu";80;0;2012;"HBI"
"104";140003;3;6;"rbu";80;0;2012;"HBI"
"105";140003;3;7;"rbu";50;0;2012;"HBI"
"106";140003;3;8;"rbu";70;0;2012;"HBI"
"107";140003;3;9;"rbu";30;0;2012;"HBI"
"108";140003;3;10;"rbu";50;0;2012;"HBI"
"109";140003;4;1;"rbu";20;0;2012;"HBI"
"110";140003;4;2;"rbu";20;0;2012;"HBI"
"111";140003;4;3;"rbu";20;0;2012;"HBI"
"112";140003;4;4;"rbu";20;0;2012;"HBI"
"113";140003;4;5;"rbu";20;0;2012;"HBI"
"114";140003;4;6;"rbu";20;0;2012;"HBI"
"115";140003;4;7;"rbu";20;0;2012;"HBI"
"116";140003;4;8;"rbu";320;1;2012;"HBI"
"117";140003;4;9;"rbu";810;3;2012;"HBI"
"118";140003;4;10;"rbu";20;0;2012;"HBI"
"119";140004;1;1;"rbu";20;0;2011;"HBI"
"120";140004;1;2;"rbu";30;0;2011;"HBI"
"121";140004;1;3;"vbe";20;0;2011;"HBI"
"122";140004;1;4;"vbe";40;0;2011;"HBI"
"123";140004;1;5;"rbu";30;0;2011;"HBI"
"124";140004;1;6;"bah";20;0;2011;"HBI"
"125";140004;1;7;"rbu";20;0;2011;"HBI"
"126";140004;1;8;"rbu";20;0;2011;"HBI"
"127";140004;1;9;"rbu";20;0;2011;"HBI"
"128";140004;1;10;"rbu";20;0;2011;"HBI"
"129";140004;2;1;"rbu";20;0;2011;"HBI"
"130";140004;2;2;"rbu";20;0;2011;"HBI"
"131";140004;4;1;"rbu";20;0;2011;"HBI"
"132";140004;4;2;"rbu";20;0;2011;"HBI"
"133";140004;4;3;"rbu";20;0;2011;"HBI"
"134";140004;4;4;"rbu";20;0;2011;"HBI"
"135";140004;4;5;"rbu";20;0;2011;"HBI"
"136";140004;4;6;"rbu";20;0;2011;"HBI"
"137";140005;1;1;"vbe";50;0;2012;"HBI"
"138";140005;1;2;"vbe";40;0;2012;"HBI"
"139";140005;1;3;"vbe";30;0;2012;"HBI"
"140";140005;1;4;"vbe";50;0;2012;"HBI"
"141";140005;1;5;"vbe";20;0;2012;"HBI"
"142";140005;1;6;"gfi";30;0;2012;"HBI"
"143";140005;1;7;"vbe";50;0;2012;"HBI"
"144";140005;1;8;"vbe";20;0;2012;"HBI"
"145";140005;1;9;"vbe";50;0;2012;"HBI"
"146";140005;1;10;"vbe";60;0;2012;"HBI"
"147";140005;2;1;"vbe";20;0;2012;"HBI"
"148";140005;2;2;"vbe";60;0;2012;"HBI"
