"plot_ID","CCS_nr","tree_ID","SP_code","H_cm","D_class_cm","inv_year","inv","stand","area_m2"
140039,1,1,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,2,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,3,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,4,"bah",20,0,2011,"HBI","A",76.3212109733476
140039,1,5,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,6,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,7,"rbu",30,0,2011,"HBI","A",76.3212109733476
140039,1,8,"vbe",20,0,2011,"HBI","A",76.3212109733476
140039,1,9,"vbe",20,0,2011,"HBI","A",76.3212109733476
140039,1,10,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,1,11,"sbi",30,0,2011,"HBI","A",76.3212109733476
140039,1,12,"rbu",30,0,2011,"HBI","A",76.3212109733476
140039,1,13,"vbe",20,0,2011,"HBI","A",76.3212109733476
140039,1,14,"rbu",30,0,2011,"HBI","A",76.3212109733476
140039,1,15,"rbu",20,0,2011,"HBI","A",76.3212109733476
140039,2,1,"vbe",50,0,2011,"HBI","A",11.9404484168276
140039,2,2,"rbu",30,0,2011,"HBI","A",11.9404484168276
140039,2,3,"vbe",20,0,2011,"HBI","A",11.9404484168276
140039,2,4,"rbu",20,0,2011,"HBI","A",11.9404484168276
140039,2,5,"vbe",30,0,2011,"HBI","A",11.9404484168276
140039,2,6,"rbu",20,0,2011,"HBI","A",11.9404484168276
140039,2,7,"rbu",20,0,2011,"HBI","A",11.9404484168276
140039,2,8,"vbe",60,0,2011,"HBI","A",11.9404484168276
140039,2,9,"vbe",20,0,2011,"HBI","A",11.9404484168276
140039,2,10,"vbe",20,0,2011,"HBI","A",11.9404484168276
140039,2,11,"rbu",20,0,2011,"HBI","A",11.9404484168276
140039,2,12,"vbe",20,0,2011,"HBI","A",11.9404484168276
140039,2,13,"vbe",30,0,2011,"HBI","A",11.9404484168276
140039,2,14,"rbu",20,0,2011,"HBI","A",11.9404484168276
140039,3,1,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,2,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,3,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,4,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,5,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,6,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,7,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,8,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,9,"rbu",20,0,2011,"HBI","A",26.4087235201895
140039,3,10,"rbu",40,0,2011,"HBI","A",26.4087235201895
140039,3,11,"vbe",20,0,2011,"HBI","A",26.4087235201895
140039,4,1,"vbe",30,0,2011,"HBI","A",28.2614163711897
140039,4,2,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,3,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,4,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,5,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,6,"vbe",320,1,2011,"HBI","A",28.2614163711897
140039,4,7,"gfi",30,0,2011,"HBI","A",28.2614163711897
140039,4,8,"gfi",30,0,2011,"HBI","A",28.2614163711897
140039,4,9,"vbe",20,0,2011,"HBI","A",28.2614163711897
140039,4,10,"vbe",20,0,2011,"HBI","A",28.2614163711897
140039,4,11,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,12,"vbe",150,1,2011,"HBI","A",28.2614163711897
140039,4,13,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,14,"gfi",20,0,2011,"HBI","A",28.2614163711897
140039,4,15,"gfi",20,0,2011,"HBI","A",28.2614163711897
140040,1,1,"gfi",50,0,2011,"HBI","A",8.04247719318987
140040,1,2,"vbe",40,0,2011,"HBI","A",8.04247719318987
