"plot_ID","inv_year","e_form","e_ID","e_type","stand","geometry"
140014,2012,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140029,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140033,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140042,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140043,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140048,2011,2,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140054,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140058,2011,2,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140055,2011,1,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
140057,2011,2,1,NA,NA,"17.8155509000216, 17.74227061337, 17.6203599962173, 17.4501531970911, 17.2565482752448, 15.5460940957526, 15.8955563915205, 16.297650964344, 16.6550748087101, 16.9668482507055, 17.232116740997, 17.4501531970911, 17.6203599962173, 17.74227061337, 17.8155509000216, 17.84, 17.8155509000216, -0.933673459374118, -1.86478778469494, -2.79079085631772, -3.70914456418883, -4.51556710064367, 8.74281999746522, 8.09919051535352, 7.25618171247229, 6.39328421988817, 5.51286317964907, 4.61733176462899, 3.70914456418884, 2.79079085631772, 1.86478778469495, 0.933673459374127, 0, -0.933673459374118"
