"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
140014,1,2012,17.84,"partly intersecting",11.6593690967096,"B"
140014,0,2012,17.84,"0",987.744701817346,"A"
140014,1,2012,12.62,"no intersections",0,"B"
140014,0,2012,12.62,"0",500.115280167522,"A"
140014,1,2012,5.64,"no intersections",0,"B"
140014,0,2012,5.64,"0",99.8871500223328,"A"
140029,1,2011,17.84,"no intersections",0,"B"
140029,0,2011,17.84,"0",999.404070914056,"A"
140029,1,2011,12.62,"no intersections",0,"B"
140029,0,2011,12.62,"0",500.115280167522,"A"
140029,1,2011,5.64,"no intersections",0,"B"
140029,0,2011,5.64,"0",99.8871500223328,"A"
140033,1,2011,17.84,"no intersections",0,"B"
140033,0,2011,17.84,"0",999.404070914056,"A"
140033,1,2011,12.62,"no intersections",0,"B"
140033,0,2011,12.62,"0",500.115280167522,"A"
140033,1,2011,5.64,"no intersections",0,"B"
140033,0,2011,5.64,"0",99.8871500223328,"A"
140042,1,2011,17.84,"no intersections",0,"B"
140042,0,2011,17.84,"0",999.404070914056,"A"
140042,1,2011,12.62,"no intersections",0,"B"
140042,0,2011,12.62,"0",500.115280167522,"A"
140042,1,2011,5.64,"no intersections",0,"B"
140042,0,2011,5.64,"0",99.8871500223328,"A"
140043,1,2011,17.84,"no intersections",0,"B"
140043,0,2011,17.84,"0",999.404070914056,"A"
140043,1,2011,12.62,"no intersections",0,"B"
140043,0,2011,12.62,"0",500.115280167522,"A"
140043,1,2011,5.64,"no intersections",0,"B"
140043,0,2011,5.64,"0",99.8871500223328,"A"
140048,1,2011,17.84,"partly intersecting",603.001711904139,"A"
140048,0,2011,17.84,"0",396.402359009917,"B"
140048,1,2011,12.62,"partly intersecting",376.16166424301,"A"
140048,0,2011,12.62,"0",123.953615924513,"B"
140048,1,2011,5.64,"fully covering circle",99.8871500223328,"A"
140048,0,2011,5.64,"0",0,"B"
140054,1,2011,17.84,"no intersections",0,"B"
140054,0,2011,17.84,"0",999.404070914056,"A"
140054,1,2011,12.62,"no intersections",0,"B"
140054,0,2011,12.62,"0",500.115280167522,"A"
140054,1,2011,5.64,"no intersections",0,"B"
140054,0,2011,5.64,"0",99.8871500223328,"A"
140058,1,2011,17.84,"partly intersecting",508.281477280971,"A"
140058,0,2011,17.84,"0",491.122593633085,"B"
140058,1,2011,12.62,"partly intersecting",346.231521825223,"A"
140058,0,2011,12.62,"0",153.883758342299,"B"
140058,1,2011,5.64,"fully covering circle",99.8871500223328,"A"
140058,0,2011,5.64,"0",0,"B"
140055,1,2011,17.84,"partly intersecting",477.698765240248,"B"
140055,0,2011,17.84,"0",521.705305673807,"A"
140055,1,2011,12.62,"partly intersecting",234.495428422025,"B"
140055,0,2011,12.62,"0",265.619851745498,"A"
140055,1,2011,5.64,"partly intersecting",42.9997372353189,"B"
140055,0,2011,5.64,"0",56.8874127870138,"A"
140057,1,2011,17.84,"partly intersecting",970.564376736497,"A"
140057,0,2011,17.84,"0",28.8396941775588,"B"
140057,1,2011,12.62,"fully covering circle",500.115280167522,"A"
140057,0,2011,12.62,"0",0,"B"
140057,1,2011,5.64,"fully covering circle",99.8871500223328,"A"
140057,0,2011,5.64,"0",0,"B"
140065,1,2012,17.84,"partly intersecting",245.607442516441,"B"
140065,0,2012,17.84,"0",753.796628397615,"A"
140065,1,2012,12.62,"partly intersecting",75.9853752029447,"B"
140065,0,2012,12.62,"0",424.129904964577,"A"
140065,1,2012,5.64,"no intersections",0,"B"
140065,0,2012,5.64,"0",99.8871500223328,"A"
140060,1,2012,17.84,"partly intersecting",89.7682317612089,"B"
140060,0,2012,17.84,"0",909.635839152847,"A"
140060,1,2012,12.62,"no intersections",0,"B"
140060,0,2012,12.62,"0",500.115280167522,"A"
140060,1,2012,5.64,"no intersections",0,"B"
140060,0,2012,5.64,"0",99.8871500223328,"A"
140027,1,2011,17.84,"no intersections",0,"C"
140027,2,2011,17.84,"partly intersecting",7.96114277714842,"B"
140027,0,2011,17.84,"0",991.442928136908,"A"
140027,1,2011,12.62,"no intersections",0,"C"
140027,2,2011,12.62,"no intersections",0,"B"
140027,0,2011,12.62,"0",500.115280167522,"A"
140027,1,2011,5.64,"no intersections",0,"C"
140027,2,2011,5.64,"no intersections",0,"B"
140027,0,2011,5.64,"0",99.8871500223328,"A"
140046,1,2011,17.84,"partly intersecting",43.803595844205,"C"
140046,2,2011,17.84,"partly intersecting",299.264259017165,"B"
140046,0,2011,17.84,"0",656.336216052686,"A"
140046,1,2011,12.62,"no intersections",0,"C"
140046,2,2011,12.62,"partly intersecting",110.861344891647,"B"
140046,0,2011,12.62,"0",389.253935275876,"A"
140046,1,2011,5.64,"no intersections",0,"C"
140046,2,2011,5.64,"no intersections",0,"B"
140046,0,2011,5.64,"0",99.8871500223328,"A"
140022,1,2011,17.84,"no intersections",0,"no forest"
140022,0,2011,17.84,"0",999.404070914056,"A"
140022,1,2011,12.62,"no intersections",0,"no forest"
140022,0,2011,12.62,"0",500.115280167522,"A"
140022,1,2011,5.64,"no intersections",0,"no forest"
140022,0,2011,5.64,"0",99.8871500223328,"A"
140023,1,2011,17.84,"no intersections",0,"no forest"
140023,0,2011,17.84,"0",999.404070914056,"A"
140023,1,2011,12.62,"no intersections",0,"no forest"
140023,0,2011,12.62,"0",500.115280167522,"A"
140023,1,2011,5.64,"no intersections",0,"no forest"
140023,0,2011,5.64,"0",99.8871500223328,"A"
140024,1,2011,17.84,"partly intersecting",84.420447853116,"no forest"
140024,0,2011,17.84,"0",914.98362306094,"A"
140024,1,2011,12.62,"no intersections",0,"no forest"
140024,0,2011,12.62,"0",500.115280167522,"A"
140024,1,2011,5.64,"no intersections",0,"no forest"
140024,0,2011,5.64,"0",99.8871500223328,"A"
140026,1,2011,17.84,"partly intersecting",0.223740147836793,"no forest"
140026,0,2011,17.84,"0",999.180330766219,"A"
140026,1,2011,12.62,"no intersections",0,"no forest"
140026,0,2011,12.62,"0",500.115280167522,"A"
140026,1,2011,5.64,"no intersections",0,"no forest"
140026,0,2011,5.64,"0",99.8871500223328,"A"
140037,1,2011,17.84,"no intersections",0,"no forest"
140037,0,2011,17.84,"0",999.404070914056,"A"
140037,1,2011,12.62,"no intersections",0,"no forest"
140037,0,2011,12.62,"0",500.115280167522,"A"
140037,1,2011,5.64,"no intersections",0,"no forest"
140037,0,2011,5.64,"0",99.8871500223328,"A"
140056,1,2011,17.84,"partly intersecting",232.250089966904,"warning"
140056,0,2011,17.84,"0",767.153980947152,"A"
140056,1,2011,12.62,"partly intersecting",55.0990329282616,"warning"
140056,0,2011,12.62,"0",445.01624723926,"A"
140056,1,2011,5.64,"fully covering circle",0,"warning"
140056,0,2011,5.64,"0",99.8871500223328,"A"
140234,1,2011,17.84,"no intersections",0,"no forest"
140234,0,2011,17.84,"0",999.404070914056,"A"
140234,1,2011,12.62,"no intersections",0,"no forest"
140234,0,2011,12.62,"0",500.115280167522,"A"
140234,1,2011,5.64,"no intersections",0,"no forest"
140234,0,2011,5.64,"0",99.8871500223328,"A"
140254,1,2012,17.84,"partly intersecting",177.688766223274,"warning"
140254,0,2012,17.84,"0",821.715304690782,"A"
140254,1,2012,12.62,"partly intersecting",35.5091506282616,"warning"
140254,0,2012,12.62,"0",464.60612953926,"A"
140254,1,2012,5.64,"fully covering circle",0,"warning"
140254,0,2012,5.64,"0",99.8871500223328,"A"
140316,1,2012,17.84,"no intersections",0,"no forest"
140316,0,2012,17.84,"0",999.404070914056,"A"
140316,1,2012,12.62,"no intersections",0,"no forest"
140316,0,2012,12.62,"0",500.115280167522,"A"
140316,1,2012,5.64,"no intersections",0,"no forest"
140316,0,2012,5.64,"0",99.8871500223328,"A"
140039,1,2011,17.84,"no intersections",0,"no forest"
140039,2,2011,17.84,"partly intersecting",426.368751405637,"B"
140039,0,2011,17.84,"0",573.035319508418,"A"
