"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"1";50005;1;2012;17,84;"partly intersecting";475,694047862431;"B"
"2";50005;0;2012;17,84;"0";523,710023060965;"A"
"3";50005;1;2012;12,62;"partly intersecting";233,078993999283;"B"
"4";50005;0;2012;12,62;"0";267,03628618666;"A"
"5";50005;1;2012;5,64;"partly intersecting";42,3701787245227;"B"
"6";50005;0;2012;5,64;"0";57,5169712973293;"A"
"7";50006;1;2012;17,84;"partly intersecting";304,713169409661;"warning"
"8";50006;0;2012;17,84;"0";694,690901481954;"A"
"9";50006;1;2012;12,62;"partly intersecting";114,495738224243;"warning"
"10";50006;0;2012;12,62;"0";385,61954193312;"A"
"11";50006;1;2012;5,64;"partly intersecting";0,103420173225459;"warning"
"12";50006;0;2012;5,64;"0";99,7837298425729;"A"
"13";50007;1;2012;17,84;"partly intersecting";27,2693693215551;"no forest"
"14";50007;0;2012;17,84;"0";972,134701592382;"A"
"15";50007;1;2012;12,62;"no intersections";0;"no forest"
"16";50007;0;2012;12,62;"0";500,115280165453;"A"
"17";50007;1;2012;5,64;"no intersections";0;"no forest"
"18";50007;0;2012;5,64;"0";99,8871500224923;"A"
"19";50009;2;2012;17,84;"no intersections";0;"no forest"
"20";50009;1;2012;17,84;"partly intersecting";423,123574893922;"B"
"21";50009;0;2012;17,84;"0";576,280496023595;"A"
"22";50009;2;2012;12,62;"no intersections";0;"no forest"
"23";50009;1;2012;12,62;"partly intersecting";196,018569003791;"B"
"24";50009;0;2012;12,62;"0";304,096711162943;"A"
"25";50009;2;2012;5,64;"no intersections";0;"no forest"
"26";50009;1;2012;5,64;"partly intersecting";26,277584559517;"B"
"27";50009;0;2012;5,64;"0";73,6095654604142;"A"
"28";50010;1;2012;17,84;"partly intersecting";134,872437289683;"B"
"29";50010;0;2012;17,84;"0";864,531633660896;"A"
"30";50010;1;2012;12,62;"partly intersecting";18,811754322378;"B"
"31";50010;0;2012;12,62;"0";481,303525841678;"A"
"32";50010;1;2012;5,64;"no intersections";0;"B"
"33";50010;0;2012;5,64;"0";99,8871500273817;"A"
"34";50013;1;2012;17,84;"partly intersecting";29,9175752794836;"no forest"
"35";50013;0;2012;17,84;"0";969,48649563198;"A"
"36";50013;1;2012;12,62;"no intersections";0;"no forest"
"37";50013;0;2012;12,62;"0";500,115280157421;"A"
"38";50013;1;2012;5,64;"no intersections";0;"no forest"
"39";50013;0;2012;5,64;"0";99,8871500242385;"A"
"40";50014;1;2012;17,84;"no intersections";0;"no forest"
"41";50014;0;2012;17,84;"0";999,404070932651;"A"
"42";50014;1;2012;12,62;"no intersections";0;"no forest"
"43";50014;0;2012;12,62;"0";500,115280178259;"A"
"44";50014;1;2012;5,64;"no intersections";0;"no forest"
"45";50014;0;2012;5,64;"0";99,8871500185342;"A"
"46";50023;1;2012;17,84;"partly intersecting";85,8768142127665;"warning"
"47";50023;0;2012;17,84;"0";913,527256716276;"A"
"48";50023;1;2012;12,62;"fully covering circle";0;"warning"
"49";50023;0;2012;12,62;"0";500,115280161845;"A"
"50";50023;1;2012;5,64;"fully covering circle";0;"warning"
"51";50023;0;2012;5,64;"0";99,8871500142268;"A"
"52";50024;1;2012;17,84;"partly intersecting";528,007552441966;"A"
"53";50024;0;2012;17,84;"0";471,396518478403;"B"
"54";50024;1;2012;12,62;"partly intersecting";289,156622939307;"A"
"55";50024;0;2012;12,62;"0";210,958657211275;"B"
"56";50024;1;2012;5,64;"partly intersecting";73,9181864523271;"A"
"57";50024;0;2012;5,64;"0";25,9689635760733;"B"
"58";50025;1;2012;17,84;"partly intersecting";0,593802798397519;"B"
"59";50025;0;2012;17,84;"0";998,810268060537;"A"
"60";50025;1;2012;12,62;"no intersections";0;"B"
"61";50025;0;2012;12,62;"0";500,115280169877;"A"
"62";50025;1;2012;5,64;"no intersections";0;"B"
"63";50025;0;2012;5,64;"0";99,8871500227833;"A"
"64";50026;1;2012;17,84;"partly intersecting";177,398156251991;"warning"
"65";50026;0;2012;17,84;"0";822,005914666457;"A"
"66";50026;1;2012;12,62;"partly intersecting";35,3496107193496;"warning"
"67";50026;0;2012;12,62;"0";464,765669450513;"A"
"68";50026;1;2012;5,64;"no intersections";0;"warning"
"69";50026;0;2012;5,64;"0";99,8871500226087;"A"
"70";50033;1;2012;17,84;"partly intersecting";174,949262609705;"warning"
"71";50033;0;2012;17,84;"0";824,454808293027;"A"
"72";50033;1;2012;12,62;"partly intersecting";34,0079986016499;"warning"
"73";50033;0;2012;12,62;"0";466,107281560544;"A"
"74";50033;1;2012;5,64;"no intersections";0;"warning"
"75";50033;0;2012;5,64;"0";99,8871500196401;"A"
"76";50036;1;2012;17,84;"no intersections";0;"B"
"77";50036;0;2012;17,84;"0";999,404070907272;"A"
"78";50036;1;2012;12,62;"no intersections";0;"B"
"79";50036;0;2012;12,62;"0";500,115280151716;"A"
"80";50036;1;2012;5,64;"no intersections";0;"B"
"81";50036;0;2012;5,64;"0";99,8871500149835;"A"
"82";50039;1;2012;17,84;"no intersections";0;"no forest"
"83";50039;2;2012;17,84;"partly intersecting";197,092455200851;"warning"
"84";50039;0;2012;17,84;"0";802,311615783576;"A"
"85";50039;1;2012;12,62;"no intersections";0;"no forest"
"86";50039;2;2012;12,62;"partly intersecting";46,4876464866102;"warning"
"87";50039;0;2012;12,62;"0";453,627633691998;"A"
"88";50039;1;2012;5,64;"no intersections";0;"no forest"
"89";50039;2;2012;5,64;"no intersections";0;"warning"
"90";50039;0;2012;5,64;"0";99,8871500071255;"A"
"91";50041;1;2012;17,84;"partly intersecting";118,118613476516;"B"
"92";50041;0;2012;17,84;"0";881,285457449732;"A"
"93";50041;1;2012;12,62;"partly intersecting";7,09352293721895;"B"
"94";50041;0;2012;12,62;"0";493,021757217241;"A"
"95";50041;1;2012;5,64;"no intersections";0;"B"
