"";"plot_ID";"e_ID";"e_form";"geometry"
"1";50005;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"2";50006;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"3";50007;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"4";50010;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"5";50013;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"6";50014;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"7";50023;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"8";50024;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"9";50025;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
"10";50026;0;0;"-16.9668482507055 -17.232116740997 -17.4501531970911 -17.6203599962172 -17.74227061337 -17.8155509000216 -17.84 -17.8155509000216 -17.74227061337 -17.6203599962173 -17.4501531970911 -17.232116740997 -16.9668482507056 -16.6550748087101 -16.297650964344 -15.8955563915205 -15.4498932035144 -14.9618829321464 -14.4328631796491 -13.8642839523924 -13.2577036865168 -12.6147849763681 -11.9372900174421 -11.2270757763292 -10.4860889008978 -9.71636038466815 -8.92000000000006 -8.09919051535359 -7.25618171247235 -6.39328421988822 -5.51286317964914 -4.61733176462905 -3.70914456418891 -2.7907908563178 -1.86478778469501 -0.933673459374206 -8.25025616400798e-14 0.933673459374025 1.86478778469485 2.79079085631764 3.70914456418874 4.61733176462889 5.51286317964897 6.39328421988807 7.2561817124722 8.09919051535343 8.91999999999992 9.71636038466801 10.4860889008976 11.227075776329 11.937290017442 12.6147849763679 13.2577036865166 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.65507480871 16.9668482507055 17.232116740997 17.2815597492153 -16.8997194320255 -16.6550748087101 -16.9668482507055 -5.51286317964911 -4.61733176462902 -3.70914456418888 -2.79079085631778 -1.86478778469499 -0.933673459374173 -5.76425582612949e-14 0.933673459374058 1.86478778469488 2.79079085631766 3.70914456418877 4.61733176462891 5.512863179649 6.3932842198881 7.25618171247222 8.09919051535346 8.91999999999994 9.71636038466803 10.4860889008977 11.227075776329 11.937290017442 12.614784976368 13.2577036865167 13.8642839523923 14.432863179649 14.9618829321463 15.4498932035143 15.8955563915204 16.297650964344 16.6550748087101 16.9668482507055 17.232116740997 17.4501531970911 17.6203599962172 17.74227061337 17.8155509000216 17.84 17.8155509000216 17.74227061337 17.6203599962173 17.4501531970911 17.232116740997 16.9668482507056 16.6550748087101 16.297650964344 15.8955563915205 15.4498932035144 14.9618829321464 14.4328631796491 13.8642839523924 13.2577036865168 12.6147849763681 11.9372900174421 11.2270757763292 10.4860889008978 9.71636038466817 8.92000000000009 8.0991905153536 7.25618171247238 6.39328421988825 5.51286317964917 4.61733176462908 4.41138681386479 -5.70242911571479 -6.3932842198882 -5.51286317964911"
