"";"plot_ID";"inv_year";"e_ID";"geometry";"e_form"
"1";50005;2012;1;list(c(2517015.39468112, 2517056.09266184, 2516941.03132842, 2517015.39468112, 5678959.51971213, 5679033.4311107, 5678999.38589136, 5678959.51971213));1
"2";50006;2012;1;list(c(2517069.10660742, 2517092.2765975, 2516989.85789551, 2517069.10660742, 5686958.97255514, 5687036.40804459, 5686974.87051504, 5686958.97255514));1
"3";50007;2012;1;list(c(2516905.41967512, 2516925.46056082, 2516832.38159422, 2516905.41967512, 5710987.05627575, 5710916.81172903, 5710985.88487342, 5710987.05627575));1
"4";50009;2012;1;list(c(2524938.80694531, 2524989.67007393, 2524871.03494375, 2524938.80694531, 5599014.41575455, 5598948.42556263, 5598965.95216937, 5599014.41575455));1
"5";50009;2012;2;list(c(2524923.72079501, 2524983.72972774, 2524871.92871753, 2524923.72079501, 5598895.39348576, 5598928.27944041, 5598940.11639634, 5598895.39348576));1
"6";50013;2012;1;list(c(2525016.20711551, 2525082.98580008, 2524970.17720357, 2525016.20711551, 5679129.04533325, 5679099.13871163, 5679072.16786903, 5679129.04533325));1
"7";50014;2012;1;list(c(2525000.58485899, 2524972.47760219, 2524954.44521977, 2525000.58485899, 5727063.39351919, 5727124.42135513, 5727014.55144372, 5727063.39351919));1
"8";50025;2012;1;list(c(2556911.63466582, 2556981.70541658, 2556878.51281853, 2556911.63466582, 5694820.86557126, 5694833.94403338, 5694883.98371062, 5694820.86557126));1
"9";50026;2012;1;list(c(2557046.46146129, 2557089.44439543, 2556975.57355025, 2557046.46146129, 5711182.68386618, 5711117.78667087, 5711150.52671059, 5711182.68386618));1
"10";50033;2012;1;list(c(2573075.51365509, 2573053.7734856, 2573005.26959445, 2573075.51365509, 5639063.25366493, 5638988.57578198, 5639096.64817222, 5639063.25366493));1
"11";50036;2012;1;list(c(2581048.02996618, 2581100.2793201, 2581010.90265544, 2581048.02996618, 5638999.23732762, 5639005.55294807, 5639036.5394032, 5638999.23732762));1
"12";50039;2012;1;list(c(2581006.62199324, 2581045.50837741, 2580946.74480038, 2581006.62199324, 5703093.46014065, 5703140.37332834, 5703104.76146043, 5703093.46014065));1
"13";50039;2012;2;list(c(2581046.13919016, 2580999.02978018, 2580991.19704193, 2581046.13919016, 5703153.86280669, 5703091.27546372, 5703209.70035996, 5703153.86280669));1
"14";50041;2012;1;list(c(2588951.14110033, 2589016.04250582, 2588899.38361193, 2588951.14110033, 5614977.75798785, 5615017.75156048, 5615033.72977254, 5614977.75798785));1
"15";50042;2012;1;list(c(2589064.8676551, 2589025.58437077, 2589020.85797004, 2589064.8676551, 5679016.67168326, 5678957.86112241, 5679072.03418064, 5679016.67168326));1
"16";50045;2012;1;list(c(2597010.11067728, 2597088.0850297, 2597022.83263928, 2597010.11067728, 5759023.66432071, 5759003.23526192, 5759103.2601608, 5759023.66432071));1
"17";50047;2012;1;list(c(2605011.78226792, 2605056.98253303, 2604940.41915025, 2605011.78226792, 5654982.13550103, 5655051.04791331, 5655023.35794599, 5654982.13550103));1
"18";50048;2012;1;list(c(3396982.81307806, 3397042.95909365, 3397036.69188172, 3396982.81307806, 5646964.3657033, 5646907.50343356, 5647027.19830174, 5646964.3657033));1
"19";50050;2012;1;list(c(3396939.03721398, 3397010.17220806, 3396961.9119461, 3396939.03721398, 5686998.45434548, 5687031.81531946, 5686923.28860463, 5686998.45434548));1
"20";50053;2012;1;list(c(3405012.78610831, 3405079.37484251, 3405056.94757181, 3405012.78610831, 5663008.80680904, 5662960.53066552, 5663078.19276365, 5663008.80680904));1
"21";50056;2012;1;list(c(3404996.71220415, 3405006.57323851, 3404919.75875473, 3404996.71220415, 5687073.76845424, 5686997.35928488, 5687077.47895066, 5687073.76845424));1
"22";50057;2012;2;list(c(3404936.29084854, 3405007.2587529, 3404899.04634974, 3404936.29084854, 5694939.07915508, 5694959.86808486, 5695002.96554142, 5694939.07915508));1
"23";50058;2012;1;list(c(3405033.02123605, 3405008.8048843, 3404977.28766537, 3405033.02123605, 5735010.54429065, 5734944.17899236, 5735053.95573625, 5735010.54429065));1
"24";50059;2012;1;list(c(3412943.80895309, 3413023.99096397, 3412970.30396398, 3412943.80895309, 5646942.50101808, 5646915.52506478, 5647022.84323191, 5646942.50101808));1
"25";50059;2012;2;list(c(3413010.62904562, 3413057.27403413, 3412945.48655968, 3413010.62904562, 5646910.80601129, 5646964.51199963, 5646939.38125693, 5646910.80601129));1
"26";50060;2012;1;list(c(3412951.15385577, 3412976.66754524, 3412870.75181478, 3412951.15385577, 5662965.23550675, 5663045.0059548, 5662988.68299143, 5662965.23550675));1
"27";50061;2012;1;list(c(3413028.01071079, 3413060.18475218, 3412957.58862241, 3413028.01071079, 5678944.55347267, 5679008.38353271, 5678956.80806248, 5678944.55347267));1
"28";50063;2012;1;list(c(3413066.62151202, 3413084.60998547, 3412998.76400301, 3413066.62151202, 5711062.43614861, 5710996.68466008, 5711068.93244695, 5711062.43614861));1
"29";50063;2012;2;list(c(3413040.31758405, 3413086.71016951, 3412979.17661056, 3413040.31758405, 5711075.2493043, 5711028.84216319, 5711051.42335012, 5711075.2493043));1
"30";50064;2012;1;list(c(3413131.34695929, 3413155.44965694, 3413051.22185971, 3413131.34695929, 5790920.21069069, 5790999.15462245, 5790940.03625029, 5790920.21069069));1
"31";50065;2012;1;list(c(3420977.2987682, 3421050.09869591, 3420949.56349362, 3420977.2987682, 5639008.815192, 5639018.62313879, 5639076.83562891, 5639008.815192));1
"32";50069;2012;1;list(c(3420967.48417603, 3421041.12842044, 3420938.05825178, 3420967.48417603, 5782997.50812616, 5783010.94372193, 5783066.34202007, 5782997.50812616));1
"33";50069;2012;2;list(c(3421023.77633877, 3421055.55859262, 3420956.81665314, 3421023.77633877, 5782997.23218603, 5783056.65554352, 5783004.82478613, 5782997.23218603));1
