"";"plot_ID";"team";"date";"plot_inv_status";"inv_year";"inv"
"1";130001;"-2";1970-01-01;26;2012;"HBI"
"2";130002;"-2";1970-01-01;26;2012;"HBI"
"3";130003;"-2";1970-01-01;26;2012;"HBI"
"4";130004;"-2";1970-01-01;26;2012;"HBI"
"5";130005;"-9";1970-01-01;50;2012;"HBI"
"6";130006;"-2";1970-01-01;26;2012;"HBI"
"7";130007;"-9";1970-01-01;50;2012;"HBI"
"8";130008;"-2";1970-01-01;26;2012;"HBI"
"9";130009;"-2";1970-01-01;26;2012;"HBI"
"10";130010;"Heinkele;Martin";2005-11-25;0;2012;"HBI"
"11";130011;"-2";1970-01-01;26;2012;"HBI"
"12";130012;"-2";1970-01-01;26;2012;"HBI"
"13";130013;"Heinkele;Martin";2005-10-13;0;2012;"HBI"
"14";130014;"Heinkele;Martin";2005-10-12;0;2012;"HBI"
"15";130015;"-2";1970-01-01;26;2012;"HBI"
"16";130016;"-1";1970-01-01;-2;2012;"HBI"
"17";130017;"Heinkele;Martin";2006-03-29;0;2012;"HBI"
"18";130018;"-9";1970-01-01;50;2012;"HBI"
"19";130019;"-2";1970-01-01;26;2012;"HBI"
"20";130020;"-2";1970-01-01;26;2012;"HBI"
"21";130021;"-2";1970-01-01;26;2012;"HBI"
"22";130022;"Heinkele;Martin";2006-03-28;0;2012;"HBI"
"23";130023;"Heinkele;Martin";2005-11-26;0;2012;"HBI"
"24";130024;"-2";1970-01-01;26;2012;"HBI"
"25";130025;"-2";1970-01-01;26;2012;"HBI"
"26";130026;"Heinkele;Martin";2005-11-17;0;2012;"HBI"
"27";130027;"Heinkele;Martin";2005-10-28;0;2012;"HBI"
"28";130028;"Heinkele;Martin";2006-10-14;0;2012;"HBI"
"29";130029;"Heinkele;Martin";2006-03-29;0;2012;"HBI"
"30";130030;"-2";1970-01-01;26;2012;"HBI"
"31";130031;"-1";1970-01-01;-2;2012;"HBI"
"32";130032;"Heinkele;Martin";2006-03-28;0;2012;"HBI"
"33";130033;"Heinkele;Martin";2006-03-27;0;2012;"HBI"
"34";130034;"-2";1970-01-01;26;2012;"HBI"
"35";130035;"-2";1970-01-01;26;2012;"HBI"
"36";130036;"Heinkele;Martin";2005-10-30;0;2012;"HBI"
"37";130037;"Heinkele;Martin";2006-03-30;0;2012;"HBI"
"38";130038;"-9";1970-01-01;50;2012;"HBI"
"39";130039;"Heinkele;Martin";2005-10-15;0;2012;"HBI"
"40";130040;"-2";1970-01-01;26;2012;"HBI"
"41";130041;"-2";1970-01-01;26;2012;"HBI"
"42";130042;"Heinkele;Martin";2005-11-27;0;2012;"HBI"
"43";130043;"-2";1970-01-01;26;2012;"HBI"
"44";130044;"Heinkele;Martin";2005-10-29;0;2012;"HBI"
"45";130045;"-9";1970-01-01;50;2012;"HBI"
"46";130046;"Heinkele;Martin";2005-11-13;0;2012;"HBI"
"47";130047;"Heinkele/Martin/Just";2005-11-14;0;2012;"HBI"
"48";130048;"Heinkele;Martin";2005-10-16;0;2012;"HBI"
"49";130049;"-2";1970-01-01;26;2012;"HBI"
"50";130050;"Heinkele;Martin";2005-11-12;0;2012;"HBI"
"51";130051;"Heinkele;Martin";2005-11-18;0;2012;"HBI"
"52";130052;"Heinkele;Martin";2005-10-29;0;2012;"HBI"
"53";130053;"-2";1970-01-01;26;2012;"HBI"
"54";130054;"-2";1970-01-01;26;2012;"HBI"
"55";130055;"-2";1970-01-01;26;2012;"HBI"
"56";130056;"Heinkele;Martin";2005-11-11;0;2012;"HBI"
"57";130057;"Heinkele;Martin";2005-11-11;0;2012;"HBI"
"58";130058;"-2";1970-01-01;26;2012;"HBI"
"59";130059;"Heinkele/Martin/Wellbrock/Evers";2005-10-20;0;2012;"HBI"
"60";130060;"Heinkele;Martin";2005-10-18;0;2012;"HBI"
"61";130061;"Heinkele; Martin";2005-10-17;0;2012;"HBI"
"62";130062;"-1";1970-01-01;-2;2012;"HBI"
"63";130063;"-2";1970-01-01;26;2012;"HBI"
"64";130064;"Heinkele;Martin";2005-10-21;0;2012;"HBI"
"65";130065;"-9";1970-01-01;50;2012;"HBI"
"66";130066;"-1";1970-01-01;-2;2012;"HBI"
"67";130068;"Heinkele;Martin";2005-10-19;0;2012;"HBI"
"68";130069;"Martin;Just";2006-08-28;0;2012;"HBI"
"69";130070;"Martin;Just";2007-04-13;0;2012;"HBI"
"70";130071;"Martin;Just";2007-04-24;0;2012;"HBI"
"71";130072;"Martin;Just";2006-07-21;0;2012;"HBI"
"72";130073;"Martin;Just";2007-03-27;0;2012;"HBI"
"73";130074;"Martin;Just";2006-08-22;0;2012;"HBI"
"74";130075;"Martin;Just";2007-05-23;0;2012;"HBI"
"75";130076;"Martin;Just";2006-06-13;0;2012;"HBI"
"76";130077;"Martin;Just";2006-05-31;0;2012;"HBI"
"77";130078;"Martin;Just";2006-05-18;0;2012;"HBI"
"78";130079;"Martin;Just";2006-07-12;0;2012;"HBI"
"79";130080;"Martin;Just";2007-06-06;0;2012;"HBI"
"80";130081;"Martin;Just";2007-05-08;0;2012;"HBI"
"81";130082;"Martin;Just";2006-06-06;0;2012;"HBI"
"82";130083;"Martin;Just";2006-05-11;0;2012;"HBI"
"83";130084;"Martin;Just";2007-04-10;0;2012;"HBI"
"84";130085;"-1";1970-01-01;-2;2012;"HBI"
"85";130086;"-1";1970-01-01;-2;2012;"HBI"
"86";130087;"-1";1970-01-01;-2;2012;"HBI"
"87";130088;"Martin;Just";2007-07-11;19;2012;"HBI"
