"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm"
"1";50001;4;"w";1000;2;-9
"2";50001;1;"n";1000;2;-9
"3";50001;2;"o";1000;2;-9
"4";50001;3;"s";1000;2;-9
"5";50002;3;"s";1000;2;-9
"6";50002;1;"n";1000;2;-9
"7";50002;4;"w";1000;2;-9
"8";50002;2;"o";1000;2;-9
"9";50003;2;"o";1000;1;230
"10";50003;3;"s";1000;1;425
"11";50003;1;"n";1000;1;500
"12";50003;4;"w";1000;1;237
"13";50004;4;"w";1000;1;500
"14";50004;3;"s";1000;1;500
"15";50004;2;"o";1000;1;500
"16";50004;1;"n";1000;1;202
"17";50005;2;"o";1000;1;455
"18";50005;1;"n";1000;1;349
"19";50005;4;"w";1000;1;288
"20";50005;3;"s";1000;1;457
"21";50006;4;"w";1000;1;444
"22";50006;1;"n";1000;2;-9
"23";50006;2;"o";1000;1;344
"24";50006;3;"s";1000;2;-9
"25";50007;3;"s";1000;1;325
"26";50007;4;"w";1000;1;320
"27";50007;1;"n";1000;1;472
"28";50007;2;"o";1000;1;300
"29";50008;1;"n";1000;2;-9
"30";50008;3;"s";1000;1;170
"31";50008;2;"o";1000;1;400
"32";50008;4;"w";1000;2;-9
"33";50009;1;"n";1000;1;82
"34";50009;4;"w";1000;1;120
"35";50009;3;"s";1000;1;480
"36";50009;2;"o";1000;1;460
"37";50010;4;"w";1000;1;500
"38";50010;3;"s";1000;1;477
"39";50010;2;"o";1000;1;215
"40";50010;1;"n";1000;1;370
"41";50011;3;"s";1000;2;-9
"42";50011;1;"n";1000;1;297
"43";50011;4;"w";1000;2;-9
"44";50011;2;"o";1000;1;238
"45";50012;3;"s";1000;1;495
"46";50012;1;"n";1000;1;473
"47";50012;2;"o";1000;1;420
"48";50012;4;"w";1000;1;472
"49";50013;3;"s";1000;2;-9
"50";50013;4;"w";1000;1;188
"51";50013;2;"o";1000;1;443
"52";50013;1;"n";1000;1;441
"53";50014;3;"s";1000;2;-9
"54";50014;4;"w";1000;1;335
"55";50014;2;"o";1000;2;-9
"56";50014;1;"n";1000;1;320
"57";50015;3;"s";1000;1;310
"58";50015;1;"n";1000;1;375
"59";50015;2;"o";1000;1;145
"60";50015;4;"w";1000;1;300
"61";50016;3;"s";1000;1;285
"62";50016;2;"o";1000;1;485
"63";50016;4;"w";1000;1;120
"64";50016;1;"n";1000;1;136
"65";50017;2;"o";1000;1;480
"66";50017;3;"s";1000;1;480
"67";50017;1;"n";1000;1;315
"68";50017;4;"w";1000;1;190
"69";50018;4;"w";1000;1;165
"70";50018;2;"o";1000;1;214
"71";50018;3;"s";1000;1;405
"72";50018;1;"n";1000;1;443
"73";50019;4;"w";1000;2;-9
"74";50019;3;"s";1000;2;-9
"75";50019;2;"o";1000;1;390
"76";50019;1;"n";1000;2;-9
"77";50020;4;"w";1000;1;260
"78";50020;1;"n";1000;1;500
"79";50020;2;"o";1000;1;275
"80";50020;3;"s";1000;1;270
"81";50021;4;"w";1000;1;275
"82";50021;2;"o";1000;1;228
"83";50021;3;"s";1000;1;210
"84";50021;1;"n";1000;1;240
"85";50022;2;"o";1000;1;363
"86";50022;1;"n";1000;1;500
"87";50022;3;"s";1000;1;350
"88";50022;4;"w";1000;1;330
"89";50023;1;"n";1000;1;359
"90";50023;4;"w";1000;1;491
"91";50023;2;"o";1000;1;42
"92";50023;3;"s";1000;1;396
"93";50024;4;"w";1000;2;-9
"94";50024;3;"s";1000;1;140
"95";50024;2;"o";1000;1;328
"96";50024;1;"n";1000;1;397
"97";50025;4;"w";1000;1;426
"98";50025;3;"s";1000;1;454
"99";50025;1;"n";1000;1;474
"100";50025;2;"o";1000;1;480
"101";50026;3;"s";1000;1;188
"102";50026;2;"o";1000;1;240
"103";50026;1;"n";1000;1;80
"104";50026;4;"w";1000;1;163
"105";50027;1;"n";1000;1;438
"106";50027;2;"o";1000;1;496
"107";50027;4;"w";1000;1;405
"108";50027;3;"s";1000;1;445
"109";50028;3;"s";1000;2;-9
"110";50028;4;"w";1000;2;-9
"111";50028;2;"o";1000;2;-9
"112";50028;1;"n";1000;2;-9
"113";50029;4;"w";1000;2;-9
"114";50029;1;"n";1000;1;499
"115";50029;3;"s";1000;1;391
"116";50029;2;"o";1000;2;-9
"117";50030;1;"n";1000;1;500
"118";50030;4;"w";1000;1;173
"119";50030;2;"o";1000;1;370
"120";50030;3;"s";1000;2;-9
"121";50031;3;"s";1000;2;-9
"122";50031;2;"o";1000;2;-9
"123";50031;4;"w";1000;1;500
"124";50031;1;"n";1000;1;480
"125";50032;3;"s";1000;1;500
"126";50032;1;"n";1000;2;-9
"127";50032;2;"o";1000;2;-9
"128";50032;4;"w";1000;2;-9
"129";50033;2;"o";1000;1;158
"130";50033;1;"n";1000;1;220
"131";50033;3;"s";1000;1;90
"132";50033;4;"w";1000;1;71
"133";50034;4;"w";1000;2;-9
"134";50034;1;"n";1000;1;371
"135";50034;3;"s";1000;2;-9
"136";50034;2;"o";1000;2;-9
"137";50035;2;"o";1000;1;185
"138";50035;1;"n";1000;1;270
"139";50035;4;"w";1000;1;210
"140";50035;3;"s";1000;1;410
"141";50036;4;"w";1000;1;493
"142";50036;1;"n";1000;1;480
"143";50036;3;"s";1000;2;-9
"144";50036;2;"o";1000;1;379
"145";50037;4;"w";1000;2;-9
"146";50037;2;"o";1000;1;480
"147";50037;3;"s";1000;1;500
"148";50037;1;"n";1000;1;497
"149";50038;2;"o";1000;1;450
"150";50038;3;"s";1000;1;291
"151";50038;4;"w";1000;1;462
"152";50038;1;"n";1000;1;466
"153";50039;2;"o";1000;1;50
"154";50039;4;"w";1000;1;150
"155";50039;3;"s";1000;1;135
"156";50039;1;"n";1000;1;440
"157";50040;3;"s";1000;1;160
"158";50040;2;"o";1000;1;330
"159";50040;4;"w";1000;1;470
"160";50040;1;"n";1000;1;500
"161";50041;1;"n";1000;2;-9
"162";50041;3;"s";1000;2;-9
"163";50041;4;"w";1000;2;-9
"164";50041;2;"o";1000;2;-9
"165";50042;4;"w";1000;1;395
"166";50042;3;"s";1000;1;500
"167";50042;2;"o";1000;1;499
"168";50042;1;"n";1000;1;160
"169";50043;1;"n";1000;2;-9
"170";50043;2;"o";1000;2;-9
"171";50043;4;"w";1000;2;-9
"172";50043;3;"s";1000;2;-9
"173";50044;2;"o";1000;1;245
"174";50044;4;"w";1000;1;234
"175";50044;3;"s";1000;1;175
"176";50044;1;"n";1000;1;245
"177";50045;4;"w";1000;1;500
"178";50045;3;"s";1000;2;-9
"179";50045;2;"o";1000;2;-9
"180";50045;1;"n";1000;1;270
"181";50046;3;"s";1000;1;110
"182";50046;2;"o";1000;1;240
"183";50046;1;"n";1000;1;285
"184";50046;4;"w";1000;1;190
"185";50047;1;"n";1000;2;-9
"186";50047;4;"w";1000;2;-9
"187";50047;3;"s";1000;1;390
"188";50047;2;"o";1000;1;497
"189";50048;2;"o";1000;1;261
"190";50048;3;"s";1000;1;500
"191";50048;4;"w";1000;1;140
"192";50048;1;"n";1000;2;-9
"193";50049;4;"w";1000;2;-9
"194";50049;1;"n";1000;1;128
"195";50049;3;"s";1000;2;-9
"196";50049;2;"o";1000;1;330
"197";50050;3;"s";1000;1;419
"198";50050;1;"n";1000;2;-9
"199";50050;4;"w";1000;1;468
"200";50050;2;"o";1000;1;442
"201";50051;2;"o";1000;1;190
"202";50051;1;"n";1000;1;170
"203";50051;3;"s";1000;1;160
"204";50051;4;"w";1000;1;500
"205";50052;2;"o";1000;1;400
"206";50052;1;"n";1000;1;500
"207";50052;4;"w";1000;1;500
"208";50052;3;"s";1000;1;345
"209";50053;2;"o";1000;1;130
"210";50053;1;"n";500;1;321
"211";50053;3;"s";1000;1;395
"212";50053;4;"w";1000;1;190
"213";50054;3;"s";1000;1;120
"214";50054;1;"n";1000;1;80
"215";50054;4;"w";1000;1;82
"216";50054;2;"o";1000;1;117
"217";50055;1;"n";1000;2;-9
"218";50055;3;"s";1000;1;420
"219";50055;4;"w";1000;1;423
"220";50055;2;"o";1000;2;-9
"221";50056;3;"s";1000;1;480
"222";50056;2;"o";1000;1;330
"223";50056;1;"n";1000;1;145
"224";50056;4;"w";1000;1;500
"225";50057;1;"n";1000;1;470
"226";50057;4;"w";1000;1;466
"227";50057;2;"o";1000;2;-9
"228";50057;3;"s";1000;1;494
"229";50058;1;"n";1000;1;320
"230";50058;2;"o";1000;1;500
"231";50058;4;"w";1000;1;500
"232";50058;3;"s";1000;1;480
"233";50059;1;"n";1000;1;500
"234";50059;3;"s";1000;1;500
"235";50059;2;"o";1000;1;500
"236";50059;4;"w";1000;1;500
"237";50060;3;"s";1000;1;253
"238";50060;4;"w";1000;1;214
"239";50060;1;"n";1000;1;171
"240";50060;2;"o";1000;1;196
"241";50061;1;"n";1000;2;-9
"242";50061;2;"o";1000;2;-9
"243";50061;4;"w";1000;2;-9
"244";50061;3;"s";1000;2;-9
"245";50062;3;"s";1000;1;320
"246";50062;1;"n";1000;1;303
"247";50062;2;"o";1000;1;290
"248";50062;4;"w";1000;1;370
"249";50063;3;"s";1000;2;-9
"250";50063;4;"w";1000;1;455
"251";50063;1;"n";1000;1;383
"252";50063;2;"o";1000;2;-9
"253";50064;1;"n";500;1;482
"254";50064;3;"s";1000;2;-9
"255";50064;4;"w";1000;1;498
"256";50064;2;"o";1000;1;333
"257";50065;1;"n";500;1;216
"258";50065;4;"w";500;1;255
"259";50065;2;"o";1000;1;190
"260";50065;3;"s";1000;1;300
"261";50066;2;"o";1000;1;206
"262";50066;4;"w";1000;1;226
"263";50066;3;"s";1000;1;450
"264";50066;1;"n";1000;1;275
"265";50067;3;"s";1000;1;400
"266";50067;2;"o";1000;1;494
"267";50067;1;"n";1000;2;-9
"268";50067;4;"w";1000;2;-9
"269";50068;2;"o";1000;2;-9
"270";50068;1;"n";1000;1;498
"271";50068;4;"w";1000;2;-9
"272";50068;3;"s";1000;2;-9
"273";50069;4;"w";1000;1;450
"274";50069;1;"n";1000;1;262
"275";50069;2;"o";1000;1;98
"276";50069;3;"s";1000;1;97
"277";50070;2;"o";1000;1;125
"278";50070;3;"s";1000;1;380
"279";50070;4;"w";1000;1;356
"280";50070;1;"n";1000;1;38
"281";50071;4;"w";1000;1;140
"282";50071;2;"o";1000;1;55
"283";50071;1;"n";1000;1;170
"284";50071;3;"s";1000;1;110
"285";50072;1;"n";1000;1;228
"286";50072;3;"s";1000;1;500
"287";50072;4;"w";1000;1;115
"288";50072;2;"o";1000;2;-9
"289";50073;4;"w";1000;1;380
"290";50073;1;"n";1000;1;407
"291";50073;2;"o";1000;1;315
"292";50073;3;"s";1000;1;458
"293";50074;1;"n";1000;2;-9
"294";50074;4;"w";1000;2;-9
"295";50074;3;"s";1000;2;-9
"296";50074;2;"o";1000;2;-9
"297";50075;4;"w";1000;1;344
"298";50075;3;"s";1000;1;390
"299";50075;1;"n";1000;1;190
"300";50075;2;"o";1000;1;500
"301";50076;2;"o";1000;2;-9
"302";50076;1;"n";1000;2;-9
"303";50076;4;"w";1000;2;-9
"304";50076;3;"s";1000;2;-9
"305";50077;2;"o";1000;1;250
"306";50077;1;"n";1000;1;211
"307";50077;3;"s";1000;1;145
"308";50077;4;"w";1000;1;61
"309";50078;1;"n";1000;1;485
"310";50078;3;"s";1000;2;-9
"311";50078;2;"o";1000;2;-9
"312";50078;4;"w";1000;1;483
"313";50079;1;"n";1000;2;-9
"314";50079;3;"s";1000;2;-9
"315";50079;4;"w";1000;2;-9
"316";50079;2;"o";1000;2;-9
"317";50080;3;"s";1000;1;154
"318";50080;2;"o";1000;1;165
"319";50080;1;"n";1000;1;108
"320";50080;4;"w";1000;1;145
"321";50081;2;"o";1000;1;465
"322";50081;4;"w";1000;1;25
"323";50081;1;"n";1000;1;500
"324";50081;3;"s";1000;1;495
"325";50082;3;"s";1000;1;380
"326";50082;2;"o";1000;2;-9
"327";50082;4;"w";1000;1;424
"328";50082;1;"n";1000;2;-9
"329";50083;4;"w";1000;2;-9
"330";50083;3;"s";1000;2;-9
"331";50083;2;"o";1000;2;-9
"332";50083;1;"n";1000;1;425
"333";50084;3;"s";1000;1;224
"334";50084;1;"n";1000;1;212
"335";50084;2;"o";1000;1;255
"336";50084;4;"w";1000;1;240
"337";50085;3;"s";1000;1;126
"338";50085;4;"w";1000;1;310
"339";50085;2;"o";1000;1;320
"340";50085;1;"n";1000;1;87
"341";50086;3;"s";1000;2;-9
"342";50086;2;"o";1000;2;-9
"343";50086;4;"w";1000;2;-9
"344";50086;1;"n";1000;2;-9
"345";50087;2;"o";1000;1;366
"346";50087;3;"s";1000;1;200
"347";50087;1;"n";1000;1;321
"348";50087;4;"w";1000;1;317
"349";50088;4;"w";1000;2;-9
"350";50088;1;"n";1000;1;140
"351";50088;2;"o";1000;1;480
"352";50088;3;"s";1000;2;-9
"353";50089;2;"o";1000;1;242
"354";50089;1;"n";1000;1;165
"355";50089;3;"s";1000;1;115
"356";50089;4;"w";1000;1;215
"357";50090;4;"w";1000;2;-9
"358";50090;1;"n";1000;1;290
"359";50090;3;"s";1000;1;481
"360";50090;2;"o";1000;1;342
"361";50091;1;"n";1000;2;-9
"362";50091;3;"s";1000;2;-9
"363";50091;4;"w";1000;2;-9
"364";50091;2;"o";1000;2;-9
"365";50092;1;"n";1000;1;427
"366";50092;3;"s";1000;1;232
"367";50092;2;"o";1000;1;177
"368";50092;4;"w";1000;1;455
"369";50093;3;"s";1000;1;135
"370";50093;2;"o";1000;1;241
"371";50093;4;"w";1000;1;80
"372";50093;1;"n";1000;1;270
"373";50094;1;"n";1000;2;-9
"374";50094;3;"s";1000;2;-9
"375";50094;2;"o";1000;2;-9
"376";50094;4;"w";1000;2;-9
"377";50095;4;"w";1000;1;300
"378";50095;1;"n";1000;1;280
"379";50095;2;"o";1000;1;130
"380";50095;3;"s";1000;1;195
"381";50096;3;"s";1000;2;-9
"382";50096;2;"o";1000;2;-9
"383";50096;1;"n";1000;2;-9
"384";50096;4;"w";1000;2;-9
"385";50097;2;"o";1000;1;29
"386";50097;1;"n";1000;1;44
"387";50097;3;"s";1000;1;97
"388";50097;4;"w";1000;1;37
"389";50098;3;"s";1000;1;265
"390";50098;4;"w";1000;1;162
"391";50098;2;"o";1000;1;200
"392";50098;1;"n";1000;1;157
"393";50099;2;"o";1000;2;-9
"394";50099;1;"n";1000;2;-9
"395";50099;3;"s";1000;2;-9
"396";50099;4;"w";1000;2;-9
"397";50100;4;"w";1000;2;-9
"398";50100;3;"s";1000;1;431
"399";50100;1;"n";1000;1;448
"400";50100;2;"o";1000;1;358
"401";50101;3;"s";1000;1;106
"402";50101;1;"n";1000;2;-9
"403";50101;2;"o";1000;1;490
"404";50101;4;"w";1000;1;213
"405";50102;4;"w";1000;1;40
"406";50102;1;"n";1000;1;60
"407";50102;2;"o";1000;1;110
"408";50102;3;"s";1000;1;60
"409";50103;1;"n";1000;2;-9
"410";50103;4;"w";1000;2;-9
"411";50103;2;"o";1000;2;-9
"412";50103;3;"s";1000;2;-9
"413";50104;4;"w";1000;2;-9
"414";50104;3;"s";1000;2;-9
"415";50104;1;"n";1000;2;-9
"416";50104;2;"o";1000;2;-9
"417";50105;4;"w";1000;1;353
"418";50105;1;"n";1000;1;412
"419";50105;2;"o";1000;1;450
"420";50105;3;"s";1000;1;415
"421";50106;4;"w";1000;2;-9
"422";50106;1;"n";1000;2;-9
"423";50106;2;"o";1000;2;-9
"424";50106;3;"s";1000;1;410
