"","BWI_SP_group","age_class","C_t_ha_tapes","C_t_ha_BWI","SD_BWI","C_diff"
"1","ALN","41",107.026646849422,66.77742934,6.019089857,40.2492175094217
"2","ALN","all",57.6353058461148,52.85946394,2.942260216,4.77584190611477
"3","FI","101",33.3224411395716,160.5409152,8.654445883,-127.218474060428
"4","FI","21",12.8438519636778,83.27848197,4.889244161,-70.4346300063222
"5","FI","41",30.097588561025,125.4385323,5.186582576,-95.340943738975
"6","FI","61",42.4411778757418,141.1563614,5.856392459,-98.7151835242582
"7","FI","81",58.9591746282235,143.2982434,7.360087908,-84.3390687717765
"8","FI","all",49.5258535815939,118.1267438,3.286422064,-68.6008902184061
"9","KI","41",15.9630449112748,85.35555017,4.138744164,-69.3925052587252
"10","KI","all",32.7577427767512,94.75041846,2.361519753,-61.9926756832488
