"","plot_ID","SP_group","DW_type","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"1",21020,1,1,14.4347826086957,3.92608695652174,0.464837981546596,0.232418990773298,0.000377448441015836,0.0500343869018386,9.29037028990785,4.64518514495393,0.00754378067540518,81.5521238537742,65.9821330366599,81.5521238537742
"2",21020,1,2,26.5,14.7,0.0404958372882278,0.0202479186441139,0.000134409263193858,0.0500343869018386,0.809360118025943,0.404680059012971,0.00268633776721504,7.10467231421964,23.4962154342148,7.10467231421964
"3",21020,1,3,20.3333333333333,5.66666666666667,0.036078751777245,0.0180393758886225,3.69848250333517e-05,0.0500343869018386,0.721079122005176,0.360539561002588,0.000739188132871728,6.32972982035144,6.46535362318748,6.32972982035144
"4",21020,1,4,18,0.96,0.0285762409363181,0.0142881204681591,2.32039076402903e-05,0.0500343869018386,0.571132029505652,0.285566014752826,0.00046375920795859,5.01347401165474,4.05629790593775,5.01347401165474
"5",21030,1,1,12.5,5.8,0.128708537743451,0.0643542688717255,0.000104511332647682,0.0500343869018386,2.57240161643154,1.28620080821577,0.00208879011254241,87.0161357759103,44.5575512127944,87.0161357759103
"6",21030,1,2,25,16.9,0.0162541360305935,0.00812706801529673,0.000127646248250142,0.0500343869018386,0.324859302512932,0.162429651256466,0.00255117042806117,10.9889532781224,54.4209331125862,10.9889532781224
"7",21030,1,4,17,0.5,0.00295074089988421,0.00147537044994211,2.39600161070598e-06,0.0500343869018386,0.0589742591564719,0.0294871295782359,4.78870984350552e-05,1.99491094596731,1.0215156746194,1.99491094596731
"8",23060,2,1,14,6.86,0.135842160035939,0.0679210800179695,0.000181349283647978,0.0500343869018386,2.71497600844884,1.35748800422442,0.00362449297127921,63.5150487214878,24.074892477038,63.5150487214878
"9",23060,2,2,14.5,11.5,0.0531653168224713,0.0265826584112357,0.000538725356817847,0.0500343869018386,1.06257556281793,0.531287781408966,0.0107671021906346,24.8582449467766,71.5180935879489,24.8582449467766
"10",23060,2,4,27.9090909090909,0.245454545454545,0.0248664991053082,0.0124332495526541,3.31967763055865e-05,0.0500343869018386,0.496988184427907,0.248494092213954,0.000663479226211256,11.6267063317356,4.40701393501307,11.6267063317356
"11",23061,1,1,10,5.82666666666667,0.158600870382174,0.0793004351910871,0.000128783906750325,0.0500343869018386,3.16983738990007,1.58491869495003,0.00257390796059885,70.8429550016066,65.8879478482848,70.8429550016066
"12",23061,1,3,10,4.6,0.0126225804292312,0.00631129021461561,1.02495353085358e-05,0.0500343869018386,0.252278107334366,0.126139053667183,0.000204849823155505,5.63818404777615,5.24382948862709,5.63818404777615
"13",23061,1,4,21.6666666666667,0.242857142857143,0.0526532499537976,0.0263266249768988,5.64255317839218e-05,0.0500343869018386,1.05234126396106,0.526170631980531,0.00112773504938957,23.5188609506173,28.8682226630881,23.5188609506173
"14",23150,1,1,11,2.2,0.00543589776850642,0.00271794888425321,4.41394898802721e-06,0.0500343869018386,0.108643237283411,0.0543216186417053,8.82183086741293e-05,25.8495866474141,25.8495866474141,25.8495866474141
