"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_dec_type","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","N_SP_group","H_SP_group","L_m","D_m","D_h_cm","D_h_m","dec_type_BWI","SP_group_char","SP_dw_tps","S_L_DW_type"
"1",32020,"Postluch/Britz","BB","15.02.2022","MB",1,"1_3",1,1,120,15,4,"SER","Alnus spp.",28,"LB","ERL","bu",12,0.15,NA,NA,3,"FI",1,"L"
"2",32020,"Postluch/Britz","BB","15.02.2022","MB",2,"1_3",1,1,169,19,4,"SER","Alnus spp.",28,"LB","ERL","bu",16.9,0.19,NA,NA,3,"FI",1,"L"
"3",32020,"Postluch/Britz","BB","15.02.2022","MB",3,"1_2",1,1,20,15,3,"SER","Alnus spp.",28,"LB","ERL","bu",2,0.15,NA,NA,2,"FI",1,"L"
"4",32020,"Postluch/Britz","BB","15.02.2022","MB",4,"1_2",1,1,10,11,3,"SER","Alnus spp.",28,"LB","ERL","bu",1,0.11,NA,NA,2,"FI",1,"L"
"5",32020,"Postluch/Britz","BB","15.02.2022","MB",5,"1_3",1,1,55,25,4,"SER","Alnus spp.",28,"LB","ERL","bu",5.5,0.25,NA,NA,3,"FI",1,"L"
"6",32020,"Postluch/Britz","BB","15.02.2022","MB",6,"1_3",1,1,74,12,4,"SER","Alnus spp.",28,"LB","ERL","bu",7.4,0.12,NA,NA,3,"FI",1,"L"
"7",32020,"Postluch/Britz","BB","15.02.2022","MB",7,"1_4",1,4,2,40,5,"SER","Alnus spp.",28,"LB","ERL","bu",0.2,0.4,20,0.2,4,"FI",1,"S"
"8",32020,"Postluch/Britz","BB","15.02.2022","MB",8,"1_4",1,1,1,25,5,"SER","Alnus spp.",28,"LB","ERL","bu",0.1,0.25,NA,NA,4,"FI",1,"L"
"9",32020,"Postluch/Britz","BB","15.02.2022","MB",9,"1_3",1,1,7,14,4,"SER","Alnus spp.",28,"LB","ERL","bu",0.7,0.14,NA,NA,3,"FI",1,"L"
"10",32020,"Postluch/Britz","BB","15.02.2022","MB",10,"1_4",1,1,64,16,5,"SER","Alnus spp.",28,"LB","ERL","bu",6.4,0.16,NA,NA,4,"FI",1,"L"
"11",32020,"Postluch/Britz","BB","15.02.2022","MB",11,"1_4",1,4,3,16,5,"SER","Alnus spp.",28,"LB","ERL","bu",0.3,0.16,30,0.3,4,"FI",1,"S"
"12",32020,"Postluch/Britz","BB","15.02.2022","MB",12,"1_3",1,1,69,14,4,"SER","Alnus spp.",28,"LB","ERL","bu",6.9,0.14,NA,NA,3,"FI",1,"L"
"13",32020,"Postluch/Britz","BB","15.02.2022","MB",13,"1_1",1,1,96,17,2,"SER","Alnus spp.",28,"LB","ERL","bu",9.6,0.17,NA,NA,1,"FI",1,"L"
"14",32020,"Postluch/Britz","BB","15.02.2022","MB",14,"1_3",1,4,3,12,4,"SER","Alnus spp.",28,"LB","ERL","bu",0.3,0.12,30,0.3,3,"FI",1,"S"
"15",32020,"Postluch/Britz","BB","15.02.2022","MB",15,"1_4",1,4,8,17,5,"SER","Alnus spp.",28,"LB","ERL","bu",0.8,0.17,80,0.8,4,"FI",1,"S"
"16",32020,"Postluch/Britz","BB","15.02.2022","MB",16,"1_2",1,4,3,32,3,"SER","Alnus spp.",28,"LB","ERL","bu",0.3,0.32,30,0.3,2,"FI",1,"S"
"17",32020,"Postluch/Britz","BB","15.02.2022","MB",17,"1_3",1,4,3,23,4,"SER","Alnus spp.",28,"LB","ERL","bu",0.3,0.23,30,0.3,3,"FI",1,"S"
"18",32020,"Postluch/Britz","BB","15.02.2022","MB",18,"1_1",1,1,50,13,2,"SER","Alnus spp.",28,"LB","ERL","bu",5,0.13,NA,NA,1,"FI",1,"L"
"19",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",1,"2_3",2,4,2,30,4,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.3,20,0.2,3,"BU",15,"S"
"20",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",2,"2_4",2,4,3,19,5,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.19,30,0.3,4,"BU",15,"S"
"21",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",3,"2_1",2,4,2.2,31,1,"GFI","Picea abies",1,"NB","FI","fi",0.22,0.31,22,0.22,1,"BU",15,"S"
"22",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",4,"2_3",2,4,2.3,27,4,"GFI","Picea abies",1,"NB","FI","fi",0.23,0.27,23,0.23,3,"BU",15,"S"
"23",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",5,"2_3",2,4,2.5,27,4,"GFI","Picea abies",1,"NB","FI","fi",0.25,0.27,25,0.25,3,"BU",15,"S"
"24",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",6,"2_2",2,4,2,26,3,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.26,20,0.2,2,"BU",15,"S"
"25",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",7,"2_3",2,4,2.5,24,4,"GFI","Picea abies",1,"NB","FI","fi",0.25,0.24,25,0.25,3,"BU",15,"S"
"26",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",8,"2_3",2,4,3.4,26,4,"GFI","Picea abies",1,"NB","FI","fi",0.34,0.26,34,0.34,3,"BU",15,"S"
"27",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",9,"2_2",2,4,2.8,12,3,"GFI","Picea abies",1,"NB","FI","fi",0.28,0.12,28,0.28,2,"BU",15,"S"
"28",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",10,"2_4",2,4,3.3,47,5,"GFI","Picea abies",1,"NB","FI","fi",0.33,0.47,33,0.33,4,"BU",15,"S"
"29",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",11,"2_1",2,4,2,24,1,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.24,20,0.2,1,"BU",15,"S"
"30",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",12,"2_1",2,4,2,14,2,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.14,20,0.2,1,"BU",15,"S"
"31",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",13,"2_1",2,4,3,32,2,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.32,30,0.3,1,"BU",15,"S"
"32",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",14,"2_3",2,4,3,40,4,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.4,30,0.3,3,"BU",15,"S"
