"","SP_com","SP_BWI","compartiment","N_mean_gkg","reference","N_con"
"1","BU_stw","BU","stw","1.335","Rumpf et al. 2018",0.001335
"2","BU_stwb","BU","stwb","7.227","Rumpf et al. 2018",0.007227
"3","BU_sw","BU","sw","1.335","Rumpf et al. 2018",0.001335
"4","BU_swb","BU","swb","7.227","Rumpf et al. 2018",0.007227
"5","BU_fw","BU","fw","4.601","Rumpf et al. 2018",0.004601
"6","EI_stw","EI","stw","1.752","Rumpf et al. 2018",0.001752
"7","EI_stwb","EI","stwb","6.507","Rumpf et al. 2018",0.006507
"8","EI_sw","EI","sw","1.752","Rumpf et al. 2018",0.001752
"9","EI_swb","EI","swb","6.507","Rumpf et al. 2018",0.006507
"10","EI_fw","EI","fw","6.209","Rumpf et al. 2018",0.006209
"11","ES_stw","ES","stw","1.438","Rumpf et al. 2018",0.001438
"12","ES_stwb","ES","stwb","5.348","Rumpf et al. 2018",0.005348
"13","ES_sw","ES","sw","1.438","Rumpf et al. 2018",0.001438
"14","ES_swb","ES","swb","5.348","Rumpf et al. 2018",0.005348
"15","ES_fw","ES","fw","3.721","Rumpf et al. 2018",0.003721
"16","AH_stw","AH","stw","1.465","Rumpf et al. 2018",0.001465
"17","AH_stwb","AH","stwb","7.729","Rumpf et al. 2018",0.007729
"18","AH_sw","AH","sw","1.465","Rumpf et al. 2018",0.001465
"19","AH_swb","AH","swb","7.729","Rumpf et al. 2018",0.007729
"20","AH_fw","AH","fw","4.278","Rumpf et al. 2018",0.004278
"21","BI_stw","BI","stw","1.828","Rumpf et al. 2018",0.001828
"22","BI_stwb","BI","stwb","6.131","Rumpf et al. 2018",0.006131
"23","BI_sw","BI","sw","1.828","Rumpf et al. 2018",0.001828
"24","BI_swb","BI","swb","6.131","Rumpf et al. 2018",0.006131
"25","BI_fw","BI","fw","6.057","Rumpf et al. 2018",0.006057
"26","ERL_stw","ERL","stw","2.475","Rumpf et al. 2018",0.002475
"27","ERL_stwb","ERL","stwb","11.028","Rumpf et al. 2018",0.011028
"28","ERL_sw","ERL","sw","2.475","Rumpf et al. 2018",0.002475
"29","ERL_swb","ERL","swb","11.028","Rumpf et al. 2018",0.011028
"30","ERL_fw","ERL","fw","7.214","Rumpf et al. 2018",0.007214
"31","FI_stw","FI","stw","0.812","Rumpf et al. 2018",0.000812
"32","FI_stwb","FI","stwb","4.84","Rumpf et al. 2018",0.00484
"33","FI_sw","FI","sw","0.812","Rumpf et al. 2018",0.000812
"34","FI_swb","FI","swb","4.84","Rumpf et al. 2018",0.00484
"35","FI_fw","FI","fw","4.343","Rumpf et al. 2018",0.004343
"36","FI_f","FI","f","12.978","Rumpf et al. 2018",0.012978
"37","KI_stw","KI","stw","0.794","Rumpf et al. 2018",0.000794
"38","KI_stwb","KI","stwb","4.339","Rumpf et al. 2018",0.004339
"39","KI_sw","KI","sw","0.794","Rumpf et al. 2018",0.000794
"40","KI_swb","KI","swb","4.339","Rumpf et al. 2018",0.004339
"41","KI_fw","KI","fw","4.058","Rumpf et al. 2018",0.004058
"42","KI_f","KI","f","15.201","Rumpf et al. 2018",0.015201
"43","DGL_stw","DGL","stw","0.701","Rumpf et al. 2018",0.000701
"44","DGL_stwb","DGL","stwb","3.91","Rumpf et al. 2018",0.00391
"45","DGL_sw","DGL","sw","0.701","Rumpf et al. 2018",0.000701
"46","DGL_swb","DGL","swb","3.91","Rumpf et al. 2018",0.00391
"47","DGL_fw","DGL","fw","4.203","Rumpf et al. 2018",0.004203
"48","DGL_f","DGL","f","15.166","Rumpf et al. 2018",0.015166
