"","value"
"1","B"
"2","C"
"3","N"
"4","V"
"5","BA"
"6","D"
"7","DBH"
"8","D_h"
"9","h"
"10","H"
"11","CH"
"12","ID"
"13","b"
"14","w"
"15","f"
"16","fw"
"17","sw"
"18","swb"
"19","stw"
"20","stwb"
"21","ag"
"22","bg"
"23","total"
"24","tot"
"25","Nt"
"26","DW"
"27","dw"
"28","RG"
"29","LT"
"30","P"
"31","SP"
"32","CP"
"33","A"
"34","t"
"35","kg"
"36","m3"
"37","ha"
"38","m2"
"39","mm"
"40","cm"
"41","dm"
"42","BWI"
"43","group"
"44","tapes"
"45","tps"
"46","tpS"
"47","WuWi"
"48","GHG"
"49","Vondr"
"50","Nr_code"
"51","Chr_code_ger"
"52","name"
"53","bot_name"
"54","bot_genus"
"55","bot_species"
"56","Flora_EU"
"57","LH_NH"
"58","IPC"
"59","WZE"
"60","BZE_al"
"61","tpS_SP_com_name"
"62","tpS_ID"
"63","H_SP_group"
"64","BWI_SP_group"
"65","Bio_SP_group"
"66","N_SP_group"
"67","N_bg_SP_group"
"68","N_f_SP_group_MoMoK"
"69","ID_pt"
"70","SP_P_ID"
"71","plot_ID"
"72","loc_name"
"73","state"
"74","date"
"75","CCS_nr"
"76","t_ID"
"77","st_ID"
"78","pieces"
"79","SP_nr"
"80","SP_code"
"81","C_layer"
"82","Kraft"
"83","age"
"84","age_m"
"85","DBH_mm"
"86","DBH_h_cm"
"87","DBH_p_mm"
"88","Punktdendrometer"
"89","DBH_class"
"90","H_dm"
"91","CH_dm"
"92","dist_m"
"93","azimut_g"
"94","azimut_d"
"95","H_m"
"96","DBH_cm"
"97","BA_m2"
"98","plot_A_ha"
"99","R2.x"
"100","R2.y"
"101","H_g"
"102","mean_DBH_mm"
"103","D_g"
"104","mean_H_m"
"105","R2_comb"
"106","H_method"
"107","HD_value"
"108","H_g_top"
"109","DBH_h_m"
"110","D_03_cm"
"111","aB_kg_GHG"
"112","compartiment"
"113","B_kg_tapes"
"114","B_t_tapes"
"115","C_aB_t_GHG"
"116","C_t_tapes"
"117","N_t"
"118","GHG_aB_kg"
"119","tapes_ab_kg"
"120","Vondr_oiB_kg"
"121","GHG__bB_kg"
"122","WuWi_fB_kg"
"123","WuWi_fB_t_ha"
"124","WuWi_brB_kg"
"125","GHG_WuWi_StB_kg"
"126","GHG_WuWi_totaB_kg"
"127","GHG_WuWi_totaB_t_ha"
"128","tapes_fB_kg"
"129","tapes_brB_kg"
"130","tapes_DhB_kg"
"131","tapes_DhbB_kg"
"132","tapes_stwB_kg"
"133","tapes_stwbB_kg"
"134","Vondr_fB_kg"
"135","Vondr_brB_kg"
"136","Vondr_DhB_kg"
"137","Vondr_DhRB_kg"
"138","Vondr_crsWbB_kg"
"139","tps_GHG_waB"
"140","tps_GHG_crsWbB_kg"
"141","tps_GHG_brB_kg"
"142","Vondr_GHG_waB"
"143","Vondr_GHG_crsWbB_kg"
"144","Vondr_GHG_brB_kg"
"145","GHG_tps_swB_kg"
"146","GHG_tps_swbB_kg"
"147","GHG_tps_stwB_kg"
"148","GHG_tps_stwbB_kg"
"149","GHG_tps_fwB_kg"
"150","GHG_tps_fB_kg"
"151","tot_aB_kg"
"152","tot_waB_kg"
"153","tot_GHG_tps"
"154","diff_GHG_bef_af_tps"
"155","diff_GHG_tps"
"156","diff_Vondr_GHG"
"157","diff_Vondr_tps"
"158","mean_DBH_cm"
"159","sd_DBH_cm"
"160","d_g"
"161","sd_height_m"
"162","h_g"
"163","SP_BA_plot"
"164","mean_BA_SP_plot"
"165","SP_BA_m2ha"
"166","tot_BA_m2ha"
"167","Nt_plot"
"168","Nt_ha"
"169","BA_SP_per"
"170","dom_SP"
"171","SP_BA_m2MA"
"172","Nt_P_SP"
"173","Nt_MA"
"174","B_t_P_SP"
"175","C_t_P_SP"
"176","N_t_P_SP"
"177","B_t_P_SP_ha"
"178","C_t_P_SP_ha"
"179","N_t_P_SP_ha"
"180","B_t_P_SP_MA"
"181","C_t_P_SP_MA"
"182","N_t_P_SP_MA"
"183","BA_m2_plot"
"184","BA_m2MA"
"185","BA_m2ha"
"186","N_SP_plot"
"187","B_t_plot"
"188","C_t_plot"
"189","N_t_plot"
"190","B_t_ha"
"191","C_t_ha"
"192","N_t_ha"
"193","B_t_MA"
"194","C_t_MA"
"195","N_t_MA"
"196","SP_dec_type"
"197","SP_group"
"198","DW_type"
"199","L_dm"
"200","D_cm"
"201","dec_type"
"202","L_m"
"203","D_m"
"204","D_h_cm"
"205","D_h_m"
"206","dec_type_BWI"
"207","SP_group_char"
"208","SP_dw_tps"
"209","S_L_DW_type"
"210","V_dw_m3"
"211","iB_class"
"212","B_kg"
"213","C_kg"
"214","N_kg"
"215","B_t"
"216","C_t"
"217","D_mean"
"218","L_mean"
"219","C_share"
"220","N_share"
"221","B_share"
"222","V_tot_m3"
"223","MoMoK_A_ha"
"224","V_tot_m3_ha"
"225","V_tot_m3_MA"
"226","V_share"
"227","V_m3_plot"
"228","V_m3_ha"
"229","V_m3_MA"
"230","N_dec_type_plot"
"231","N_DW_type_plot"
"232","MoMok_A_ha"
"233","mean_D_cm"
"234","N_trees_plot"
"235","plot_tot_B_t"
"236","plot_tot_C_t"
"237","plot_tot_N_t"
"238","plot_tot_N_trees"
"239","tot_N_trees_ha"
"240","tot_N_trees_MA"
"241","SP_N_trees_ha"
"242","SP_N_trees_MA"
"243","B_SP_share"
"244","C_SP_share"
"245","N_SP_share"
"246","N_trees_SP_share"
"247","N_species_plot"
"248","stand_component"
"249","SP_com"
"250","SP_BWI"
"251","N_mean_gkg"
"252","reference"
"253","N_con"
