"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"1",1,1,100,"Ah","Ahorn","Acer spp.","Acer","spp.","095.001.999.DL","LB",215,30011,"AH","WAHR","Acer spp.",22,"bu","aLh","bu","AH","BU"
"2",2,2,101,"SAh","Spitz-Ahorn","Acer platanoides","Acer","platanoides","095.001.001","LB",4,30011,"SAH","WAHR","Acer platanoides",24,"bu","aLh","bu","AH","BU"
"3",3,3,102,"BAh","Berg-Ahorn","Acer pseudoplatanus","Acer","pseudoplatanus","095.001.005","LB",227,30011,"BAH","WAHR","Acer pseudoplatanus",23,"bu","aLh","bu","AH","BU"
"4",4,4,103,"Er","Erle","Alnus spp.","Alnus","spp.","034.002.999","LB",216,30011,"ERL","WAHR","Alnus spp.",28,"bu","aLn","shw","ERL","BI"
"5",5,5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI"
"6",6,6,109,"HBu","Hainbuche","Carpinus betulus","Carpinus","betulus","035.001.001","LB",13,30011,"HBU","WAHR","Carpinus betulus",16,"bu","aLh","bu","BU","BU"
"7",7,7,110,"EKa","Edel-Kastanie","Castanea sativa","Castanea","sativa","036.003.001","LB",15,30011,"KA","FALSCH","Castanea sativa",33,"bu","aLh","bu","BU","BU"
"8",8,8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU"
"9",9,9,112,"GEs","Gewoehnliche Esche","Fraxinus excelsior","Fraxinus","excelsior","139.004.003","LB",22,30011,"ES","WAHR","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU"
"10",10,10,113,"Kir","Vogel-Kirsche","Prunus avium","Prunus","avium","080.035.014","LB",36,30011,"KIR","WAHR","Prunus avium",29,"bu","aLn","shw","BI","BI"
"11",11,11,114,"Pa","Pappel","Populus spp.","Populus","spp.","031.002.999.DL","LB",211,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI"
