ID;MoMoK_Nr;included;Name;Standort;BL;Moortyp;Hydrologie;Torfmaechtigkeit;Sek_Bodenbildung;Bestand;Auswahl;Baumdichte
1;32050;Y;Stromtrasse/Spechti;BB-ST;BB;Niedermoor;norm;>100;keine;Birke;Std;vereinzelt
2;32010;Y;Buxpfuhl/Melchow;BB-KB;BB;Niedermoor;entwässert;30-100;stark;Erle;Std;relativ geschlossen
3;32020;Y;Postluch/Britz;BB-PL;BB;Niedermoor;norm;>100;keine;Erle;Std;relativ geschlossen
4;32080;Y;Plötzensee/Biesenthal;BB-PS;BB;Niedermoor;entwässert;>100;mittel;Birke;Std;geschlossen
5;32070;Y;Hellsee/Biesenthal;BB-HS;BB;Niedermoor;norm;>100;mittel;Erle;Std;geschlossen
6;32090;Y;Pfauenfließ/Biesenthal;BB-PF;BB;Niedermoor;norm;>100;keine;Erle;Std;geschlossen
7;28021;N;;;BW;Niedermoor;entwässert;30-100;mittel;Fichte;Std;geschlossen
8;28040;Y;Hockenheimer Rheinbogen;BW-HR;BW;Niedermoor;entwässert;>100;stark;Erle;Std;geschlossen
9;28100;N;;;BW;Hochmoor;norm;>100;keine;Kiefer;Std;relativ geschlossen
10;28110;N;;;BW;Niedermoor;entwässert ;>100;stark;Erle;Std;vereinzelt  
11;28120;N;;;BW;Hochmoor;entwässert;>100;stark;Fichte;Std;relativ geschlossen
12;28130;N;;;BW;Übergangsmoor;norm;>100;wenig;Fichte;Std;relativ geschlossen
13;28160;N;;;BW;Hochmoor;norm;>100;keine;Kiefer;Std;vereinzelt - relativ geschlossen
14;29020;N;;;BY;Übergangsmoor;entwässert;30-100 ;mittel;Fichte;Std;relativ geschlossen
15;29030;N;;;BY;Niedermoor;entwässert ;>100;stark;Birke;Std;geschlossen
16;29040;N;;;BY;Hochmoor;norm;>100;wenig;Kiefer;Std;vereinzelt - bis relativ geschlossen
17;29041;N;;;BY;Niedermoor;norm;30-100;keine;Birke;Std;geschlossen
18;29050;N;;;BY;Moorgley;entwässert ;<30;stark;Erle;Std;geschlossen
19;29080;Y;Filzwald/Klingbrunn Bhf;BY-FW;BY;Hochmoor;norm;>100;wenig;Fichte;Std;relativ geschlossen
