plot_ID,inv,inv_year,stand,tree_ID,tree_inventory_status,multi_stem,dist_cm,azi_gon,age,age_meth,SP_code,Chr_code_ger,tpS_ID,LH_NH,H_SP_group,BWI_SP_group,Bio_SP_group,N_SP_group,N_bg_SP_group,N_f_SP_group_MoMoK,DBH_class,Kraft,C_layer,H_dm,H_m,H_method,C_h_dm,D_mm,DBH_h_cm,DBH_cm,BA_m2,CCS_r_m,stand_plot_A_ha,plot_A_ha,compartiment,B_kg_tree,N_kg_tree,C_kg_tree
1,HBI,2012,A,17,-9,0,366,229,40,5,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,10,4,1,150,15,sampled,111,110,130,11,"0,00950331777710912","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,78688101656026","-0,0416442396765643","-3,89344050828013"
1,HBI,2012,A,21,-9,0,1697,303,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,35,2,1,242,"24,2",sampled,150,393,130,"39,3","0,121303960938572","17,84","0,0999860870850348","0,0999860870850348",sb,"-7,49772794592233","-0,0400978490547926","-3,74886397296117"
1,HBI,2012,A,24,-9,0,1206,347,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,25,3,1,219,"21,9",sampled,149,279,130,"27,9","0,0611361784370208","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,31446988097599","-0,0391177849234596","-3,65723494048799"
1,HBI,2012,A,8,-9,0,1669,112,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,30,2,1,253,"25,3",sampled,185,347,130,"34,7","0,0945690074565234","17,84","0,0999860870850348","0,0999860870850348",sb,"-7,31353096398449","-0,0391127635953891","-3,65676548199224"
1,HBI,2012,A,9,-9,0,1743,110,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,30,3,1,NA,"23,2349409829199",coeff_SP_P,NA,300,130,30,"0,0706858347057703","17,84","0,0999860870850348","0,0999860870850348",sb,"-7,30207948078911","-0,0390515210632602","-3,65103974039455"
1,HBI,2012,A,27,-9,0,892,6,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,25,3,1,NA,"22,9710281387064",coeff_SP_P,NA,288,150,"28,8877192982456","0,0655415023594645","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,29617768003483","-0,0390199582328263","-3,64808884001742"
1,HBI,2012,A,26,-9,0,1093,398,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,15,3,1,179,"17,9",sampled,117,162,130,"16,2","0,0206119894002026","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,26275760348599","-0,0388412276634431","-3,63137880174299"
1,HBI,2012,A,23,-9,0,607,338,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,20,3,1,NA,"21,1588687998959",coeff_SP_P,NA,228,130,"22,8","0,040828138126053","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,20735823657592","-0,038544951849208","-3,60367911828796"
1,HBI,2012,A,28,-9,0,1008,20,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,15,3,1,NA,"19,3935411844491",coeff_SP_P,NA,185,130,"18,5","0,0268802521422777","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,20290029031095","-0,038521110752583","-3,60145014515548"
1,HBI,2012,A,7,-9,0,1125,110,73,1,ges,GEs,21,LB,bu,aLh,bu,ES,BU,aLB,20,3,1,223,"22,3",sampled,160,246,130,"24,6","0,04752915525616","12,62","0,0500343869018386","0,0500343869018386",sb,"-7,19851942146553","-0,0384976818659977","-3,59925971073277"
1,HBI,2012,A,16,-9,0,1251,244,30,5,wli,WLi,27,LB,bu,aLh,bu,BU,BU,aLB,10,4,1,NA,"9,9767329451843",coeff_SP_P,NA,100,130,10,"0,00785398163397448","12,62","0,0500343869018386","0,0500343869018386",stb,"0,0341656445874464","0,000246915113433475","0,0170828222937232"
1,HBI,2012,A,25,-9,0,1059,367,30,5,wli,WLi,27,LB,bu,aLh,bu,BU,BU,aLB,10,4,1,NA,"10,286542784149",coeff_SP_P,NA,104,130,"10,4","0,0084948665353068","12,62","0,0500343869018386","0,0500343869018386",stb,"0,037447299102376","0,000270631630612871","0,018723649551188"
1,HBI,2012,A,1,-9,0,1235,48,35,5,wli,WLi,27,LB,bu,aLh,bu,BU,BU,aLB,10,4,1,113,"11,3",sampled,72,103,130,"10,3","0,00833228911548353","12,62","0,0500343869018386","0,0500343869018386",stb,"0,041313673771618","0,000298573920347483","0,020656836885809"
