plot_ID;inv;inv_year;stand;tree_ID;tree_inventory_status;multi_stem;dist_cm;azi_gon;age;age_meth;SP_code;Chr_code_ger;tpS_ID;LH_NH;H_SP_group;BWI_SP_group;Bio_SP_group;N_SP_group;N_bg_SP_group;N_f_SP_group_MoMoK;DBH_class;Kraft;C_layer;H_dm;H_m;H_method;C_h_dm;D_mm;DBH_h_cm;DBH_cm;BA_m2;CCS_r_m;stand_plot_A_ha;plot_A_ha;compartiment;B_kg_tree
140002;HBI;2012;A;7;-9;0;1125;110;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;20;3;1;223;22,3;sampled;160;246;130;24,6;0,047529155;12,62;0,050034387;0,050034387;sb;-7,13751E+13
140002;HBI;2012;A;8;-9;0;1669;112;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;30;2;1;253;25,3;sampled;185;347;130;34,7;0,094569007;17,84;0,099986087;0,099986087;sb;-7,24962E+13
140002;HBI;2012;A;9;-9;0;1743;110;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;30;3;1;NA;23,23494098;coeff_SP_P;NA;300;130;30;0,070685835;17,84;0,099986087;0,099986087;sb;-7,23933E+13
140002;HBI;2012;A;17;-9;0;366;229;40;5;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;10;4;1;150;15;sampled;111;110;130;11;0,009503318;12,62;0,050034387;0,050034387;sb;-7,72344E+14
140002;HBI;2012;A;21;-9;0;1697;303;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;35;2;1;242;24,2;sampled;150;393;130;39,3;0,121303961;17,84;0,099986087;0,099986087;sb;-7,43218E+14
140002;HBI;2012;A;23;-9;0;607;338;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;20;3;1;NA;21,1588688;coeff_SP_P;NA;228;130;22,8;0,040828138;12,62;0,050034387;0,050034387;sb;-7,14687E+14
140002;HBI;2012;A;24;-9;0;1206;347;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;25;3;1;219;21,9;sampled;149;279;130;27,9;0,061136178;12,62;0,050034387;0,050034387;sb;-7,25228E+14
140002;HBI;2012;A;26;-9;0;1093;398;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;15;3;1;179;17,9;sampled;117;162;130;16,2;0,020611989;12,62;0,050034387;0,050034387;sb;-7,20364E+14
140002;HBI;2012;A;27;-9;0;892;6;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;25;3;1;NA;22,97102814;coeff_SP_P;NA;288;150;28,8877193;0,065541502;12,62;0,050034387;0,050034387;sb;-7,23363E+14
140002;HBI;2012;A;28;-9;0;1008;20;73;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;15;3;1;NA;19,39354118;coeff_SP_P;NA;185;130;18,5;0,026880252;12,62;0,050034387;0,050034387;sb;-7,14354E+14
140023;HBI;2011;A;16;-9;0;1314;316;85;5;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;40;2;1;226;22,6;sampled;110;401;130;40,1;0,12629281;17,84;0,099940407;0,099986087;sb;-7,55885E+14
140026;HBI;2011;A;13;-9;0;1556;305;72;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;35;2;1;302;30,2;sampled;165;392;130;39,2;0,120687423;17,84;0,098400547;0,099986087;sb;-7,08501E+14
140055;HBI;2011;A;29;-9;0;1404;194;80;1;ges;GEs;21;LB;bu;aLh;bu;ES;BU;aLB;30;3;1;286;28,6;sampled;96;321;130;32,1;0,080928212;17,84;0,056281736;0,099986087;sb;-7,01457E+14
